,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 16:06:28.317790,0.8,0,25,362,37,36,1,0,0,0,0,0,0,0.9444444444444444,0.25577443333465355,0.7988751286422955,0.0,0.0,0.0,0.0,0.0,0.0,0.7222222222222221,2.220446049250318e-16,0.9999999999999998,0.9999999999999998,0.44790320823880814,0.4542567625794977,0.00786565569100668,-2.4951766747327233,3.396255277010596e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9490196078431373,1.1376762928139692,1.8615384615384618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9307692307692309,6
1,1,2021-08-21 16:06:28.317790,0.8,0,25,362,37,36,0,1,0,0,0,0,0,0.9444444444444444,0.9722473220459861,0.3342752337718903,0.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444444,0.0,1.0,1.0,0.46064233199380555,0.46717659215115676,0.0006696776933212926,-2.1793511287452056,5.811525038978971e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,1.198791134989926,1.9615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9807692307692308,6
2,1,2021-08-21 16:06:28.317790,0.8,0,25,362,37,36,0,0,1,0,0,0,0,0.9444444444444444,1.0055606475107992,0.3180903660370156,0.0,0.0,0.0,0.0,0.0,0.0,0.5836586339282298,5.647237481131455e-108,1.0,0.9999999734794334,0.4921942636370227,0.4991760912789587,2.584799786541938e-47,-0.9364074258275047,2.5765285016632333e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9215686274509803,1.104768300873069,1.8076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9038461538461539,6
3,1,2021-08-21 16:06:28.317790,0.8,0,25,362,37,36,0,0,0,1,0,0,0,0.9444444444444444,-2.6366105809403253,0.010307262612006925,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999500016656,0.49999999500016656,0.49999999500016656,0.49999999500016656,0.0,0.0,4.339504615328893e-87,1.0373475309768039,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5098039215686274,0.6111484217595701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5,6
4,1,2021-08-21 16:06:28.317790,0.8,0,25,362,37,36,0,0,0,0,1,0,0,0.9444444444444444,-4.071572742663046,0.00012117667483985071,0.0,0.0,0.0,0.0,0.0,0.0,0.6965219503579153,1.0295513191798185e-11,0.9999999966799302,0.9998300954072387,0.4409599109674121,0.44721497390257947,0.004648450830786796,-2.2747081246129772,2.157356249199438e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9490196078431373,1.1376762928139692,1.8615384615384618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9307692307692309,6
5,1,2021-08-21 16:06:28.317790,0.8,0,25,362,37,36,0,0,0,0,0,1,0,0.9444444444444444,4.356092369900101,4.439611474551165e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.339504615328893e-87,1.0373475309768039,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5098039215686274,0.6111484217595701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5,6
6,1,2021-08-21 16:06:28.317790,0.8,0,25,362,37,36,0,0,0,0,0,0,1,0.9444444444444444,-0.2328246019305466,0.8165770385882827,0.0,0.0,0.0,0.0,0.0,0.0,0.6983333333333333,0.01,1.0,0.945,0.40969839855407997,0.4155100136321283,0.002241355069818256,-2.194861034049436,8.21472170287052e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,1.198791134989926,1.9615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9807692307692308,6
7,2,2021-08-21 16:06:28.317790,0.8,0,25,362,73,36,1,0,0,0,0,0,0,0.9722222222222222,-0.33513831993187837,0.7385230176074193,1.118432037887467,0.26720606646399847,0.0,0.0,0.0,0.0,0.8323268376707547,6.773998229022238e-06,0.9999999999999998,0.9999988024513123,0.3722712457163725,0.3775519526763327,0.00012389909270546116,-3.8686104619829402,2.067506305047928e-10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0.9824561403508772,1.6,0.8156862745098039,0.9778374748153122,1.6,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8,6
8,2,2021-08-21 16:06:28.317790,0.8,0,25,362,73,36,0,1,0,0,0,0,0,0.9722222222222222,1.4520419755759224,0.1509575269189142,1.7117922064723678,0.0913624877497207,0.0,0.0,0.0,0.0,0.8611111111111112,0.0,1.0,1.0,0.3458305443885759,0.35073618720610084,5.06807810947831e-06,-4.276882444120229,7.281179825735506e-11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.75,0.9210526315789473,1.5,0.7647058823529411,0.9167226326393552,1.5,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.75,6
9,2,2021-08-21 16:06:28.317790,0.8,0,25,362,73,36,0,0,1,0,0,0,0,0.9722222222222222,2.935206543987251,0.004505798188253089,1.2318143017103922,0.22214047921271035,0.0,0.0,0.0,0.0,0.7222225980417728,1.27416001934781e-50,1.0,1.0,0.4479026022531001,0.4542561479978184,0.007865655702644908,-2.495176674890148,3.3962939127718528e-09,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.2280701754385965,2.0,1.0196078431372548,1.2222968435191401,2.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,1.0,6
