,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 16:28:27.598833,0.8,0,1640,1419,142,142,1,0,0,0,0,0,0,0.6408450704225352,1.6248301817562374,0.10531584253235941,0.0,0.0,0.0,0.0,0.0,0.0,0.5025226420010639,0.12836446936173318,0.8329063900388259,0.484478545613331,0.1978412883339047,0.19854161366841014,8.147745058181865e-19,-0.02662747451204882,2.5018993255798705e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9585567010309278,1.0867590582735014,1.6692998204667864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9238871224165341,2
1,1,2021-08-21 16:28:27.598833,0.8,0,1640,1419,142,142,0,1,0,0,0,0,0,0.6408450704225352,-1.9050453203604039,0.057791321779631526,0.0,0.0,0.0,0.0,0.0,0.0,0.4295774647887324,0.0,1.0,0.0,0.49501582452929505,0.49676809841417735,2.0011021960032834e-213,1.4253894513803114,2.1524427369989406e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.829278350515464,0.9401903489731174,1.444165170556553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7992845786963434,2
2,1,2021-08-21 16:28:27.598833,0.8,0,1640,1419,142,142,0,0,1,0,0,0,0,0.6408450704225352,0.8740721838448641,0.3828226961687262,0.0,0.0,0.0,0.0,0.0,0.0,0.542253521198905,0.0,1.0,1.0,0.49821144093060443,0.49997502676732475,2.3246618474269557e-202,-0.8588675490869101,2.7438515632476113e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.133745199532476,1.7414721723518851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9638314785373608,2
3,1,2021-08-21 16:28:27.598833,0.8,0,1640,1419,142,142,0,0,0,1,0,0,0,0.6408450704225352,-1.3836579232824857,0.16755747156239362,0.0,0.0,0.0,0.0,0.0,0.0,0.5024404157073612,0.11127524554456159,0.8950206141076933,0.5061401720325795,0.2105220750249256,0.21126728824029742,4.023923324936178e-07,0.22852373803484002,0.0012729017762467265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.928041237113402,1.0521622975455,1.6161579892280071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8944753577106518,2
4,1,2021-08-21 16:28:27.598833,0.8,0,1640,1419,142,142,0,0,0,0,1,0,0,0.6408450704225352,0.4855714603899603,0.62764807783998,0.0,0.0,0.0,0.0,0.0,0.0,0.5617367556108568,1.315982980457287e-14,0.9999999999999929,0.8752887113777957,0.46328323090835993,0.46492317667695543,4.444844854905466e-233,-1.4125323337658406,1.5113788872359772e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5742268041237113,0.6510268826181332,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5534578696343402,2
5,1,2021-08-21 16:28:27.598833,0.8,0,1640,1419,142,142,0,0,0,0,0,1,0,0.6408450704225352,0.4987899945565881,0.6183161810515079,0.0,0.0,0.0,0.0,0.0,0.0,0.5354017665562841,1.8914724134255978e-06,0.9999998842328831,0.6492899601117266,0.44733843227646586,0.44892193610349523,5.006407885664488e-255,-0.8804934386931302,3.1241919180814356e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8969072164948453,1.0168642511270662,1.5619389587073609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8644674085850556,2
6,1,2021-08-21 16:28:27.598833,0.8,0,1640,1419,142,142,0,0,0,0,0,0,1,0.6408450704225352,0.3276329155937008,0.743432329285926,0.0,0.0,0.0,0.0,0.0,0.0,0.512605633802817,0.03,1.0,0.505,0.30724967958008204,0.30833729246635405,6.274005815235164e-106,0.5062105062259541,1.2560914797177247e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9872164948453608,1.1192519619302053,1.7192100538599642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.951510333863275,2
7,2,2021-08-21 16:28:27.598833,0.8,0,1640,1419,284,142,1,0,0,0,0,0,0,0.6690140845070423,-0.9437842016659237,0.34608780941530315,0.6131025307661009,0.540302695827042,0.0,0.0,0.0,0.0,0.5151965628995576,0.2793271765417575,0.8035537693954684,0.4899060666691996,0.14529727461477962,0.1458116028589204,5.6068376029183194e-42,0.42293933137228834,6.758355652891623e-07,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9369369369369368,1.0203064656783354,1.3974320692744098,0.9649484536082473,1.0940056770746367,1.6804308797127467,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,0.930047694753577,6
8,2,2021-08-21 16:28:27.598833,0.8,0,1640,1419,284,142,0,1,0,0,0,0,0,0.6690140845070423,1.075238960493021,0.2831868466958307,2.1461991051417093,0.032710377146048436,0.0,0.0,0.0,0.0,0.5563380281690141,0.0,1.0,1.0,0.49681588801288096,0.49857453382382516,6.605303770585967e-207,-1.1429917422759417,2.4672529543217195e-17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8756756756756756,0.9535941198455212,1.3060615108987754,0.9018556701030928,1.022474536650526,1.570556552962298,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,0.8692368839427662,6
9,2,2021-08-21 16:28:27.598833,0.8,0,1640,1419,284,142,0,0,1,0,0,0,0,0.6690140845070423,-0.5439305581835597,0.5869190318359052,-0.8366890479345462,0.4034758220497773,0.0,0.0,0.0,0.0,0.4925408078348932,0.0,1.0,1.3157731724470315e-42,0.49955190599228805,0.5013202368529142,2.823021189046365e-197,0.144928108010085,3.300477775610672e-17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9937937937937938,1.0822224990656535,1.4822335025380708,1.0235051546391754,1.1603940557689096,1.7824057450628368,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,0.9864864864864865,6
