,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 17:17:27.546253,0.8,0,301,779,78,78,1,0,0,0,0,0,0,0.6025641025641025,1.809376235465078,0.0723427942347878,0.0,0.0,0.0,0.0,0.0,0.0,0.4287479740004589,0.005512425471275838,0.893373573102131,0.4286709462411341,0.2403042227508148,0.24185960612595908,0.02395402032201803,0.5869245000073143,0.06199493259191513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9276556776556776,1.0041064854148964,1.0776595744680852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6771390374331551,3
1,1,2021-08-23 17:17:27.546253,0.8,0,301,779,78,78,0,1,0,0,0,0,0,0.6025641025641025,-0.871140966298436,0.38503318366100103,0.0,0.0,0.0,0.0,0.0,0.0,0.32051282051282054,0.0,1.0,0.0,0.46667371085131537,0.4696942842027361,4.627324247171599e-16,2.7296328912277175,1.8235663901220583e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9029304029304027,0.9773435287453976,1.0489361702127658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.659090909090909,3
2,1,2021-08-23 17:17:27.546253,0.8,0,301,779,78,78,0,0,1,0,0,0,0,0.6025641025641025,-2.044057289740955,0.04265146665425165,0.0,0.0,0.0,0.0,0.0,0.0,0.3872589366671862,9.594549339250518e-67,1.0,4.569892744059507e-07,0.4839877907699094,0.4871204305334516,1.8768475633473305e-296,1.7610170015107107,8.396624324655266e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8608058608058607,0.9317473803455111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6283422459893048,3
3,1,2021-08-23 17:17:27.546253,0.8,0,301,779,78,78,0,0,0,1,0,0,0,0.6025641025641025,0.9384581237375289,0.3494785528948474,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999500017256,0.49999999500016584,0.4999999950006195,0.49999999500016656,5.095601904486918e-14,5.1285825660236525e-14,1.7099322949302017e-37,10.608089545890442,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0824129141886152,1.1617021276595747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7299465240641712,3
4,1,2021-08-23 17:17:27.546253,0.8,0,301,779,78,78,0,0,0,0,1,0,0,0.6025641025641025,-0.7185468530150649,0.47350894914644726,0.0,0.0,0.0,0.0,0.0,0.0,0.45475686402557275,7.892575982126243e-07,0.9998488265841378,0.2945756551160927,0.42304163929563576,0.4257798014686597,0.0,0.7946090704674255,2.8174487187726527e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8901098901098902,0.9634664401019541,1.0340425531914894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6497326203208557,3
5,1,2021-08-23 17:17:27.546253,0.8,0,301,779,78,78,0,0,0,0,0,1,0,0.6025641025641025,-0.009500249467427797,0.9924323074941517,0.0,0.0,0.0,0.0,0.0,0.0,0.5032388850163602,6.1019980058930854e-05,0.9999333677929749,0.4439213893231211,0.41422133557760826,0.41690240781018206,4.3551716844573715e-303,0.24630681741220115,9.28172916303538e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9661172161172162,1.045737751345228,1.1223404255319152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7052139037433156,3
6,1,2021-08-23 17:17:27.546253,0.8,0,301,779,78,78,0,0,0,0,0,0,1,0.6025641025641025,2.29784237304961,0.02291682550882754,0.0,0.0,0.0,0.0,0.0,0.0,0.5037179487179488,0.14,0.8,0.51,0.15562206829168537,0.15662934138516507,0.1941802818967734,-1.2245014834242174,0.13194255530834198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9194139194139194,0.995185499858397,1.0680851063829788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6711229946524064,3
7,2,2021-08-23 17:17:27.546253,0.8,0,301,779,156,78,1,0,0,0,0,0,0,0.7692307692307693,-1.0874205271546977,0.27855000540792,1.9006377657325824,0.05921790285969433,0.0,0.0,0.0,0.0,0.4876579200059011,0.21109100029665245,0.8536833111291104,0.49841420215850785,0.1273821217302401,0.12820661008987774,0.7947569547221905,0.413444839019507,0.4040380120277405,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8646128901499797,0.9347649157954047,1.0559405940594058,0.9708079296119162,1.0508150402086502,1.1277896373789495,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7086378737541528,3
8,2,2021-08-23 17:17:27.546253,0.8,0,301,779,156,78,0,1,0,0,0,0,0,0.7692307692307693,0.9584104633228124,0.3393580552628498,2.9690988032027854,0.003465096396624837,0.0,0.0,0.0,0.0,0.5512820512820513,0.0,1.0,1.0,0.4973631984941237,0.5005824113797354,1.2169804650942649e-179,-0.7963771957447445,1.1389848482770693e-12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9355492501013377,1.0114568334063734,1.1425742574257425,1.0504569627493217,1.1370281822792148,1.2203180886407015,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7667774086378738,3
9,2,2021-08-23 17:17:27.546253,0.8,0,301,779,156,78,0,0,1,0,0,0,0,0.7692307692307693,-0.45147616780825806,0.6522815495642749,1.0986551115654613,0.2736332015766118,0.0,0.0,0.0,0.0,0.47431488396910165,1.4334206232901585e-74,1.0,1.9071856345926855e-05,0.4992200051833522,0.5024512363607034,2.163810424883531e-171,0.39901451367071283,1.3043987548075342e-12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8188082691528173,0.8852438489951795,1.0,0.9193774110717633,0.9951459827573716,1.0680426945642187,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.6710963455149502,3
10,2,2021-08-23 17:17:27.546253,0.8,0,301,779,156,78,0,0,0,1,0,0,0,0.7692307692307693,-1.0483027691114293,0.29614156539261083,0.9960328462843798,0.32079664240531247,0.0,0.0,0.0,0.0,0.49999999502861014,0.4999999949941949,0.49999999722701666,0.49999999500016656,2.5053269763677895e-10,2.5215428542401574e-10,1.5949322491330403e-37,10.61333938638996,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0811369185500532,1.221287128712871,1.1228237985713068,1.2153589799318987,1.3043867957870927,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.8196013289036544,3
11,2,2021-08-23 17:17:27.546253,0.8,0,301,779,156,78,0,0,0,0,1,0,0,0.7692307692307693,-0.46884838822635655,0.6398410305746021,1.4063939790597504,0.16162182989073795,0.0,0.0,0.0,0.0,0.5532309324887171,2.178599869716253e-08,0.9999995232373396,0.7910016847323822,0.44557697860119433,0.4484610020982843,4.43555833940504e-249,-0.9422551618825905,2.4370849782684445e-10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9497365220916094,1.026795216928567,1.1599009900990098,1.0663867693768025,1.1542708106933275,1.2388237788930516,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.778405315614618,3
12,2,2021-08-23 17:17:27.546253,0.8,0,301,779,156,78,0,0,0,0,0,1,0,0.7692307692307693,1.667965424788063,0.0973546814881399,1.210636358373483,0.2278895438801143,0.0,0.0,0.0,0.0,0.5867362349110911,1.5326515742426524e-05,0.9999920611641397,0.8427022371254866,0.44124468393817784,0.4441006664003749,0.0,-1.390192470419825,1.8122306433276947e-10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9781110660721525,1.0574719839729543,1.1945544554455445,1.0982463826317646,1.1887560675215532,1.2758351593977522,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.8016611295681063,3
13,2,2021-08-23 17:17:27.546253,0.8,0,301,779,156,78,0,0,0,0,0,0,1,0.7692307692307693,0.16119982342813288,0.8721473012020832,-0.35996470359243654,0.7193667070821218,0.0,0.0,0.0,0.0,0.49243589743589755,0.04,0.91,0.485,0.226761966565394,0.22822969688187936,0.015590886975549601,-0.3969160625480423,0.0698678120970726,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9278475881637617,1.003130282351468,1.133168316831683,1.0418093534372603,1.127667898282982,1.210272142503711,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7604651162790698,3
14,3,2021-08-23 17:17:27.546253,0.8,0,301,779,234,78,1,0,0,0,0,0,0,0.7051282051282052,-0.7771345464999585,0.4382715087934981,2.8009702496045117,0.005748713951850522,3.7544744641413796,0.00024573883891999365,0.0,0.0,0.5447814670512826,0.3230866900743244,0.8004673774669905,0.5286629663869993,0.12569763682681345,0.12651122225771985,0.03996310064215376,1.311467610484357,0.017690466716885567,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9247176913425346,1.0064377682403434,1.1373456790123457,0.9083006800882765,0.9819973983875568,1.1092959295929592,1.01986161986162,1.1039113880235376,1.184775413711584,0.0,0.0,0.0,gaussian_process,0.7444444444444445,5
15,3,2021-08-23 17:17:27.546253,0.8,0,301,779,234,78,0,1,0,0,0,0,0,0.7051282051282052,-0.20725328807230858,0.8360858518848931,0.4824776498101665,0.6301517548803364,3.48432313180154,0.0006426900508267866,0.0,0.0,0.5897435897435898,0.0,1.0,1.0,0.49188015623720194,0.49506387980567224,4.312651711555104e-214,-1.3865406316060522,8.126686715063947e-13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8971141781681307,0.9763948497854078,1.1033950617283952,0.881187226951313,0.952684043211809,1.0761826182618262,0.9894179894179895,1.0709588092765663,1.1494089834515369,0.0,0.0,0.0,gaussian_process,0.7222222222222223,5
16,3,2021-08-23 17:17:27.546253,0.8,0,301,779,234,78,0,0,1,0,0,0,0,0.7051282051282052,1.941906950848772,0.05397343828353574,1.6699954865195756,0.09695159865175848,2.818851415917849,0.005453043573606423,0.0,0.0,0.6059561370805786,5.5186733627812206e-71,1.0,0.9999998519636333,0.4787877868818693,0.4818867693109479,1.516340136643382e-272,-1.6172250112745494,1.86847889591113e-12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8130489335006273,0.8849005072181038,1.0,0.7986144378523787,0.8634115524493037,0.9753375337533753,0.8967032967032966,0.9706032285471538,1.0417021276595746,0.0,0.0,0.0,gaussian_process,0.6545454545454545,5
17,3,2021-08-23 17:17:27.546253,0.8,0,301,779,234,78,0,0,0,1,0,0,0,0.7051282051282052,-2.306700027371266,0.022404439572374042,1.0026823028137977,0.3175870537713128,1.0086857711272597,0.3147075936533704,0.0,0.0,0.499999999792627,0.499999994778716,0.5000003656174584,0.49999999500016656,4.169149420376826e-08,4.19613448798286e-08,1.6045391525602408e-37,10.612885606124635,1.7764897573468216e-20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9711417816813052,1.0569644947327352,1.1944444444444446,0.9539005785458969,1.031297132092224,1.164986498649865,1.0710622710622713,1.1593316340979893,1.2442553191489365,0.0,0.0,0.0,gaussian_process,0.781818181818182,5
18,3,2021-08-23 17:17:27.546253,0.8,0,301,779,234,78,0,0,0,0,1,0,0,0.7051282051282052,0.5791716681725732,0.5633195551633065,0.8841859290344316,0.37797417557900936,2.316834612341292,0.021830547752336,0.0,0.0,0.6165751884794665,3.503984841934571e-07,0.9999997801757382,0.9295515020750933,0.4434660411160108,0.4463364014446685,4.9140329075948675e-82,-1.9181808551576798,4.1964331315424985e-11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9385194479297366,1.0214592274678111,1.1543209876543212,0.9218574066567583,0.9966540759754309,1.125852585258526,1.0350834350834353,1.1203876773970232,1.2024586288416077,0.0,0.0,0.0,gaussian_process,0.7555555555555556,5
