,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 17:19:31.771324,0.8,0,301,779,78,78,1,0,0,0,0,0,0,0.5,1.0043679775839172,0.3167767936310375,0.0,0.0,0.0,0.0,0.0,0.0,0.5352688907300577,0.06149491943843246,0.8847222446119,0.5474694674859961,0.18398229681265377,0.18517313317211298,0.5186783527897944,-1.1295334771005603,0.48997679352760315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9163498098859317,1.0563556668753915,1.2110552763819096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4781746031746032,6
1,1,2021-08-23 17:19:31.771324,0.8,0,301,779,78,78,0,1,0,0,0,0,0,0.5,-2.7974055757567884,0.005809374022625392,0.0,0.0,0.0,0.0,0.0,0.0,0.47435897435897434,0.0,1.0,0.0,0.4993421049782167,0.5025741264537527,2.1753214585663707e-171,0.39899833532954526,1.2880184115451887e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8631178707224336,0.9949906073888541,1.1407035175879396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4503968253968254,6
2,1,2021-08-23 17:19:31.771324,0.8,0,301,779,78,78,0,0,1,0,0,0,0,0.5,3.6377304016126346,0.0003747094584429122,0.0,0.0,0.0,0.0,0.0,0.0,0.6909061744929946,1.716294445403305e-70,1.0,1.0,0.4605055189465459,0.4634861683089766,1.0350711428824206e-10,-2.911521223337747,1.641833099596396e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7566539923954374,0.8722604884157796,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.3948412698412699,6
3,1,2021-08-23 17:19:31.771324,0.8,0,301,779,78,78,0,0,0,1,0,0,0,0.5,1.336531073283654,0.18334703678886569,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999950002123,0.49999999500016656,0.499999995003736,0.49999999500016656,4.01558325038128e-13,4.0415743461051994e-13,1.5925721049502694e-37,10.61345128148922,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8517110266159696,0.9818409517845961,1.1256281407035174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4444444444444444,6
4,1,2021-08-23 17:19:31.771324,0.8,0,301,779,78,78,0,0,0,0,1,0,0,0.5,-1.5199476467632893,0.13057459485669887,0.0,0.0,0.0,0.0,0.0,0.0,0.44282073060845134,0.0008362308944174453,0.999647924538602,0.3308534061615214,0.3754091608975967,0.37783901902099076,7.291650882386073e-33,1.180802136214143,1.862225502691217e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7756653992395438,0.8941765810895429,1.0251256281407035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.40476190476190477,6
5,1,2021-08-23 17:19:31.771324,0.8,0,301,779,78,78,0,0,0,0,0,1,0,0.5,0.4752680808262309,0.6352692980157191,0.0,0.0,0.0,0.0,0.0,0.0,0.5342927175037432,0.0016383064198360116,0.999326736842587,0.5249824048025573,0.371406827638246,0.3738107804215586,7.380096912321938e-68,-0.5021517252265243,6.499760161204904e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9087452471482891,1.047589229805886,1.201005025125628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4742063492063492,6
6,1,2021-08-23 17:19:31.771324,0.8,0,301,779,78,78,0,0,0,0,0,0,1,0.5,-0.8179833267635727,0.4146305327796548,0.0,0.0,0.0,0.0,0.0,0.0,0.5123076923076924,0.18,0.79,0.53,0.16377692048765036,0.16483697634702224,0.0018057236719751925,-0.6426723322473575,0.019640348851680756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.1527864746399497,1.3216080402010046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5218253968253967,6
7,2,2021-08-23 17:19:31.771324,0.8,0,301,779,156,78,1,0,0,0,0,0,0,0.5256410256410257,-0.06551624182103757,0.9478479478077928,-0.602176600114568,0.5479421771254911,0.0,0.0,0.0,0.0,0.5218814779631166,0.3960003421975536,0.7185963431646172,0.5127593367281591,0.06486652643877124,0.06528637888943264,7.379202959312122e-05,3.8093110632475096,6.0808283706137445e-06,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.696913002806361,0.8649859014761984,1.0332871012482663,0.939263558134881,1.082770325940085,1.2413382702988627,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4901315789473684,3
8,2,2021-08-23 17:19:31.771324,0.8,0,301,779,156,78,0,1,0,0,0,0,0,0.5256410256410257,0.29889667321689456,0.7654218468883854,0.6372319838069593,0.524919949676414,0.0,0.0,0.0,0.0,0.5256410256410257,0.0,1.0,1.0,0.4993421049782167,0.5025741264537527,2.1753214585663707e-171,-0.39899833532954493,1.2880358672001657e-12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8213283442469598,1.019406203350473,1.2177531206657422,1.1069441664999002,1.2760702633226775,1.462946310499868,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5776315789473685,3
9,2,2021-08-23 17:19:31.771324,0.8,0,301,779,156,78,0,0,1,0,0,0,0,0.5256410256410257,0.0308251931193416,0.9754488618689631,-2.4599084084867324,0.015003021518692435,0.0,0.0,0.0,0.0,0.501732781742105,2.144024551770769e-29,1.0,0.6082996005916356,0.4932683069980556,0.4964610154548932,5.487632101209765e-174,-0.05552778242482158,2.794010899379029e-12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6744621141253507,0.8371205838447504,1.0,0.9090054032419453,1.047889134231948,1.2013488495107114,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4743421052631579,3
