,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 17:22:21.101900,0.8,0,301,779,78,78,1,0,0,0,0,0,0,0.6794871794871795,-0.6440023092461584,0.5205319195058886,0.0,0.0,0.0,0.0,0.0,0.0,0.5911134977177358,0.2311878352662551,0.8985151836573678,0.612967409083972,0.14786513272586768,0.14882219859251203,0.3706832660606478,-1.3562820223869898,0.33575305342674255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9418931583880037,1.0256597171599358,1.1525229357798163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6611842105263157,4
1,1,2021-08-23 17:22:21.101900,0.8,0,301,779,78,78,0,1,0,0,0,0,0,0.6794871794871795,2.117453734437408,0.0358276366727882,0.0,0.0,0.0,0.0,0.0,0.0,0.6282051282051282,0.0,1.0,1.0,0.4832840211530965,0.4864121057259334,0.0,-1.967565067421423,4.831655366598075e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8172446110590441,0.8899256451377753,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5736842105263158,4
2,1,2021-08-23 17:22:21.101900,0.8,0,301,779,78,78,0,0,1,0,0,0,0,0.6794871794871795,-0.6871282755244926,0.49303535680798916,0.0,0.0,0.0,0.0,0.0,0.0,0.46121345072357417,9.932454485059967e-113,1.0,0.0003350640080452011,0.4953231541480869,0.49852916272532627,4.143567452506558e-176,0.6022155687882246,1.719022060114872e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9512652296157451,1.0358652864849105,1.1639908256880733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6677631578947368,4
3,1,2021-08-23 17:22:21.101900,0.8,0,301,779,78,78,0,0,0,1,0,0,0,0.6794871794871795,-3.237194553741549,0.0014782064579898268,0.0,0.0,0.0,0.0,0.0,0.0,0.499999995000169,0.4999999950001486,0.4999999950003712,0.49999999500016656,2.31325142447057e-14,2.328222044596908e-14,2.9486862031875026e-37,10.566238135058658,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9062792877225866,0.9868785537250327,1.1089449541284402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6361842105263157,4
4,1,2021-08-23 17:22:21.101900,0.8,0,301,779,78,78,0,0,0,0,1,0,0,0.6794871794871795,-0.9088626356916313,0.3648427962557441,0.0,0.0,0.0,0.0,0.0,0.0,0.642870704930859,0.0005837915123159967,0.9999503963810299,0.9058128391336775,0.3872752690116277,0.38978193122559057,1.4228162952863531e-16,-1.9105479584680791,3.632496081706904e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0889342469747778,1.223623853211009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7019736842105263,4
5,1,2021-08-23 17:22:21.101900,0.8,0,301,779,78,78,0,0,0,0,0,1,0,0.6794871794871795,2.058050800652669,0.041270844130853745,0.0,0.0,0.0,0.0,0.0,0.0,0.6977802278998252,0.0030874890071383417,0.9999799428368964,0.9179997451465218,0.36203830558353395,0.3643816200506041,0.00018363252690054217,-2.9147052846887553,8.890851943554878e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9062792877225866,0.9868785537250327,1.1089449541284402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6361842105263157,4
6,1,2021-08-23 17:22:21.101900,0.8,0,301,779,78,78,0,0,0,0,0,0,1,0.6794871794871795,0.4797410978649145,0.6320921402158077,0.0,0.0,0.0,0.0,0.0,0.0,0.6035897435897437,0.18,0.9,0.645,0.1738181658130154,0.17494321423001294,0.12926689495050472,-1.8458912505382599,0.0243906918913126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9053420805998126,0.9858579967925355,1.1077981651376148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6355263157894737,4
7,2,2021-08-23 17:22:21.101900,0.8,0,301,779,156,78,1,0,0,0,0,0,0,0.7564102564102564,0.2057824440295433,0.8372326356455542,-2.635976849659962,0.009248319320572433,0.0,0.0,0.0,0.0,0.5375811857351609,0.3215184863519485,0.7980995306603246,0.5428779987288568,0.09946309808871097,0.1001068789071943,0.7034690677530548,-0.6039812212543367,0.3224897086620331,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8552161840539467,0.9237360754070265,1.0355427473583092,1.0123072531923423,1.102336036462109,1.2386833017846666,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.7106130520764666,6
8,2,2021-08-23 17:22:21.101900,0.8,0,301,779,156,78,0,1,0,0,0,0,0,0.7564102564102564,0.7772072584701252,0.43822874347356844,-1.2951183413261822,0.19721760998080975,0.0,0.0,0.0,0.0,0.5256410256410257,0.0,1.0,1.0,0.4993421049782167,0.5025741264537527,2.1753214585663707e-171,-0.3989983353295454,1.2880358672001657e-12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9250297500991671,0.9991431019708658,1.1200768491834776,1.0949445799835542,1.192322651683506,1.3398003060119867,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.7686222808174029,6
9,2,2021-08-23 17:22:21.101900,0.8,0,301,779,156,78,0,0,1,0,0,0,0,0.7564102564102564,-0.6503614709817667,0.5164278259088518,0.03056646136046737,0.9756548673858984,0.0,0.0,0.0,0.0,0.4636418247900272,1.480782265577111e-41,1.0,0.0885443482243159,0.4905606119496206,0.4937357946892024,1.2755843191403868e-179,0.6104833412408518,2.9352620594530476e-12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9135263784212613,0.9867180805484147,1.106147934678194,1.0813282022736386,1.1774953116754348,1.323138981451803,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.7590639419907712,6
