,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 16:41:46.568070,0.8,0,346,321,33,32,1,0,0,0,0,0,0,0.96875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,2.220446049250318e-16,0.9999999999999998,0.9999999999999998,0.46351240544347877,0.4709290748598847,0.0008266831272588388,-2.013102259460727,2.4324521064045257e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,1.0,2
1,1,2021-08-21 16:41:46.568070,0.8,0,346,321,33,32,0,1,0,0,0,0,0,0.96875,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,1.0,1.0,0.46351240544347894,0.47092907485988494,0.0008266831272588346,-2.0131022594607257,2.4324521064045257e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9272727272727274,0.9648648648648649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9272727272727274,2
2,1,2021-08-21 16:41:46.568070,0.8,0,346,321,33,32,0,0,1,0,0,0,0,0.96875,0.8278164620346861,0.41094958228413725,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,1.0,1.0,0.46351240544347894,0.47092907485988494,0.0008266831272588346,-2.0131022594607257,2.4324521064045257e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,1.0,2
3,1,2021-08-21 16:41:46.568070,0.8,0,346,321,33,32,0,0,0,1,0,0,0,0.96875,-0.8721124686166966,0.38651189461625524,0.0,0.0,0.0,0.0,0.0,0.0,0.6099608217214675,0.18725283119772484,0.8218730304317887,0.7534617146338576,0.23903058610630315,0.2428553183394438,0.018062535439874072,-2.0701281571948544,3.516281594784232e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9500000000000001,0.9885135135135135,1.0245098039215685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9500000000000001,2
4,1,2021-08-21 16:41:46.568070,0.8,0,346,321,33,32,0,0,0,0,1,0,0,0.96875,-0.22469714085477496,0.8229537921079039,0.0,0.0,0.0,0.0,0.0,0.0,0.6800522102136228,0.003459317420345969,0.9999999453720249,0.9078546899996094,0.3782884644868859,0.3843414642603325,0.02153331281181761,-2.296264451553545,7.947055564727634e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9500000000000001,0.9885135135135135,1.0245098039215685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9500000000000001,2
5,1,2021-08-21 16:41:46.568070,0.8,0,346,321,33,32,0,0,0,0,0,1,0,0.96875,0.16259900811657432,0.8713629637924254,0.0,0.0,0.0,0.0,0.0,0.0,0.7035318229910715,9.903809384718867e-07,0.9999999999997271,0.9963489138296804,0.4420292737923036,0.4491021912753963,0.008389098335703792,-2.207715020116998,4.72217251967777e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9500000000000001,0.9885135135135135,1.0245098039215685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9500000000000001,2
6,1,2021-08-21 16:41:46.568070,0.8,0,346,321,33,32,0,0,0,0,0,0,1,0.96875,-0.014067866369678605,0.9888210084312735,0.0,0.0,0.0,0.0,0.0,0.0,0.6859375,0.0,1.0,0.96,0.4093658157366709,0.4159160847047503,0.015107898153320858,-2.181966202640506,4.448511674581823e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9500000000000001,0.9885135135135135,1.0245098039215685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9500000000000001,2
7,2,2021-08-21 16:41:46.568070,0.8,0,346,321,65,32,1,0,0,0,0,0,0,1.0,0.2522994863269075,0.8016441252840187,-0.5191967039488065,0.6054720864559218,0.0,0.0,0.0,0.0,0.625,2.220446049250318e-16,0.9999999999999998,0.9999999999999998,0.4841229182759269,0.4918693768379645,8.840849017087281e-12,-1.3403306633039132,5.7840367162498296e-08,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9285714285714286,0.9479166666666667,1.0,0.9285714285714286,0.9662162162162161,1.0014005602240896,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,0.9285714285714286,6
8,2,2021-08-21 16:41:46.568070,0.8,0,346,321,65,32,0,1,0,0,0,0,0,1.0,0.24924736407230869,0.8039933344532832,-0.7729362243110672,0.4424969510312481,0.0,0.0,0.0,0.0,0.59375,0.0,1.0,1.0,0.4911323014219285,0.49899091723584604,2.6146532768196157e-22,-1.005728955052882,7.836361959334681e-08,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9642857142857143,0.984375,1.0384615384615385,0.9642857142857143,1.0033783783783783,1.0399159663865545,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,0.9642857142857143,6
9,2,2021-08-21 16:41:46.568070,0.8,0,346,321,65,32,0,0,1,0,0,0,0,1.0,0.02063535421707393,0.983602805044912,-1.0251085101720299,0.30929503997384566,0.0,0.0,0.0,0.0,0.5625,0.0,1.0,1.0,0.49607837082461076,0.5040161287741853,2.8455653455893753e-43,-0.6709252938904533,9.737414785604415e-08,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0208333333333333,1.0769230769230769,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,1.0,6
10,2,2021-08-21 16:41:46.568070,0.8,0,346,321,65,32,0,0,0,1,0,0,0,1.0,-0.25348336425176776,0.8007333910118322,-0.7227678395963015,0.4725402504889672,0.0,0.0,0.0,0.0,0.5603549208773675,0.11189790498895036,0.8617409986902658,0.7975219192807685,0.2981452041232387,0.3029158303051923,8.094823414453615e-13,-0.9137277033347784,5.915874680795241e-06,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0208333333333333,1.0769230769230769,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,1.0,6
11,2,2021-08-21 16:41:46.568070,0.8,0,346,321,65,32,0,0,0,0,1,0,0,1.0,0.024212164573569464,0.9807611347889597,-0.9207295204869225,0.3607604264580697,0.0,0.0,0.0,0.0,0.5844468601881059,0.0014811738557832332,0.9979447217454381,0.8926206112603003,0.4371962401318502,0.4441918241660061,9.930256873425106e-14,-0.9316772528528324,2.356242703172029e-06,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9642857142857143,0.984375,1.0384615384615385,0.9642857142857143,1.0033783783783783,1.0399159663865545,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,0.9642857142857143,6
12,2,2021-08-21 16:41:46.568070,0.8,0,346,321,65,32,0,0,0,0,0,1,0,1.0,-0.05498037724389503,0.9563308856116219,-1.0470427888996081,0.29914463495571053,0.0,0.0,0.0,0.0,0.5816425430937298,2.207952380346341e-05,0.9999889441094795,0.9791470469923291,0.47404739290542386,0.48163263282478425,1.9663423397604062e-22,-0.8376983846459878,3.427884109896695e-07,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0208333333333333,1.0769230769230769,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,1.0,6
13,2,2021-08-21 16:41:46.568070,0.8,0,346,321,65,32,0,0,0,0,0,0,1,1.0,-0.30930666750200647,0.7581253647430193,-0.8907397819116966,0.37651240665616004,0.0,0.0,0.0,0.0,0.588125,0.0,1.0,0.9450000000000001,0.45412303880666527,0.46138946881727144,6.12871178838479e-15,-0.9045689925369346,1.2208735142849036e-06,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.0208333333333333,1.0769230769230769,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,1.0,6
14,3,2021-08-21 16:41:46.568070,0.8,0,346,321,97,32,1,0,0,0,0,0,0,1.0,0.0,1.0,-1.0000000000000004,0.32119748246316826,-1.531188366964056,0.13080969025305156,0.0,0.0,0.5,2.220446049250318e-16,0.9999999999999998,0.5,0.4999999999999998,0.5080005080007618,1.141423209473861e-110,1.0386492399928013,1.1587712123173333e-07,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0208333333333333,1.0769230769230769,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,random_forest,1.0,6
15,3,2021-08-21 16:41:46.568070,0.8,0,346,321,97,32,0,1,0,0,0,0,0,1.0,0.0,1.0,-0.7447630282115613,0.4592288028932784,-1.5311883669640554,0.1308096902530517,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.508000508000762,1.141423209473861e-110,1.0386492399928013,1.1587712123173333e-07,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0208333333333333,1.0769230769230769,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,random_forest,1.0,6
16,3,2021-08-21 16:41:46.568070,0.8,0,346,321,97,32,0,0,1,0,0,0,0,1.0,-0.25611830738835345,0.7987073779739735,-0.49405919502522805,0.623010288676872,-1.5311883669640554,0.1308096902530517,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.508000508000762,1.141423209473861e-110,1.0386492399928013,1.1587712123173333e-07,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0208333333333333,1.0769230769230769,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,random_forest,1.0,6
17,3,2021-08-21 16:41:46.568070,0.8,0,346,321,97,32,0,0,0,1,0,0,0,1.0,-0.09431416280362219,0.9251637446442404,-0.41644127090918154,0.6785253086331775,-1.141082686262407,0.25822390740576123,0.0,0.0,0.5274117301071932,0.09289264541769171,0.9009655165209551,0.5546888206675931,0.3241946682709313,0.32938211234554327,1.3197700116359306e-28,-0.13977975968889947,1.14334725367371e-05,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0208333333333333,1.0769230769230769,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,random_forest,1.0,6
18,3,2021-08-21 16:41:46.568070,0.8,0,346,321,97,32,0,0,0,0,1,0,0,1.0,0.20219891499324272,0.8404232427440227,-0.4239771031562257,0.6730499404860986,-1.3604505489298868,0.17861307780599894,0.0,0.0,0.5367792650486973,0.0006170334112560082,0.997888214708834,0.6374802132666488,0.44800962490111573,0.45517823407799524,5.937931213005495e-33,-0.209754491232251,2.4196694994316204e-06,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0208333333333333,1.0769230769230769,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,random_forest,1.0,6
19,3,2021-08-21 16:41:46.568070,0.8,0,346,321,97,32,0,0,0,0,0,1,0,1.0,-0.14430170719731025,0.8857302692750212,-0.5650989480037174,0.574045652608089,-1.618009135573145,0.11073736794917248,0.0,0.0,0.5127967312543427,6.968684060557239e-06,0.9999558688027026,0.6281358870571508,0.4851757470043642,0.4929390518957324,1.915706076844278e-67,-0.07399660300422986,3.2409457162430044e-07,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0208333333333333,1.0769230769230769,1.0,1.0405405405405403,1.0784313725490196,0.0,0.0,0.0,random_forest,1.0,6
