,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 03:12:03.567102,0.8,0,81,875,88,88,1,0,0,0,0,0,0,0.7386363636363636,-0.5043370657951439,0.6146625782075943,0.0,0.0,0.0,0.0,0.0,0.0,0.4300171376219225,1.4099710021333335e-06,0.9947660226749269,0.23214144706558293,0.43793807570259263,0.4404477700350252,1.6427109372118347e-256,1.1585870674202952,4.8375494582364453e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0591531755915318,1.12326656394453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7788461538461539,0
1,1,2021-08-21 03:12:03.567102,0.8,0,81,875,88,88,0,1,0,0,0,0,0,0.7386363636363636,0.8827287903433391,0.3786007244563011,0.0,0.0,0.0,0.0,0.0,0.0,0.4659090909090909,0.0,1.0,0.0,0.4988364560829084,0.5016951411256134,1.3203143098350714e-174,0.5590486869980253,1.8003332928184096e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8902606310013718,0.9429223744292238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6933760683760684,0
2,1,2021-08-21 03:12:03.567102,0.8,0,81,875,88,88,0,0,1,0,0,0,0,0.7386363636363636,-1.7545697167335377,0.08109318346030724,0.0,0.0,0.0,0.0,0.0,0.0,0.39993788309035333,0.0,1.0,7.991238055076182e-14,0.48692093619936877,0.4897113369014812,1.0145175026940194e-230,1.6499588325955872,1.3961630517065476e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9341563786008229,0.9894146948941468,1.0493066255778118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7275641025641024,0
3,1,2021-08-21 03:12:03.567102,0.8,0,81,875,88,88,0,0,0,1,0,0,0,0.7386363636363636,0.8227249054756889,0.4117905208623752,0.0,0.0,0.0,0.0,0.0,0.0,0.5014255990970109,0.12213192373997117,0.9591985134243259,0.4793453177706688,0.23234248925715706,0.23367397574080312,0.002267054472911954,0.8233788529383028,0.010532683692872524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9080932784636488,0.9618098796180989,1.0200308166409862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7072649572649573,0
4,1,2021-08-21 03:12:03.567102,0.8,0,81,875,88,88,0,0,0,0,1,0,0,0.7386363636363636,-0.1549442445023308,0.8770448604969866,0.0,0.0,0.0,0.0,0.0,0.0,0.463753386222756,0.00023616206007514375,0.9920464484686928,0.4077620781799295,0.35836918502653353,0.36042289344441114,3.895125763943993e-139,0.40964519027665725,3.52777419720951e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9629629629629629,1.0199252801992529,1.081664098613251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.75,0
5,1,2021-08-21 03:12:03.567102,0.8,0,81,875,88,88,0,0,0,0,0,1,0,0.7386363636363636,0.051332546146450615,0.9591194157828395,0.0,0.0,0.0,0.0,0.0,0.0,0.47272441936903403,0.00021594623753809616,0.9990410674747782,0.39467680371473457,0.4039996074109995,0.40631481036154843,8.989585367993205e-298,0.3918062925967576,4.55206672356212e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9506172839506173,1.0068493150684932,1.0677966101694916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7403846153846154,0
6,1,2021-08-21 03:12:03.567102,0.8,0,81,875,88,88,0,0,0,0,0,0,1,0.7386363636363636,0.6852485082077803,0.4940989941739289,0.0,0.0,0.0,0.0,0.0,0.0,0.46988636363636355,0.0,1.0,0.435,0.3204985261566659,0.32233520896474993,4.927449320422482e-10,0.5667764485409846,0.00016810419037938118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9629629629629629,1.0199252801992529,1.081664098613251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.75,0
7,2,2021-08-21 03:12:03.567102,0.8,0,81,875,176,87,1,0,0,0,0,0,0,0.6896551724137931,0.3951245592377188,0.6932405490099585,1.2884173238062735,0.19932118279268637,0.0,0.0,0.0,0.0,0.49316206886983177,0.08601314994844797,0.6874385862393463,0.49968710384383686,0.12231780649331644,0.12302690116696954,0.0009199815113496506,-3.4745264764413295,7.913110312074423e-05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8479741842954464,0.9205404804270463,1.0332022717343816,0.8153982840699633,0.8636316819445876,0.9159096287935335,0.0,0.0,0.0,0.0,0.0,0.0,ada_boost,0.6350698174006445,2
8,2,2021-08-21 03:12:03.567102,0.8,0,81,875,176,87,0,1,0,0,0,0,0,0.6896551724137931,-0.6985711432903212,0.4857635307037489,0.07057709809421081,0.9438158566414944,0.0,0.0,0.0,0.0,0.47126436781609193,0.0,1.0,0.0,0.49917358047375787,0.5020673646029037,3.4568811773120186e-173,0.4690350678220286,2.2204021390623274e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8207242739333095,0.8909586298932386,1.0,0.789195210247842,0.8358786130956285,0.8864765920965745,0.0,0.0,0.0,0.0,0.0,0.0,ada_boost,0.6146616541353385,2
9,2,2021-08-21 03:12:03.567102,0.8,0,81,875,176,87,0,0,1,0,0,0,0,0.6896551724137931,-0.6008431681609893,0.5487353990126649,1.665739140188711,0.09757511591156517,0.0,0.0,0.0,0.0,0.5241680583453642,7.736532428095174e-235,1.0,0.9818879995589782,0.4940195414901214,0.4968834468820999,2.84639412237843e-175,-0.37902987793203147,4.141415400719939e-13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0855760676156583,1.218435998252512,0.9615838538144303,1.0184645923650972,1.0801149914186745,0.0,0.0,0.0,0.0,0.0,0.0,ada_boost,0.7489258861439313,2
