,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-20 16:53:19.890033,0.8,0,97,199,20,20,1,0,0,0,0,0,0,0.8,-0.40646942234852884,0.6866779287766873,0.0,0.0,0.0,0.0,0.0,0.0,0.1500000000000002,2.220446049250318e-16,0.9999999999999998,2.220446049250318e-16,0.3570714214271423,0.3663475485325231,0.0002544506245485666,3.4924336930924866,8.316843747024905e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,1.2643171806167401,1.3898305084745763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8039215686274509,0
1,1,2021-08-20 16:53:19.890033,0.8,0,97,199,20,20,0,1,0,0,0,0,0,0.8,0.40646942234853034,0.6866779287766862,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.4,0.41039134083406165,0.010846242872071747,2.8740994516559843,2.888745029849815e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7195121951219512,0.9096916299559471,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5784313725490196,0
2,1,2021-08-20 16:53:19.890033,0.8,0,97,199,20,20,0,0,1,0,0,0,0,0.8,-4.272568067300389,0.0001247707961788506,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,1.0,5.384620161747753e-133,0.3570714214271425,0.3663475485325232,0.00025445062454856714,3.492433693092486,8.316843747024905e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7560975609756098,0.9559471365638766,1.0508474576271187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6078431372549019,0
3,1,2021-08-20 16:53:19.890033,0.8,0,97,199,20,20,0,0,0,1,0,0,0,0.8,5.028995029915226,1.2126422502167284e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.499999385790291,0.49999042500919433,0.49999999500016656,0.4999999949983527,2.085263666109435e-06,2.1394353798180046e-06,1.7216660082508184e-11,-5.3222999519122345,1.009510430804994e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7926829268292683,1.002202643171806,1.1016949152542372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6372549019607843,0
4,1,2021-08-20 16:53:19.890033,0.8,0,97,199,20,20,0,0,0,0,1,0,0,0.8,0.16796287763732262,0.8675032435120185,0.0,0.0,0.0,0.0,0.0,0.0,0.15637320365890847,0.0019693128692277236,0.9567765895148909,0.02483336888020308,0.29783918920554925,0.3055765605274879,0.0002416691663046754,3.4738037661588135,6.151831257739104e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7560975609756098,0.9559471365638766,1.0508474576271187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6078431372549019,0
5,1,2021-08-20 16:53:19.890033,0.8,0,97,199,20,20,0,0,0,0,0,1,0,0.8,-0.3255270952966077,0.7465679166933721,0.0,0.0,0.0,0.0,0.0,0.0,0.13923869358816135,9.9746675549743e-06,0.9998344150699568,0.0003160104032301497,0.33018300586993266,0.33876061624895626,0.00012546973699496437,3.5734464216979394,1.197258114871147e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7560975609756098,0.9559471365638766,1.0508474576271187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6078431372549019,0
6,1,2021-08-20 16:53:19.890033,0.8,0,97,199,20,20,0,0,0,0,0,0,1,0.8,0.20693793270239222,0.8371632423144657,0.0,0.0,0.0,0.0,0.0,0.0,0.17149999999999999,0.01,0.92,0.03,0.27855475224809934,0.2857911456769933,0.0004567758766018398,3.34292226061368,3.769372597162146e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7560975609756098,0.9559471365638766,1.0508474576271187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6078431372549019,0
7,2,2021-08-20 16:53:19.890033,0.8,0,97,199,40,20,1,0,0,0,0,0,0,0.8,-0.34530001457024706,0.7317730101875322,0.4374220009813354,0.6642814119502314,0.0,0.0,0.0,0.0,0.20351327201439387,2.2204460492502394e-16,0.9999997360199504,0.0011457968935091227,0.396061223909499,0.40635024183149704,0.011076706917160947,2.868515921623897,4.0321972960555286e-07,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9117647058823528,0.9819004524886876,1.068965517241379,0.8033536585365854,1.015693832599119,1.1165254237288136,0.0,0.0,0.0,0.0,0.0,0.0,ada_boost,0.6458333333333333,5
8,2,2021-08-20 16:53:19.890033,0.8,0,97,199,40,20,0,1,0,0,0,0,0,0.8,0.36971568354548556,0.7136468532515479,0.3697169829504918,0.713645892923995,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.4330127018922193,0.4442616583193193,0.0608382250420078,2.33365298513524,8.080315296865592e-07,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8529411764705883,0.9185520361990951,1.0,0.7515243902439026,0.9501651982378856,1.044491525423729,0.0,0.0,0.0,0.0,0.0,0.0,ada_boost,0.6041666666666667,5
9,2,2021-08-20 16:53:19.890033,0.8,0,97,199,40,20,0,0,1,0,0,0,0,0.8,-0.7084739557666632,0.4829747007401468,0.40647094441263304,0.6866768201758775,0.0,0.0,0.0,0.0,0.20000018093642966,4.950714785986993e-48,1.0,1.288732742169162e-30,0.39999990953255243,0.4103912480164189,0.010846242872921168,2.8740994516349385,2.8887950520584127e-07,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9117647058823528,0.9819004524886876,1.068965517241379,0.8033536585365854,1.015693832599119,1.1165254237288136,0.0,0.0,0.0,0.0,0.0,0.0,ada_boost,0.6458333333333333,5
