,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 15:49:28.390659,0.8,0,137,883,89,88,1,0,0,0,0,0,0,1.0,0.9877668116998911,0.324638427991664,0.0,0.0,0.0,0.0,0.0,0.0,0.548301162824998,0.08406165297919907,0.9451344866674264,0.6075952864972023,0.25991969486329697,0.26140921820295976,1.1503499412171019e-12,-1.3714196204437321,9.007720109366346e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8208333333333333,0.9242627345844504,1.0735694822888284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8208333333333333,5
1,1,2021-08-21 15:49:28.390659,0.8,0,137,883,89,88,0,1,0,0,0,0,0,1.0,-1.2768684760649043,0.2033500549065867,0.0,0.0,0.0,0.0,0.0,0.0,0.48863636363636365,0.0,1.0,0.0,0.4998708510891539,0.502735463945467,4.5655192825886275e-171,0.18656928030197661,1.9255731449445423e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7645833333333333,0.8609249329758712,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7645833333333333,5
2,1,2021-08-21 15:49:28.390659,0.8,0,137,883,89,88,0,0,1,0,0,0,0,1.0,1.0926809516602027,0.2760444412704977,0.0,0.0,0.0,0.0,0.0,0.0,0.5832904104746889,1.0844616110261888e-107,1.0,0.9917068733680428,0.4777178329363014,0.4804554933598641,9.514175915976296e-222,-1.3692103167975607,6.828421834047249e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7666666666666667,0.8632707774798929,1.0027247956403271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7666666666666667,5
3,1,2021-08-21 15:49:28.390659,0.8,0,137,883,89,88,0,0,0,1,0,0,0,1.0,-0.3593650131590677,0.7197577814562245,0.0,0.0,0.0,0.0,0.0,0.0,0.514675270455512,0.06291686361828397,0.9369602541020186,0.6726248096688892,0.33889159736617963,0.3408336854567262,1.3307248249148326e-247,-0.5916900338460425,2.1869190902634728e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,1.126005361930295,1.3079019073569482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,1.0,5
4,1,2021-08-21 15:49:28.390659,0.8,0,137,883,89,88,0,0,0,0,1,0,0,1.0,-0.26105309794283893,0.7943602786172789,0.0,0.0,0.0,0.0,0.0,0.0,0.5366862850914834,0.00023806142513260932,0.9978104281333989,0.8450028502125824,0.45993008369552885,0.46256580775883177,3.087247491263367e-190,-0.6950988869246955,5.358937252286644e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,1.126005361930295,1.3079019073569482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,1.0,5
5,1,2021-08-21 15:49:28.390659,0.8,0,137,883,89,88,0,0,0,0,0,1,0,1.0,0.47646367059387673,0.6343418547311501,0.0,0.0,0.0,0.0,0.0,0.0,0.5553696377426705,1.20856108219737e-05,0.999761000012954,0.9793375903459907,0.48382950061095903,0.4866021852047773,2.770755645573265e-188,-0.8902635962755271,5.685182684865564e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,1.126005361930295,1.3079019073569482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,1.0,5
6,1,2021-08-21 15:49:28.390659,0.8,0,137,883,89,88,0,0,0,0,0,0,1,1.0,-0.5138753248781079,0.6079911252138999,0.0,0.0,0.0,0.0,0.0,0.0,0.5260227272727273,0.06,0.99,0.525,0.3097782923197847,0.31155354062012564,1.176210067535418e-17,-0.08412480470499288,3.111862315563485e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8645833333333333,0.9735254691689008,1.1307901907356948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8645833333333333,5
7,2,2021-08-21 15:49:28.390659,0.8,0,137,883,177,88,1,0,0,0,0,0,0,0.9318181818181818,-0.968022545687192,0.3343767045604472,-1.3291512951037607,0.18553822800966116,0.0,0.0,0.0,0.0,0.5009774334732646,0.14111263696160872,0.8646725320208839,0.49893140812967307,0.20671180897493668,0.20789641356680502,5.0214267870343595e-22,-0.21385380537595497,4.97176188218873e-05,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9742395176760756,1.0194174757281553,1.1221590909090908,0.9224182667358588,1.038647914287026,1.20643261044472,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.9224182667358588,6
8,2,2021-08-21 15:49:28.390659,0.8,0,137,883,177,88,0,1,0,0,0,0,0,0.9318181818181818,0.30838268708012145,0.7581600347950648,0.90241485698262,0.3680840431848753,0.0,0.0,0.0,0.0,0.5568181818181818,0.0,1.0,1.0,0.4967612044180544,0.49960799680371354,1.1496943089463795e-182,-0.929631287699666,1.5739730211457997e-13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8698273499588929,0.9101634509032813,1.0018939393939394,0.8235599377270368,0.9273329057516233,1.077135613375961,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.8235599377270368,6
9,2,2021-08-21 15:49:28.390659,0.8,0,137,883,177,88,0,0,1,0,0,0,0,0.9318181818181818,0.21918827310738342,0.8267602933174137,-0.6721635034897689,0.5023711606091166,0.0,0.0,0.0,0.0,0.5335636684701727,2.242185976562601e-160,1.0,0.9977328783150372,0.49793758061066395,0.5007911144623595,1.1060413354007154e-174,-0.5580026244860723,2.0012587236255958e-13,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8681830638531104,0.9084429150792676,1.0,0.8220031136481577,0.9255799134912231,1.075099440193776,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.8220031136481577,6
