,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 13:58:59.182320,0.8,0,1752,1003,101,100,1,0,0,0,0,0,0,0.55,6.332876399251734,1.582782919343113e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.4153614077538083,0.23484915341459056,0.608297737627996,0.43878602730227145,0.08665560892532015,0.08709216387426044,0.043384379769124064,-2.0568000056736597,3.99835298594553e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9051490514905148,0.9570200573065903,1.0025728987993139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4677871148459384,3
1,1,2021-08-23 13:58:59.182320,0.8,0,1752,1003,101,100,0,1,0,0,0,0,0,0.55,0.8917131568864395,0.3736290592347318,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,1.0,0.0,0.375632799419859,0.3775251680686369,2.3478985491586483e-08,5.577122810004744,1.4587667592062565e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9028261711188539,0.9545640605812525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4665866346538615,3
2,1,2021-08-23 13:58:59.182320,0.8,0,1752,1003,101,100,0,0,1,0,0,0,0,0.55,-8.61302811933827,2.2291330492482986e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.12534708729473462,5.514135811401422e-299,1.0,1.212318709533832e-96,0.32733353288545924,0.32898257875228143,1.3258195070091163e-12,6.479488943844246,2.1697218368916527e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.981804103755323,1.0380679492427343,1.0874785591766722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5074029611844737,3
3,1,2021-08-23 13:58:59.182320,0.8,0,1752,1003,101,100,0,0,0,1,0,0,0,0.55,5.622037003167998,6.356914774193859e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.41989407616710284,0.2038270536879736,0.660927663879761,0.41929943936162317,0.09291133777000114,0.09337940792517266,0.3563407659539783,1.330837128797622,0.1903146654367447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0573065902578798,1.1076329331046313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5168067226890757,3
4,1,2021-08-23 13:58:59.182320,0.8,0,1752,1003,101,100,0,0,0,0,1,0,0,0.55,3.0055268890327365,0.002994198364403857,0.0,0.0,0.0,0.0,0.0,0.0,0.30731166906357743,0.06985906739414356,0.764998834986144,0.26095879818528506,0.1762592758822169,0.177147237551834,0.0003025854618133203,3.937437813021405,2.9612297680614574e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9423151374370886,0.9963160049119935,1.0437392795883362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.48699479791916767,3
5,1,2021-08-23 13:58:59.182320,0.8,0,1752,1003,101,100,0,0,0,0,0,1,0,0.55,-0.2184737050359359,0.8272850598917212,0.0,0.0,0.0,0.0,0.0,0.0,0.23781396046247477,0.06729492032016378,0.758083691003622,0.1853138553205647,0.14787391313611314,0.14861887459214965,7.385776550472409e-07,4.768258786238724,1.1561633428414098e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9066976384049554,0.9586573884568155,1.0042881646655233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.46858743497398964,3
6,1,2021-08-23 13:58:59.182320,0.8,0,1752,1003,101,100,0,0,0,0,0,0,1,0.55,-8.65638456658744,1.6923690200113968e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.2429,0.02,0.68,0.165,0.17828794126356387,0.17918612297459496,0.0011858465887917091,3.669910631260847,9.629940933564285e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.981804103755323,1.0380679492427343,1.0874785591766722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5074029611844737,3
7,2,2021-08-23 13:58:59.182320,0.8,0,1752,1003,201,100,1,0,0,0,0,0,0,0.64,0.31488139330606346,0.7531832914774078,12.263917735533303,4.328337364334171e-26,0.0,0.0,0.0,0.0,0.5760083241763054,0.4193850629806737,0.7489878412134146,0.5213516204166386,0.09735499308326578,0.09784544955298113,2.013072673457899e-33,1.6742204271437058,4.355708327352659e-08,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7846153846153847,0.9321148825065274,1.0,0.9868292682926828,1.0433810888252149,1.0930445969125215,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.51,4
8,2,2021-08-23 13:58:59.182320,0.8,0,1752,1003,201,100,0,1,0,0,0,0,0,0.64,6.613592690154062,3.414943222777156e-10,6.233706503693734,2.694347328113417e-09,0.0,0.0,0.0,0.0,0.56,0.0,1.0,1.0,0.4963869458396343,0.49888765156985887,2.9154493912585716e-187,-1.0384178278169698,1.7484196599207302e-14,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8615384615384617,1.0234986945169713,1.0980392156862746,1.0835772357723576,1.1456733524355303,1.2002058319039453,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.56,4
9,2,2021-08-23 13:58:59.182320,0.8,0,1752,1003,201,100,0,0,1,0,0,0,0,0.64,-9.660543694446092,2.466313633990482e-18,0.5832390323343524,0.5603961186341776,0.0,0.0,0.0,0.0,0.15372343520963422,1.7203922163115716e-283,1.0,1.020598516141049e-173,0.3566474493088393,0.35844417327112643,9.52085153374307e-10,5.889454164552896,9.477043019605765e-18,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8461538461538464,1.0052219321148825,1.0784313725490198,1.0642276422764227,1.1252148997134672,1.1787735849056606,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.55,4
