,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 17:24:15.999670,0.8,0,132,2249,225,225,1,0,0,0,0,0,0,0.7822222222222223,2.204341167961964,0.02800805864895806,0.0,0.0,0.0,0.0,0.0,0.0,0.4956308348594066,0.26624967287448625,0.6349564379483243,0.5038247853493842,0.06684433116284308,0.06699337110520057,0.0008862580119003393,-3.460410106044713,0.0010261646239086986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9364705882352942,1.0140127388535034,1.107093184979138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7960000000000002,6
1,1,2021-08-23 17:24:15.999670,0.8,0,132,2249,225,225,0,1,0,0,0,0,0,0.7822222222222223,-2.2789882494295317,0.023137435961778058,0.0,0.0,0.0,0.0,0.0,0.0,0.4222222222222222,0.0,1.0,0.0,0.4939135726865081,0.495014830625995,3.602715862540639e-274,1.9460926640674427,7.396222522445826e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8870588235294117,0.9605095541401274,1.0486787204450627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.754,6
2,1,2021-08-23 17:24:15.999670,0.8,0,132,2249,225,225,0,0,1,0,0,0,0,0.7822222222222223,1.2163288155858905,0.2245001440840846,0.0,0.0,0.0,0.0,0.0,0.0,0.527724284720694,3.4811698834336795e-38,1.0,0.9354119158066764,0.4858997615320936,0.48698315142006815,3.1183702212486767e-261,-0.6520500430314927,9.36158750200048e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.868235294117647,0.9401273885350317,1.0264255910987483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.738,6
3,1,2021-08-23 17:24:15.999670,0.8,0,132,2249,225,225,0,0,0,1,0,0,0,0.7822222222222223,-0.18843023029045736,0.850624727653114,0.0,0.0,0.0,0.0,0.0,0.0,0.4852084612731243,0.08351596744103063,0.8869692903001578,0.5066882169345224,0.19386603792005744,0.19429829272183394,4.489522328481715e-05,-1.2203745540323907,0.00025669828755781054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9870588235294118,1.0687898089171974,1.1668984700973577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8390000000000001,6
4,1,2021-08-23 17:24:15.999670,0.8,0,132,2249,225,225,0,0,0,0,1,0,0,0.7822222222222223,-0.3804098383291965,0.7038215101340501,0.0,0.0,0.0,0.0,0.0,0.0,0.4910197385453399,6.463956361277705e-07,0.9999072005915032,0.45195471033390305,0.41889155800324934,0.41982554256967036,0.0,0.1694908065455261,4.628921236692464e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8458823529411763,0.9159235668789808,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.719,6
5,1,2021-08-23 17:24:15.999670,0.8,0,132,2249,225,225,0,0,0,0,0,1,0,0.7822222222222223,0.26314322167588555,0.7925611695626701,0.0,0.0,0.0,0.0,0.0,0.0,0.5055846909979614,0.0005874421791467212,0.9996183294212017,0.5636808562693384,0.391023353711692,0.391895201736555,0.0,-0.5502784337545946,3.789427200306082e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.94,1.0178343949044586,1.1112656467315718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.799,6
6,1,2021-08-23 17:24:15.999670,0.8,0,132,2249,225,225,0,0,0,0,0,0,1,0.7822222222222223,0.12789816662927767,0.898286952194015,0.0,0.0,0.0,0.0,0.0,0.0,0.49764444444444444,0.02,0.92,0.55,0.22595232098392948,0.22645611719684902,2.2037729746390866e-08,-2.3551617168479897,7.381481168522441e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0828025477707006,1.1821974965229487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8500000000000001,6
7,2,2021-08-23 17:24:15.999670,0.8,0,132,2249,450,225,1,0,0,0,0,0,0,0.7822222222222223,-0.5860542329430566,0.5581342050426099,0.592726916149553,0.5536629882217035,0.0,0.0,0.0,0.0,0.500112829062907,0.2760857030785649,0.6954401972261701,0.5088098810131072,0.09132269628529158,0.09152631458999315,0.016130201366594685,-2.8700973363666926,2.0924047930748202e-05,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9566834972096733,1.042226725671037,1.2352032938754505,1.0127436914507553,1.096601449341582,1.1972630566524924,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.860832137733142,6
8,2,2021-08-23 17:24:15.999670,0.8,0,132,2249,450,225,0,1,0,0,0,0,0,0.7822222222222223,1.2213587878279901,0.22259253807507842,2.083043417486135,0.03781378443320065,0.0,0.0,0.0,0.0,0.52,0.0,1.0,1.0,0.49959983987187184,0.5007137762377681,2.6868389142758408e-253,-0.5047342244147461,1.219779292276287e-21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7745150146159978,0.8437693866578435,1.0,0.8199004135370072,0.8877902566961224,0.9692842162815801,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6969153515064561,6
9,2,2021-08-23 17:24:15.999670,0.8,0,132,2249,450,225,0,0,1,0,0,0,0,0.7822222222222223,-0.784589698974566,0.4331088397395446,-1.4069003075876794,0.16015028826021388,0.0,0.0,0.0,0.0,0.4631184291612864,4.912110011687856e-34,1.0,0.024231914160254938,0.48605837282004083,0.4871421163568111,1.1123438563744718e-263,0.8990212698179286,7.915057829179074e-21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8984852511294181,0.9788245998593822,1.160061760164694,0.951135116887501,1.0298915278399692,1.1244295540394658,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8084648493543759,6
