,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-20 16:54:04.033395,0.8,0,501,4920,493,492,1,0,0,0,0,0,0,0.48577235772357724,1.657996443477434,0.09763755745029258,0.0,0.0,0.0,0.0,0.0,0.0,0.4926698445681304,0.3042910017121232,0.5510134423259001,0.49890139051825755,0.04050228390755004,0.04054350761685458,8.854903172940008e-79,-15.935835679105104,3.269925826801732e-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7907689545501181,0.9308183831600559,1.0410258141851394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5096708601279529,3
1,1,2021-08-20 16:54:04.033395,0.8,0,501,4920,493,492,0,1,0,0,0,0,0,0.48577235772357724,-0.8481998507672688,0.3965333762655582,0.0,0.0,0.0,0.0,0.0,0.0,0.45528455284552843,0.0,1.0,0.0,0.49799651483296115,0.49850338164592917,0.0,1.637646533430768,4.699903361056559e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7838180978762695,0.9226364924402694,1.0318752004862317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5051908548379097,3
2,1,2021-08-20 16:54:04.033395,0.8,0,501,4920,493,492,0,0,1,0,0,0,0,0.48577235772357724,-0.8534808119429623,0.3936008562585269,0.0,0.0,0.0,0.0,0.0,0.0,0.4816591803055328,5.404640852803939e-26,1.0,0.30047093992671403,0.47617392211427834,0.47665857763119795,0.0,0.5996989773616177,5.799284415047284e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759605519647071,0.8941357365750356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4895852275545123,3
3,1,2021-08-20 16:54:04.033395,0.8,0,501,4920,493,492,0,0,0,1,0,0,0,0.48577235772357724,2.361107131151885,0.018414987970423766,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999500016656,0.49999999500016656,0.49999999500016656,0.49999999500016656,0.0,0.0,0.0,1.005670888222261,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.1771053704170953,1.3164727929631441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6445256319121853,3
4,1,2021-08-20 16:54:04.033395,0.8,0,501,4920,493,492,0,0,0,0,1,0,0,0.48577235772357724,-0.7123414933059032,0.4764225440592067,0.0,0.0,0.0,0.0,0.0,0.0,0.46039750511831995,3.136560915094241e-07,0.9999999825863163,0.3968023957390615,0.3716614739086621,0.3720397554049619,0.0,1.4586796933353396,1.2353183768761392e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7711988304093567,0.9077822849342365,1.015262278198916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4970574134995288,3
5,1,2021-08-20 16:54:04.033395,0.8,0,501,4920,493,492,0,0,0,0,0,1,0,0.48577235772357724,-0.31623883621567317,0.7518884373423119,0.0,0.0,0.0,0.0,0.0,0.0,0.47804527810929426,1.7231362078884391e-06,0.9999977405717329,0.43860129624733035,0.40401386835961495,0.40442507851019005,0.0,0.9440505892363188,1.7940981525907329e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9640915153380529,1.1348373002779775,1.2692002498691564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6213816931444348,3
6,1,2021-08-20 16:54:04.033395,0.8,0,501,4920,493,492,0,0,0,0,0,0,1,0.48577235772357724,-1.6229908705298532,0.10491231110509208,0.0,0.0,0.0,0.0,0.0,0.0,0.4840243902439024,0.15,0.8,0.49,0.11086899640776765,0.11098184019922475,0.8017382991405216,-0.27813763562127086,0.2596387267112732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.8773084025854109,1.0326844321953303,1.1549526430416504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5654477525582318,3
7,2,2021-08-20 16:54:04.033395,0.8,0,501,4920,985,492,1,0,0,0,0,0,0,0.48577235772357724,1.4283179272488407,0.15351833383937358,2.5633671260522735,0.010514190967877809,0.0,0.0,0.0,0.0,0.49761155775966837,0.3263683932103388,0.5449157051459466,0.49738586605824225,0.01357805645039091,0.013591876358752355,4.848063189314321e-106,-17.228969325825783,2.1659795289850845e-24,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7720448193128694,0.9094999833494288,1.089801333752313,0.8004605710424143,0.9422264369811608,1.0537845636170804,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.5159173553719008,5
8,2,2021-08-20 16:54:04.033395,0.8,0,501,4920,985,492,0,1,0,0,0,0,0,0.48577235772357724,-1.4670689286465899,0.14267747953411666,0.31948609146924933,0.7494258891706069,0.0,0.0,0.0,0.0,0.4654471544715447,0.0,1.0,0.0,0.4988046720569954,0.4993123614220583,0.0,1.2672483905811034,5.142120104056241e-31,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8007865641000271,0.9433589197109461,1.1303725428581404,0.83026017965265,0.9773037163125967,1.093014937593406,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.5351239669421487,5
9,2,2021-08-20 16:54:04.033395,0.8,0,501,4920,985,492,0,0,1,0,0,0,0,0.48577235772357724,0.5081174396401885,0.6114851008530522,0.9648777454655368,0.3348435971658619,0.0,0.0,0.0,0.0,0.51073131364267,4.004330925887803e-15,1.0,0.5731367820356812,0.4679826318390399,0.46845895016268163,0.0,-0.4158235002450692,3.2698108780303514e-28,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7084271191471468,0.8345557627626629,1.0,0.7345013685075382,0.8645855054489293,0.9669510680343705,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.47340495867768595,5
