,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-20 22:50:11.653296,0.8,0,501,4445,445,445,1,0,0,0,0,0,0,0.5415730337078651,-2.2294971525438787,0.026030247516131883,0.0,0.0,0.0,0.0,0.0,0.0,0.5001103996794851,0.4330439999954595,0.67932886829082,0.4989783514800482,0.029235392682516008,0.029268296905291105,1.0692245183835054e-70,14.446382098896205,3.7099462771155405e-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9042582292331541,0.9768793447975009,1.055673834362359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5008585858585859,3
1,1,2021-08-20 22:50:11.653296,0.8,0,501,4445,445,445,0,1,0,0,0,0,0,0.5415730337078651,0.9594067819850223,0.3376150044292108,0.0,0.0,0.0,0.0,0.0,0.0,0.5528089887640449,0.0,1.0,1.0,0.497203389676417,0.497762988491323,0.0,-1.8396551658082996,9.392402988493899e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9626151180815173,1.0399228842419297,1.1238024270811156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5331818181818182,3
2,1,2021-08-20 22:50:11.653296,0.8,0,501,4445,445,445,0,0,1,0,0,0,0,0.5415730337078651,0.9719841469617178,0.3313231148131952,0.0,0.0,0.0,0.0,0.0,0.0,0.521666415499703,3.5361293174644543e-17,1.0,0.6756981542476622,0.4696988220648781,0.47022746468809373,0.0,-0.7967025775955825,3.747117418376994e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8565697091273822,0.9253609524077567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.47444444444444445,3
3,1,2021-08-20 22:50:11.653296,0.8,0,501,4445,445,445,0,0,0,1,0,0,0,0.5415730337078651,0.32447571064261893,0.7456543262889976,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999500016656,0.49999999500016656,0.49999999500016656,0.49999999500016656,0.0,0.0,3.618841991225745e-290,1.0062232504036845,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0803101516985167,1.1674473067915692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5538888888888889,3
4,1,2021-08-20 22:50:11.653296,0.8,0,501,4445,445,445,0,0,0,0,1,0,0,0.5415730337078651,2.451544707517069,0.014416149272395247,0.0,0.0,0.0,0.0,0.0,0.0,0.49409628096946684,1.1022009570080312e-09,0.9999999937792958,0.5020158456274282,0.38338454832336044,0.38381604485646864,0.0,0.20448709277878926,2.126955487698713e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9007021063189568,0.9730376291126058,1.0515222482435596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4988888888888888,3
5,1,2021-08-20 22:50:11.653296,0.8,0,501,4445,445,445,0,0,0,0,0,1,0,0.5415730337078651,-3.174426137886274,0.0015530426503473124,0.0,0.0,0.0,0.0,0.0,0.0,0.4296455833800294,6.639001090498798e-07,0.999993268946806,0.32264052944262095,0.39986149825962924,0.40031153948058357,0.0,2.4658456554653165,7.4911216058197e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9234065833865233,0.9975655061777041,1.078028528848201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5114646464646465,3
6,1,2021-08-20 22:50:11.653296,0.8,0,501,4445,445,445,0,0,0,0,0,0,1,0.5415730337078651,-1.8872711303528276,0.05944979321573234,0.0,0.0,0.0,0.0,0.0,0.0,0.4914606741573033,0.25,0.76,0.49,0.09204237619312014,0.09214596922106053,0.6088808321919346,0.7377217579794845,0.2829628586769104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9320689340749521,1.0069235315639864,1.0881413668298914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5162626262626262,3
7,2,2021-08-20 22:50:11.653296,0.8,0,501,4445,890,444,1,0,0,0,0,0,0,0.4954954954954955,-0.9348465299293705,0.35012210974190716,1.3177870295616112,0.1879151945973202,0.0,0.0,0.0,0.0,0.5025637821687687,0.458968013963353,0.6831386808151917,0.4996536049207183,0.02612101972933366,0.02615048507398579,2.0948158406295223e-104,18.16203663313207,1.5158903315135592e-32,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9055592997736188,0.9950790498822663,1.0887822310872861,0.9603059569500031,1.0374282740296472,1.1211066031371815,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.5319027994884183,6
8,2,2021-08-20 22:50:11.653296,0.8,0,501,4445,890,444,0,1,0,0,0,0,0,0.4954954954954955,-1.1927058163301556,0.23330392084366394,-0.8377872779680147,0.40237586925332314,0.0,0.0,0.0,0.0,0.5247747747747747,0.0,1.0,1.0,0.49938583333416575,0.49994915650631044,0.0,-0.8653790527336387,1.2725842409007707e-29,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9116767760554375,1.0018012739129964,1.0961374638991046,0.9667932724868205,1.0444365868613426,1.1286802021889462,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.5354960514829777,6
9,2,2021-08-20 22:50:11.653296,0.8,0,501,4445,890,444,0,0,1,0,0,0,0,0.4954954954954955,2.9208872607807654,0.0035789353251051642,1.3331013933170626,0.1828408181960621,0.0,0.0,0.0,0.0,0.5630259643762875,2.057133954955396e-11,0.9999999999974989,0.8322193818738929,0.4541576172003618,0.45466992149995894,0.0,-2.262369590728364,2.391399016331245e-26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9599080650457081,1.0548005034886119,1.1541274491470837,1.0179404410270947,1.0996913922660358,1.1883918263513036,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.563825899835563,6
