,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 16:25:56.259484,0.8,0,151,450,46,45,1,0,0,0,0,0,0,0.8444444444444444,0.20323763923012148,0.8394185033480994,0.0,0.0,0.0,0.0,0.0,0.0,0.5326247961548864,0.005216399388282324,0.9948731844384151,0.992283236607971,0.4931066881693759,0.49867869201524706,1.1174574473464488e-235,-0.4105474636204501,2.576233448792209e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7892271662763466,0.9926362297496317,1.3320158102766797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6660079051383399,4
1,1,2021-08-21 16:25:56.259484,0.8,0,151,450,46,45,0,1,0,0,0,0,0,0.8444444444444444,1.7162769865498593,0.08962973947839509,0.0,0.0,0.0,0.0,0.0,0.0,0.5111111111111111,0.0,1.0,1.0,0.49987652796453313,0.5055250296034367,3.6263861170899534e-220,-0.13692977879865845,2.6157447319263838e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7634660421545668,0.9602356406480117,1.2885375494071145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6442687747035573,4
2,1,2021-08-21 16:25:56.259484,0.8,0,151,450,46,45,0,0,1,0,0,0,0,0.8444444444444444,-2.345207809557822,0.02126559582432374,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333334,9.453173530304326e-39,1.0,2.1809082550688744e-21,0.4714045207910315,0.47673129462279606,4.700741801616162e-09,2.032863419157155,6.441640554299966e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7154566744730679,0.8998527245949925,1.2075098814229248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6037549407114624,4
3,1,2021-08-21 16:25:56.259484,0.8,0,151,450,46,45,0,0,0,1,0,0,0,0.8444444444444444,-0.45033808264961334,0.6535742081195759,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999500016656,0.49999999500016656,0.49999999500016656,0.49999999500016656,0.0,0.0,1.4783292208904069e-87,1.0343159370868917,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5925058548009369,0.7452135493372607,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5,4
4,1,2021-08-21 16:25:56.259484,0.8,0,151,450,46,45,0,0,0,0,1,0,0,0.8444444444444444,-1.4338543692813304,0.15515761221323396,0.0,0.0,0.0,0.0,0.0,0.0,0.5332774738318149,9.2049126822862e-20,1.0,0.9505065055050158,0.4901602396324306,0.4956989492177018,1.6403227806265324e-250,-0.4150709942149031,5.2580424458881225e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.2577319587628863,1.6877470355731223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8438735177865612,4
5,1,2021-08-21 16:25:56.259484,0.8,0,151,450,46,45,0,0,0,0,0,1,0,0.8444444444444444,1.2205208637428178,0.22552792479536285,0.0,0.0,0.0,0.0,0.0,0.0,0.6787329412848486,1.800532387165248e-73,1.0,1.0,0.46101957824763906,0.46622900437113024,3.2589831890316358e-06,-2.1840907157987353,8.43610348244539e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.8114754098360656,1.0206185567010309,1.3695652173913042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6847826086956521,4
6,1,2021-08-21 16:25:56.259484,0.8,0,151,450,46,45,0,0,0,0,0,0,1,0.8444444444444444,0.4278325084047644,0.6698182635727583,0.0,0.0,0.0,0.0,0.0,0.0,0.5717777777777778,0.0,0.99,0.59,0.3540388483949741,0.3580394143418043,1.1207821793173488e-07,-0.8273590710351864,0.00013899315672460943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.8934426229508199,1.1237113402061856,1.5079051383399211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7539525691699606,4
7,2,2021-08-21 16:25:56.259484,0.8,0,151,450,91,45,1,0,0,0,0,0,0,0.7111111111111111,-0.023731568954979486,0.9811204550692597,-0.2541866304931374,0.7999443789343361,0.0,0.0,0.0,0.0,0.5088743894363846,0.002858545082187301,0.9800970358080805,0.49968464701709003,0.37548056043224126,0.3797234133015571,5.270964237365697e-61,0.044842477279318935,1.2787595551344566e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8646464646464647,1.0804183195095565,1.691699604743083,1.0023419203747075,1.2606774668630338,1.691699604743083,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.8458498023715415,6
8,2,2021-08-21 16:25:56.259484,0.8,0,151,450,91,45,0,1,0,0,0,0,0,0.7111111111111111,-0.34679951916184,0.7295698712741738,0.0,1.0,0.0,0.0,0.0,0.0,0.5111111111111111,0.0,1.0,1.0,0.4998765279645331,0.5055250296034367,3.626386117087062e-220,-0.13692977879865845,2.6157447319263838e-09,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9313131313131312,1.1637216011539848,1.8221343873517786,1.079625292740047,1.3578792341678938,1.8221343873517786,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.9110671936758893,6
9,2,2021-08-21 16:25:56.259484,0.8,0,151,450,91,45,0,0,1,0,0,0,0,0.7111111111111111,0.6451294137830212,0.5205217497736191,2.089763802374862,0.039525039119565245,0.0,0.0,0.0,0.0,0.5477388746434689,3.531164690130126e-21,1.0,0.9422446279364716,0.4908533026274996,0.4963998436816326,4.6885740591237684e-298,-0.6516411981433066,4.1764796065990595e-09,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5666666666666667,0.7080778939776416,1.108695652173913,0.6569086651053865,0.8262150220913108,1.108695652173913,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.5543478260869565,6
