,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 17:31:41.074886,0.8,0,257,2199,220,220,1,0,0,0,0,0,0,0.8318181818181818,3.3977695739304754,0.0007414576051141202,0.0,0.0,0.0,0.0,0.0,0.0,0.4902800269288186,0.27177312617301036,0.7577259177641784,0.4821668427535711,0.08552800175910864,0.08572304876671151,0.0004903783816879708,3.247062509392639,0.000185310302185826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9308447937131631,0.9871420917911781,1.0628084342754598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8046875,6
1,1,2021-08-23 17:31:41.074886,0.8,0,257,2199,220,220,0,1,0,0,0,0,0,0.8318181818181818,-3.5809660510574775,0.00038066185859125237,0.0,0.0,0.0,0.0,0.0,0.0,0.37727272727272726,0.0,1.0,0.0,0.48470405045648796,0.48580942030811625,0.0,3.0035751652810587,5.7677253327404535e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.93811394891945,0.9948508839811894,1.0711081202332884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8109714673913043,6
2,1,2021-08-23 17:31:41.074886,0.8,0,257,2199,220,220,0,0,1,0,0,0,0,0.8318181818181818,2.4036765993329468,0.01664574730104446,0.0,0.0,0.0,0.0,0.0,0.0,0.5454155335490188,0.0,1.0,0.9999999999922125,0.49789426848990803,0.4990297186953869,3.0241186257629297e-255,-1.1320259150643124,1.8118438121565075e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9222003929273085,0.9779748794571106,1.0529385374607447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7972146739130435,6
3,1,2021-08-23 17:31:41.074886,0.8,0,257,2199,220,220,0,0,0,1,0,0,0,0.8318181818181818,0.7267607650361216,0.46776074883323293,0.0,0.0,0.0,0.0,0.0,0.0,0.4573202094826274,0.1374598717391109,0.9144989917651856,0.4075914708468815,0.21510666273520515,0.21559721448456218,1.870393197430174e-34,2.204331055885432,1.2412690875152066e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9660117878192536,1.0244359783320438,1.1029609690444147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8350883152173914,6
4,1,2021-08-23 17:31:41.074886,0.8,0,257,2199,220,220,0,0,0,0,1,0,0,0.8318181818181818,0.6319379350075262,0.5277571296445754,0.0,0.0,0.0,0.0,0.0,0.0,0.43495081259372675,3.4922327751674655e-08,0.999760716631123,0.2910404096406521,0.40150468020614066,0.4024203135052013,0.0,1.7157916732852037,3.485769700363678e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875834970530452,0.9288052860289304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7571331521739131,6
5,1,2021-08-23 17:31:41.074886,0.8,0,257,2199,220,220,0,0,0,0,0,1,0,0.8318181818181818,-0.5126160927202421,0.608478303066776,0.0,0.0,0.0,0.0,0.0,0.0,0.4092153160721983,1.6734234176535188e-06,0.9999993153462723,0.12925330200819127,0.44945093069012765,0.45047590563742435,0.0,2.4029129993173046,5.068758066523347e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9677799607072692,1.02631108994583,1.1049798115746972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8366168478260869,6
6,1,2021-08-23 17:31:41.074886,0.8,0,257,2199,220,220,0,0,0,0,0,0,1,0.8318181818181818,-2.970480320540754,0.0031368689941185927,0.0,0.0,0.0,0.0,0.0,0.0,0.42790909090909096,0.01,0.97,0.385,0.29872333035632415,0.29940457030685247,2.1945480123745785e-55,1.601394871617387,1.0565839314580217e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.060479790463718,1.1417676087931807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8644701086956521,6
7,2,2021-08-23 17:31:41.074886,0.8,0,257,2199,440,220,1,0,0,0,0,0,0,0.7909090909090909,2.6177210710417596,0.009158441165637127,-0.27823976818850754,0.7809596095425223,0.0,0.0,0.0,0.0,0.4879944860743628,0.30229667939032684,0.7207546704219622,0.48139358334039684,0.08638213302786618,0.086579127885818,0.019577143968301666,2.5292722661644884,1.5235108548949938e-05,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9077261809447561,0.9692537860283342,1.0610669162377167,0.8813824281217655,0.9346882526929728,1.0063339073889155,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7619287634408604,3
8,2,2021-08-23 17:31:41.074886,0.8,0,257,2199,440,220,0,1,0,0,0,0,0,0.7909090909090909,-2.335216015416002,0.019982885014310114,0.4880349379558746,0.6257693068174767,0.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.48989794855663565,0.49101516311714744,2.5522207603386361e-290,2.462605271835033,8.97470264909882e-22,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8554843875100082,0.9134709330727895,1.0,0.8306567801085832,0.8808947281168171,0.94841700555242,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7180779569892474,3
9,2,2021-08-23 17:31:41.074886,0.8,0,257,2199,440,220,0,0,1,0,0,0,0,0.7909090909090909,1.6410386852503966,0.10150722601352492,-0.7367337208646859,0.46167871839167784,0.0,0.0,0.0,0.0,0.510328180554452,0.0,1.0,0.9993890677209951,0.49883433116212844,0.49997192518492334,2.7629298224484747e-249,-0.24171621290891235,2.5162301090108917e-21,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9383506805444358,1.0019540791402053,1.0968647636874123,0.911118152819148,0.9662223877893399,1.0402851946723783,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7876344086021506,3
