,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 15:52:04.471085,0.8,0,25,1095,110,110,1,0,0,0,0,0,0,0.9818181818181818,-0.6608218535852716,0.5094242865749257,0.0,0.0,0.0,0.0,0.0,0.0,0.5191161418923054,6.725091494445264e-06,0.9999999999999998,0.9999931825704522,0.4987827705581239,0.5010655411598366,1.7361639886054178e-180,-0.3341451939563858,4.447529025158837e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9730182671359143,1.0139207663905798,1.1474308300395257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9647723496178133,3
1,1,2021-08-21 15:52:04.471085,0.8,0,25,1095,110,110,0,1,0,0,0,0,0,0.9818181818181818,1.4478800819126199,0.14908721305534367,0.0,0.0,0.0,0.0,0.0,0.0,0.5636363636363636,0.0,1.0,1.0,0.49593387989039484,0.49820361202276237,6.04007637704089e-193,-1.1486658799806941,3.0972378050404988e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9420144126026478,0.9816136114160262,1.1108695652173912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9340312396144899,3
2,1,2021-08-21 15:52:04.471085,0.8,0,25,1095,110,110,0,0,1,0,0,0,0,0.9818181818181818,-0.5877151682610048,0.5573317725531195,0.0,0.0,0.0,0.0,0.0,0.0,0.4674071499391046,1.802677190363983e-16,1.0,0.09835774208093126,0.4853104022470815,0.48753151409045037,2.042794986440534e-191,0.601383374337638,2.0536464578045123e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8479973185855539,0.8836443468715697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.840810900631439,3
3,1,2021-08-21 15:52:04.471085,0.8,0,25,1095,110,110,0,0,0,1,0,0,0,0.9818181818181818,-0.6916637729032505,0.48988445852576545,0.0,0.0,0.0,0.0,0.0,0.0,0.4993065395023225,0.06787576637418624,0.899709835811791,0.593486936680037,0.29255167903300816,0.2938905953144005,0.0,-0.6396478237078854,1.070672261960226e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0420367228819478,1.1792490118577075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9915254237288136,3
4,1,2021-08-21 15:52:04.471085,0.8,0,25,1095,110,110,0,0,0,0,1,0,0,0.9818181818181818,-0.009759041774942936,0.9922224596848619,0.0,0.0,0.0,0.0,0.0,0.0,0.5330003161367284,0.003478072225547597,0.9999221273668153,0.5705021969637685,0.4160257405423097,0.41792975845576535,3.5618602089264365e-225,-0.2077810924454995,2.0552216178915117e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9914529914529915,1.033130426105179,1.1691699604743082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9830508474576272,3
5,1,2021-08-21 15:52:04.471085,0.8,0,25,1095,110,110,0,0,0,0,0,1,0,0.9818181818181818,-0.375980152924735,0.7072972751632876,0.0,0.0,0.0,0.0,0.0,0.0,0.5335670694367104,0.000330702636839167,0.9999760877550247,0.5889824486867692,0.4410708992552881,0.4430895409196028,6.849341217084819e-220,-0.37478546050254796,3.330314106084198e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9730182671359143,1.0139207663905798,1.1474308300395257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9647723496178133,3
6,1,2021-08-21 15:52:04.471085,0.8,0,25,1095,110,110,0,0,0,0,0,0,1,0.9818181818181818,0.5882264215735491,0.5569892228231935,0.0,0.0,0.0,0.0,0.0,0.0,0.5547272727272727,0.0,1.0,0.56,0.38821200649061727,0.38998872976166576,1.1495119063814024e-262,-0.39195485780983585,1.7989933154272109e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9901122842299314,1.0317333599441174,1.1675889328063243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9817215021601862,3
7,2,2021-08-21 15:52:04.471085,0.8,0,25,1095,220,109,1,0,0,0,0,0,0,0.9724770642201835,-0.47746733378794254,0.6335121566080614,0.026022325862813018,0.9792634455319279,0.0,0.0,0.0,0.0,0.5207356041258656,0.013000574642388874,0.9669456543844627,0.7582275846647926,0.4136115504554689,0.4155220065822748,6.068464036070898e-203,-0.7599210426958232,1.3865799784393285e-12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,1.0068030576651907,1.02,0.9891518737672584,1.030732576972972,1.1664563697172394,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.9807692307692308,6
8,2,2021-08-21 15:52:04.471085,0.8,0,25,1095,220,109,0,1,0,0,0,0,0,0.9724770642201835,0.14606388942897602,0.8840071748971097,-0.19541135132005288,0.8452537807061867,0.0,0.0,0.0,0.0,0.5504587155963303,0.0,1.0,1.0,0.49744740226517287,0.49974509302447256,6.221199820486794e-187,-0.9087237080017758,4.061828337461855e-15,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9901960784313725,0.9969324394527868,1.01,0.9794543063773833,1.0206273556300998,1.1550205229553054,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.9711538461538461,6
9,2,2021-08-21 15:52:04.471085,0.8,0,25,1095,220,109,0,0,1,0,0,0,0,0.9724770642201835,0.5136456717793747,0.608024758100734,1.114447354352309,0.2663201040687852,0.0,0.0,0.0,0.0,0.5407079998576599,9.612603096939692e-16,1.0,0.8552519803399313,0.48357080325609236,0.48580439852877694,4.604970543404298e-195,-0.8935513433158676,2.439518754376608e-14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9803921568627451,0.987061821240383,1.0,0.9697567389875082,1.0105221342872275,1.143584676193372,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.9615384615384616,6
