,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 14:04:05.390001,0.8,0,1025,2399,240,240,1,0,0,0,0,0,0,0.8958333333333334,0.3018756698057723,0.7628781379862744,0.0,0.0,0.0,0.0,0.0,0.0,0.5315086280595775,0.23231425164717506,0.9128070831251565,0.5887567433763253,0.22207470248637573,0.22253880895390635,0.0,-0.280694818450111,1.949714498736873e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9635803132953363,1.035603033605213,1.1724092812281928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.936554943906348,3
1,1,2021-08-23 14:04:05.390001,0.8,0,1025,2399,240,240,0,1,0,0,0,0,0,0.8958333333333334,-0.3354313084919664,0.7374469188924995,0.0,0.0,0.0,0.0,0.0,0.0,0.5208333333333334,0.0,1.0,1.0,0.4995657836784083,0.5006098094434608,6.652395695207578e-264,-0.5420196400556828,2.5451944561215147e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.891708785890956,0.9583594756133805,1.0849616189811586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8666991847258031,3
2,1,2021-08-23 14:04:05.390001,0.8,0,1025,2399,240,240,0,0,1,0,0,0,0,0.8958333333333334,0.7509559794643607,0.45304867604954413,0.0,0.0,0.0,0.0,0.0,0.0,0.5361345356925182,0.0,1.0,0.9999999999991473,0.4977557482785799,0.49879599131139807,1.6318712696569138e-267,-0.9469489458937921,2.7256987054460554e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.821880488941463,0.8833118691455051,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.798829349871089,3
3,1,2021-08-23 14:04:05.390001,0.8,0,1025,2399,240,240,0,0,0,1,0,0,0,0.8958333333333334,1.420583986947425,0.15608969217403038,0.0,0.0,0.0,0.0,0.0,0.0,0.5084332979042318,0.01771116800546224,0.9415881708272309,0.5805504706666227,0.2783015659628464,0.2788831790652896,0.0,-0.30240159910655096,2.4832347007668065e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0747449063831194,1.2167219120725752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9719531739948436,3
4,1,2021-08-23 14:04:05.390001,0.8,0,1025,2399,240,240,0,0,0,0,1,0,0,0.8958333333333334,0.4485347794774029,0.653970544378216,0.0,0.0,0.0,0.0,0.0,0.0,0.46579190622458966,8.272942228100945e-06,0.9998096502984755,0.4768746913050605,0.37133445984312385,0.37211049926814904,0.0,0.5820145497480537,1.2709054457698404e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8805606337599025,0.9463780558949465,1.0713974180041872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8558637028778482,3
5,1,2021-08-23 14:04:05.390001,0.8,0,1025,2399,240,240,0,0,0,0,0,1,0,0.8958333333333334,-1.7179728623167965,0.08644917198491922,0.0,0.0,0.0,0.0,0.0,0.0,0.4494850951996334,2.3626227533324226e-06,0.9977003699417479,0.38035103196808306,0.4219080825219003,0.4227898140636272,1.29518602521088e-309,0.7399507275324541,9.690693845660862e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9756963114313366,1.0486246408876267,1.1871510816468949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.948331126750749,3
6,1,2021-08-23 14:04:05.390001,0.8,0,1025,2399,240,240,0,0,0,0,0,0,1,0.8958333333333334,-0.6135287454485974,0.5398186198505281,0.0,0.0,0.0,0.0,0.0,0.0,0.5135833333333334,0.0,1.0,0.47,0.39331559811711286,0.3941375751852934,0.0,0.06961414906132037,3.255224908054713e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9797469261927806,1.0529780184702089,1.1920795533845083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9522681346247649,3
7,2,2021-08-23 14:04:05.390001,0.8,0,1025,2399,480,240,1,0,0,0,0,0,0,0.9291666666666667,-0.1793217516077828,0.8577610539855504,-1.9912452083416528,0.047022670073327784,0.0,0.0,0.0,0.0,0.49816542323417795,0.2628173482186702,0.7683771753017821,0.4756130940750833,0.13302800037798226,0.13330601113133167,3.95421444019168e-252,0.8703663015337691,4.4174791602458185e-10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9702427013717904,1.0414446290263426,1.3390291262135925,0.9856893590315258,1.059364617895174,1.199309841630429,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.9580439010836345,6
8,2,2021-08-23 14:04:05.390001,0.8,0,1025,2399,480,240,0,1,0,0,0,0,0,0.9291666666666667,1.7220117694296513,0.08571429494522112,-0.3645514434447281,0.7156074854940842,0.0,0.0,0.0,0.0,0.5041666666666667,0.0,1.0,1.0,0.4999826385874703,0.5010275355236069,1.4174203862831154e-262,-0.10847822442458462,2.6427309854914683e-22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9411888849806543,1.0102586783456668,1.298932038834952,0.956172994089529,1.0276420550188177,1.1633966336407708,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.9293553764934706,6
9,2,2021-08-23 14:04:05.390001,0.8,0,1025,2399,480,240,0,0,1,0,0,0,0,0.9291666666666667,-2.07367231877943,0.03864471092476253,-2.430890793357399,0.015428474287358029,0.0,0.0,0.0,0.0,0.425905551285591,0.0,1.0,1.8190234920070265e-24,0.4936251252763751,0.4946567358588116,2.0542773526467447e-283,1.9281364559713907,1.8386783862843275e-22,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7245867041857191,0.7777609976052295,1.0,0.7361224186502837,0.7911438199188146,0.895656276739662,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7154765212559043,6
