,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 17:08:54.911394,0.8,0,25,3632,364,363,1,0,0,0,0,0,0,0.6694214876033058,0.4281982895793463,0.668634111437397,0.0,0.0,0.0,0.0,0.0,0.0,0.4697357871685576,0.1250940148499617,0.8281903326548007,0.3111960874180148,0.23903302057586256,0.23936294898765603,0.0,1.6999601341530755,8.514519693405057e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9585697422032671,1.144848018243658,1.6737367021276595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8368683510638297,4
1,1,2021-08-23 17:08:54.911394,0.8,0,25,3632,364,363,0,1,0,0,0,0,0,0.6694214876033058,-5.033819083749552,6.073283277705849e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.4573002754820937,0.0,1.0,0.0,0.4981733970477497,0.49886100730883304,0.0,1.3504222437116353,4.028449560933304e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9565325006663874,1.1424148807957561,1.6701795212765957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8350897606382979,4
2,1,2021-08-23 17:08:54.911394,0.8,0,25,3632,364,363,0,0,1,0,0,0,0,0.6694214876033058,5.7324474260292195,1.4531658772331973e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.6339668351749054,0.0,1.0,0.9876423765011371,0.44464306063093434,0.4452567849542748,0.0,-4.214877727582881,4.760631595893603e-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.664064582460683,0.7931118496067672,1.1595079787234042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5797539893617021,4
3,1,2021-08-23 17:08:54.911394,0.8,0,25,3632,364,363,0,0,0,1,0,0,0,0.6694214876033058,0.0013146958627956152,0.9989513869240787,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999500016656,0.49999999500016656,0.49999999500016656,0.49999999500016656,0.0,0.0,2.664445286860791e-246,1.0074967771721455,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5727123871901298,0.6840072376905659,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5,4
4,1,2021-08-23 17:08:54.911394,0.8,0,25,3632,364,363,0,0,0,0,1,0,0,0.6694214876033058,5.2196128826496935,2.3446349855162143e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.4999655560309814,7.725464438347536e-181,1.0,0.4438318118794827,0.4984012614379637,0.49908918621181264,0.0,0.006940011214464396,6.4603844722132426e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.1943293928851033,1.7460771276595746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8730385638297873,4
5,1,2021-08-23 17:08:54.911394,0.8,0,25,3632,364,363,0,0,0,0,0,1,0,0.6694214876033058,-2.8172242296568673,0.004976055118184787,0.0,0.0,0.0,0.0,0.0,0.0,0.31361661204524344,1.9978539809538552e-277,1.0,5.3142867996668696e-33,0.46152460617368624,0.4621616314681482,3.5549463828072462e-174,5.671924960317695,2.1428842674337566e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8090704847492479,0.9662966608518254,1.4126994680851064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7063497340425532,4
6,1,2021-08-23 17:08:54.911394,0.8,0,25,3632,364,363,0,0,0,0,0,0,1,0.6694214876033058,-2.913829480376576,0.003680299386471818,0.0,0.0,0.0,0.0,0.0,0.0,0.40165289256198344,0.0,1.0,0.28,0.3748263446015175,0.3753437035014502,0.0,3.1374262479707737,1.9143586965391623e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9000799664902326,1.0749919599263236,1.5716090425531914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7858045212765957,4
7,2,2021-08-23 17:08:54.911394,0.8,0,25,3632,727,363,1,0,0,0,0,0,0,0.581267217630854,13.517765363007502,2.7274069023282623e-37,-0.8987789726390724,0.36906921211448307,0.0,0.0,0.0,0.0,0.45819392766974304,0.3505138460300689,0.6571330011012677,0.44755956438356287,0.05060104491506936,0.0506708876604093,2.581838500248357e-17,7.272064922216001,3.9591407409445e-12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9169169169169169,1.0089693154996067,1.1536523929471032,0.5677538383832889,0.6780850971045005,0.9913419913419914,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.4956709956709957,6
8,2,2021-08-23 17:08:54.911394,0.8,0,25,3632,727,363,0,1,0,0,0,0,0,0.581267217630854,0.9083255619466514,0.3640084872051701,-8.319300921285686,4.3870057980583604e-16,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,1.0,0.0,0.38569460791993493,0.3862269678805871,1.3124362201671871e-21,9.5176146833659,1.9591760984632374e-31,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9909909909909909,1.090479937057435,1.2468513853904282,0.6136204148465676,0.7328648975256064,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.5357142857142857,6
9,2,2021-08-23 17:08:54.911394,0.8,0,25,3632,727,363,0,0,1,0,0,0,0,0.581267217630854,-18.123152707145657,8.167821527144033e-61,-15.866377537671214,7.087748470897551e-49,0.0,0.0,0.0,0.0,0.15661411049863025,7.589281249629575e-07,1.0,2.3851961577770207e-05,0.36049809503105085,0.36099567717958253,3.1362177154956546e-27,10.324065190385719,5.18494042452082e-32,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8948948948948948,0.9847364280094413,1.1259445843828715,0.5541178291644762,0.6617992104928203,0.9675324675324675,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.48376623376623373,6
