,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 14:21:56.801015,0.8,0,428,441,45,44,1,0,0,0,0,0,0,0.6818181818181818,-0.8476936567347179,0.3989616642149295,0.0,0.0,0.0,0.0,0.0,0.0,0.7186831127162596,8.612756704072945e-06,0.9999999978640213,0.9999910466319216,0.43586779671275877,0.4409068981852178,0.00347417484261493,-2.6774054521936987,8.552337171785496e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6470588235294118,0.8517699115044247,1.053191489361702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5124223602484472,3
1,1,2021-08-23 14:21:56.801015,0.8,0,428,441,45,44,0,1,0,0,0,0,0,0.6818181818181818,0.828068775496929,0.40992364397461856,0.0,0.0,0.0,0.0,0.0,0.0,0.7954545454545454,0.0,1.0,1.0,0.4033690761204283,0.40803245735839216,0.0011920048226776317,-3.609370297196553,4.2942982503291205e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6143790849673203,0.8087512291052114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.48654244306418226,3
2,1,2021-08-23 14:21:56.801015,0.8,0,428,441,45,44,0,0,1,0,0,0,0,0.6818181818181818,3.249445546624662,0.0016508774597018376,0.0,0.0,0.0,0.0,0.0,0.0,0.7197534009981559,1.8354708340420183e-110,1.0,1.0,0.4434662559077569,0.4485932037575044,0.0032240919888232226,-2.6757271651927956,4.699959310627833e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.7620915032679739,1.0031956735496559,1.2404255319148936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6035196687370601,3
3,1,2021-08-23 14:21:56.801015,0.8,0,428,441,45,44,0,0,0,1,0,0,0,0.6818181818181818,-1.3481533714246459,0.1811492654042363,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999950001696,0.49999999500016656,0.499999995000261,0.49999999500016656,1.5347790677855285e-14,1.5525026047557966e-14,2.484694714931679e-19,7.263196214281661,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.316371681415929,1.6276595744680848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7919254658385093,3
4,1,2021-08-23 14:21:56.801015,0.8,0,428,441,45,44,0,0,0,0,1,0,0,0.6818181818181818,-1.0257507562811856,0.3078856443596138,0.0,0.0,0.0,0.0,0.0,0.0,0.5790811051586041,0.0005199158321546795,0.9999972978989674,0.6581814876182053,0.3846517238238971,0.38909871229729026,7.192161602700376e-10,-0.9286616756254296,2.2448488380177878e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7098039215686275,0.9343657817109143,1.15531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.562111801242236,3
5,1,2021-08-23 14:21:56.801015,0.8,0,428,441,45,44,0,0,0,0,0,1,0,0.6818181818181818,0.6470898924329693,0.5192972515881906,0.0,0.0,0.0,0.0,0.0,0.0,0.6617537552851838,0.0005501163412530914,0.9999566893503828,0.8329656191151698,0.3624461330849522,0.36663640099804395,0.0011989570281043273,-1.8647262310550956,5.7852234931488056e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.8522875816993464,1.1219272369714846,1.3872340425531913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6749482401656315,3
6,1,2021-08-23 14:21:56.801015,0.8,0,428,441,45,44,0,0,0,0,0,0,1,0.6818181818181818,-1.3444369923533002,0.1823426413602338,0.0,0.0,0.0,0.0,0.0,0.0,0.6215909090909091,0.16,0.95,0.6,0.18515280153796046,0.18729336746619926,0.6654224352027464,-0.9014160066157146,0.3012716472148895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7320261437908498,0.9636184857423796,1.1914893617021278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5797101449275364,3
7,2,2021-08-23 14:21:56.801015,0.8,0,428,441,89,44,1,0,0,0,0,0,0,0.8409090909090909,0.8797406753917415,0.3814514895774277,-2.69473470876603,0.008470880415877265,0.0,0.0,0.0,0.0,0.5254239595292511,0.21720792515309023,0.8142522280958903,0.5341057748586718,0.17659090947130215,0.17863249069994738,0.16691635455470996,-0.36429350493923723,0.06400072574615479,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8468085106382978,0.980295566502463,1.137142857142857,1.0470261437908497,1.378275565388397,1.704202127659574,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.8291666666666666,3
8,2,2021-08-23 14:21:56.801015,0.8,0,428,441,89,44,0,1,0,0,0,0,0,0.8409090909090909,-0.5295727893617019,0.5977726210202753,-3.4885256657726798,0.0007680184276774904,0.0,0.0,0.0,0.0,0.45454545454545453,0.0,1.0,0.0,0.49792959773196915,0.5036862005093147,1.4064421562433393e-268,0.5544299816950405,3.1057483251828444e-09,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7872340425531914,0.9113300492610836,1.0571428571428572,0.9733660130718953,1.28131145526057,1.5843085106382975,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7708333333333333,3
9,2,2021-08-23 14:21:56.801015,0.8,0,428,441,89,44,0,0,1,0,0,0,0,0.8409090909090909,0.1484739497088812,0.8823163308210734,-2.0605930120451625,0.04236348356219042,0.0,0.0,0.0,0.0,0.5111817597875873,2.5038389555101573e-38,1.0,0.7411663604887235,0.49384915892979875,0.4995585874370298,9.740752221150247e-256,-0.1321594087993257,5.817091697224441e-09,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7446808510638296,0.8620689655172413,1.0,0.920751633986928,1.2120513765978365,1.4986702127659572,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7291666666666666,3
