,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 17:39:05.069133,0.8,0,161,1073,108,107,1,0,0,0,0,0,0,0.308411214953271,-0.5070730556849192,0.6126305938349756,0.0,0.0,0.0,0.0,0.0,0.0,0.6383901020464,0.11257629824681084,0.932545983608888,0.6858591193787228,0.194276383168655,0.1951906300215221,0.00024104245814878683,-3.9748439859286893,4.4423879330679483e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9302510960542048,1.0192775594235448,1.228421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4953310696095076,1
1,1,2021-08-23 17:39:05.069133,0.8,0,161,1073,108,107,0,1,0,0,0,0,0,0.308411214953271,-2.8739763846872965,0.0044660970628134546,0.0,0.0,0.0,0.0,0.0,0.0,0.6635514018691588,0.0,1.0,1.0,0.47249437980428177,0.47471789504935635,1.8921481789164482e-76,-2.85640234312323,1.063691904942452e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0957015409570154,1.320526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5324702886247878,1
2,1,2021-08-23 17:39:05.069133,0.8,0,161,1073,108,107,0,0,1,0,0,0,0,0.308411214953271,2.4698991506867864,0.014304704795070759,0.0,0.0,0.0,0.0,0.0,0.0,0.8317757009345794,0.0,1.0,1.0,0.3740653475923271,0.375825664833286,6.364330302951565e-09,-5.769452832763785,3.447543416128363e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9908330011956954,1.0856572462411878,1.3084210526315792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5275891341256367,1
3,1,2021-08-23 17:39:05.069133,0.8,0,161,1073,108,107,0,0,0,1,0,0,0,0.308411214953271,-0.029530283027215633,0.9764694478066732,0.0,0.0,0.0,0.0,0.0,0.0,0.737284989870281,0.46726391737799133,0.943434282653584,0.7732324453697856,0.12335227627877546,0.12393276078513955,0.0016557599614349101,-3.5786638688012893,7.05040678616875e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7572738142686328,0.8297460852205377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4032258064516129,1
4,1,2021-08-23 17:39:05.069133,0.8,0,161,1073,108,107,0,0,0,0,1,0,0,0.308411214953271,11.480799232728511,4.844487396134772e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.7381122416178245,2.4438384861253565e-69,0.9999862986352229,0.8103268981054911,0.26070943555495746,0.2619363102634595,2.7169625346418693e-12,-6.3378224999499055,1.5948365141333514e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9717018732562771,1.0646952398777214,1.283157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5174023769100169,1
5,1,2021-08-23 17:39:05.069133,0.8,0,161,1073,108,107,0,0,0,0,0,1,0,0.308411214953271,-7.346195664178935,4.334131853235416e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.3579604672082708,2.0206794721465074e-23,0.6290296585975257,0.5130170919520302,0.219656998211949,0.22069068391295965,2.798903025185574e-09,-3.2559684521784207,2.7815426286055545e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8553208449581506,0.9371763678333022,1.1294736842105264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4554329371816639,1
6,1,2021-08-23 17:39:05.069133,0.8,0,161,1073,108,107,0,0,0,0,0,0,1,0.308411214953271,0.03840394199447019,0.9694017575252111,0.0,0.0,0.0,0.0,0.0,0.0,0.6398130841121493,0.02,1.0,0.76,0.32830912407409774,0.32985411672094833,0.0004259006572837037,-3.1541480315390533,9.053470861886126e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8832204065364686,0.9677459604466904,1.1663157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4702886247877759,1
7,2,2021-08-23 17:39:05.069133,0.8,0,161,1073,215,107,1,0,0,0,0,0,0,0.5233644859813084,6.195747254123364,2.97580408774354e-09,-9.041896677632533,9.906106386361545e-17,0.0,0.0,0.0,0.0,0.4536219591479254,0.22592528688974306,0.7381195406851753,0.44525246378112565,0.08074465862247258,0.08112463558533037,0.0056521541690918616,2.173195372908942,0.0010837033623829484,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.7522768670309654,0.9870262888357803,1.1666666666666667,0.968327255338957,1.0609976658255726,1.278701622971286,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.5156054931335831,2
8,2,2021-08-23 17:39:05.069133,0.8,0,161,1073,215,107,0,1,0,0,0,0,0,0.5233644859813084,-8.152989822308843,3.075866134866917e-14,-7.5830393190364855,1.0434174434150597e-12,0.0,0.0,0.0,0.0,0.205607476635514,0.0,1.0,0.0,0.4041448282325169,0.40604669675244565,2.143494269115421e-06,5.076672967580154,1.7483658349473992e-17,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.8415300546448087,1.104131102765449,1.305084745762712,1.0832135398706975,1.1868787448218268,1.4304119850187267,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.5767790262172284,2
9,2,2021-08-23 17:39:05.069133,0.8,0,161,1073,215,107,0,0,1,0,0,0,0,0.5233644859813084,4.2045197308774735,3.858466005027147e-05,-2.4285028541798432,0.01599511092667785,0.0,0.0,0.0,0.0,0.6915887850467289,0.0,1.0,1.0,0.4618373495553585,0.46401071379284736,2.4259370727321356e-17,-3.3266132894584564,5.368219004594306e-16,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.312051894844657,1.5508474576271187,1.287195310365829,1.4103818850804826,1.6997752808988766,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.6853932584269663,2
