,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 01:06:16.801939,0.8,0,81,2657,266,266,1,0,0,0,0,0,0,0.3533834586466165,11.249903372384662,1.7744289443153308e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.3241383316932635,0.16131430309409148,0.6391009453431347,0.3015534447682054,0.07827194304637562,0.07841948689653873,3.935669160367282e-35,10.760377616664728,7.081704802674922e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0265776381251637,1.1259333716255024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5269489247311827,6
1,1,2021-08-21 01:06:16.801939,0.8,0,81,2657,266,266,0,1,0,0,0,0,0,0.3533834586466165,0.5420087182575171,0.5880402951584079,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,1.0,0.0,0.3068922049918579,0.30747070165039514,9.248412313379372e-33,10.616853433556933,1.1459901573172134e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8881520214258386,0.9117570044514272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.468010752688172,6
2,1,2021-08-21 01:06:16.801939,0.8,0,81,2657,266,266,0,0,1,0,0,0,0,0.3533834586466165,-9.743005689149548,9.613306270697228e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.09131501554398039,0.0,1.0,1.574561033095024e-46,0.2851538347719851,0.2856913542589628,6.911353041268349e-37,11.134791983939627,4.895815105186072e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9915827062874634,1.0179366326263422,1.116456059735784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.522513440860215,6
3,1,2021-08-21 01:06:16.801939,0.8,0,81,2657,266,266,0,0,0,1,0,0,0,0.3533834586466165,12.84718583658638,4.446687098930053e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.285536258642224,0.16512759245620146,0.9045982108972339,0.22495529075280274,0.15489791548244952,0.15518990050215165,3.5464166896287763e-29,9.846603706237193,4.1549508350737325e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9746205841091699,1.000523697302959,1.0973578403216544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5135752688172043,6
4,1,2021-08-21 01:06:16.801939,0.8,0,81,2657,266,266,0,0,0,0,1,0,0,0.3533834586466165,-0.03827975804990913,0.9694790438186424,0.0,0.0,0.0,0.0,0.0,0.0,0.07720671564315558,4.556815478217477e-07,0.9374227628805399,0.007902486907352596,0.21375312151721756,0.2141560495308271,3.8513053967833326e-39,11.367816503374032,2.6149777246810563e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9762785359010331,1.0022257135375754,1.0992245835726595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5144489247311828,6
5,1,2021-08-21 01:06:16.801939,0.8,0,81,2657,266,266,0,0,0,0,0,1,0,0.3533834586466165,-3.950952443851514,8.837621931410043e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.07793169181573587,0.0007204434577124305,0.9586178398534495,0.005982709533417393,0.22217161595360374,0.22259041296232665,1.6839878683400558e-39,11.416268053234578,1.9609117534880457e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9881392679505165,1.0144016758313696,1.1125789775990809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5206989247311827,6
6,1,2021-08-21 01:06:16.801939,0.8,0,81,2657,266,266,0,0,0,0,0,0,1,0.3533834586466165,-13.128277836069408,2.7436041623916773e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.15056390977443607,0.02,1.0,0.09,0.20049202085574114,0.20086995148493872,9.068904382508458e-41,11.52218179817991,5.558952191370819e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0265776381251637,1.1259333716255024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5269489247311827,6
7,2,2021-08-21 01:06:16.801939,0.8,0,81,2657,532,266,1,0,0,0,0,0,0,0.5977443609022557,-1.6098358468031346,0.10802910561152725,32.11321211411481,1.9566789011956292e-126,0.0,0.0,0.0,0.0,0.5032504588086064,0.38931065421347955,0.634750385187921,0.49242501679680306,0.04601434869787939,0.046101086472686,2.5494481120561044e-13,6.860706563868555,5.551154425454535e-14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.1205346144370536,1.3405352742277494,1.3219816945355565,1.3571168456210132,1.4884633065556143,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6966168324498183,0
8,2,2021-08-21 01:06:16.801939,0.8,0,81,2657,532,266,0,1,0,0,0,0,0,0.5977443609022557,-10.914848828730692,3.704262754463432e-25,12.463740513433635,1.8894912504097302e-31,0.0,0.0,0.0,0.0,0.5526315789473685,0.0,1.0,1.0,0.4972222007287154,0.49815947243843417,1.170840502263729e-290,-1.43235612520915,1.5683491962549117e-23,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8305758625112223,0.9306890038597356,1.113416241618431,1.098006086162917,1.1271884945801822,1.2362816946587352,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5785931264518435,0
9,2,2021-08-21 01:06:16.801939,0.8,0,81,2657,532,266,0,0,1,0,0,0,0,0.5977443609022557,19.214791738122575,7.795819538183089e-63,35.86226613249046,7.501156986711677e-144,0.0,0.0,0.0,0.0,0.925531091371849,3.929905606671416e-51,0.9999999999999858,0.9999999997572804,0.24915888487950918,0.2496285533168404,3.2218660054581964e-43,-11.890156289356655,2.779182361276235e-30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8002650592108077,0.8967246995702282,1.0727835406040462,1.0579357590531009,1.0860531928168846,1.1911651761538433,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5574781106676991,0
