,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 16:27:09.644170,0.8,0,145,359,36,36,1,0,0,0,0,0,0,0.9444444444444444,0.47215456823558616,0.6382850884928053,0.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,2.220446049250318e-16,0.9999999999999998,0.9999999999999998,0.48749802152178434,0.494413232473044,6.43798102428791e-22,-1.2466812157316791,1.8954313674157675e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9821109123434706,1.1492224880382778,1.6892307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9180602006688964,1
1,1,2021-08-21 16:27:09.644170,0.8,0,145,359,36,36,0,1,0,0,0,0,0,0.9444444444444444,5.406182028355254,8.43815056553995e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,1.0,1.0,0.49690399499995336,0.5039526306789697,8.26934185585659e-141,-0.6247456283814381,2.9173673254945243e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.1701555023923444,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9347826086956521,1
2,1,2021-08-21 16:27:09.644170,0.8,0,145,359,36,36,0,0,1,0,0,0,0,0.9444444444444444,-10.778506120420108,1.61348976033875e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,1.0,0.0,0.2290614236454256,0.2323106841457232,1.9921903760226423e-13,6.013404205497039,2.0895880512017406e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5813953488372093,0.680322966507177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5434782608695652,1
3,1,2021-08-21 16:27:09.644170,0.8,0,145,359,36,36,0,0,0,1,0,0,0,0.9444444444444444,0.0351248819174871,0.972080131699225,0.0,0.0,0.0,0.0,0.0,0.0,0.48597496010445634,0.24755519147629457,0.4999999950196653,0.49999999500016656,0.05782528469926408,0.058645542473364995,1.9921904080909955e-13,-6.013404203710203,2.08993326117346e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9534883720930233,1.1157296650717703,1.6400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8913043478260869,1
4,1,2021-08-21 16:27:09.644170,0.8,0,145,359,36,36,0,0,0,0,1,0,0,0.9444444444444444,4.009154266644821,0.00015032802084603017,0.0,0.0,0.0,0.0,0.0,0.0,0.4834517048313902,0.00016232126050726796,0.9999938044277753,0.5337020670982744,0.4210392978009504,0.42701178473325624,4.12310786878414e-22,-0.003941555598142598,1.4092636774876155e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9534883720930233,1.1157296650717703,1.6400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8913043478260869,1
5,1,2021-08-21 16:27:09.644170,0.8,0,145,359,36,36,0,0,0,0,0,1,0,0.9444444444444444,-3.7842445593690934,0.00032201282358470054,0.0,0.0,0.0,0.0,0.0,0.0,0.147934571809301,1.1013726708923219e-10,0.9492244295744559,0.023353750760983408,0.2604867376520842,0.26418176955241185,2.6399479880061667e-06,4.233712579688553,1.620308154315353e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.627906976744186,0.7347488038277512,1.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5869565217391304,1
6,1,2021-08-21 16:27:09.644170,0.8,0,145,359,36,36,0,0,0,0,0,0,1,0.9444444444444444,-2.276039510586702,0.02590611200325952,0.0,0.0,0.0,0.0,0.0,0.0,0.3941666666666667,0.0,0.83,0.455,0.2834252301950395,0.2874456470360962,4.4805570328717876e-05,-0.6056767151449038,0.001106526586227119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8837209302325582,1.0340909090909092,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8260869565217391,1
7,2,2021-08-21 16:27:09.644170,0.8,0,145,359,72,36,1,0,0,0,0,0,0,0.9722222222222222,0.46117006498004187,0.6461063663291506,-0.5042619828586148,0.6156608722457011,0.0,0.0,0.0,0.0,0.5534448596832848,1.802603325212584e-08,0.9999999999999998,0.8079103369633903,0.4691106221424779,0.47576500589046794,1.0693244991369415e-29,-0.5828059102397078,2.749240479715809e-07,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,1.078206962327134,1.3542976939203355,1.0697674418604652,1.2517942583732058,1.84,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,1.0,6
8,2,2021-08-21 16:27:09.644170,0.8,0,145,359,72,36,0,1,0,0,0,0,0,0.9722222222222222,-2.102808162271951,0.039079728102060306,-0.46625240412015706,0.6424825587475455,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.50709255283711,0.0,1.0373475309768039,3.369245504813989e-08,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9736842105263157,1.0498330948974726,1.3186582809224319,1.0416156670746635,1.2188523042054897,1.791578947368421,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.9736842105263157,6
9,2,2021-08-21 16:27:09.644170,0.8,0,145,359,72,36,0,0,1,0,0,0,0,0.9722222222222222,2.4494416750665984,0.016813264720239886,8.202994751002208,7.722954357555206e-12,0.0,0.0,0.0,0.0,0.7351753335651702,6.092155405080392e-151,1.0,1.0,0.43333165976887167,0.43947851515467823,0.014677174888647082,-2.637746469645336,4.4633683415895575e-09,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7383900928792569,0.796137339055794,1.0,0.789905680754554,0.924312478705912,1.3586377708978328,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.7383900928792569,6
