,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 15:58:52.496673,0.8,0,81,890,90,89,1,0,0,0,0,0,0,0.8426966292134831,-1.3565418351047613,0.17666435629180274,0.0,0.0,0.0,0.0,0.0,0.0,0.2615776990184895,0.02949901940777997,0.9262334978681195,0.19229166736240272,0.2216763763422133,0.22293234319955527,2.5234650799186805e-07,4.909359957960175,1.8555458280999915e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8344797936371452,0.9618434093161545,1.1034678794769754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7032608695652174,3
1,1,2021-08-21 15:58:52.496673,0.8,0,81,890,90,89,0,1,0,0,0,0,0,0.8426966292134831,1.5445817757120028,0.12424362122508999,0.0,0.0,0.0,0.0,0.0,0.0,0.33707865168539325,0.0,1.0,0.0,0.47271199928005914,0.4753902756663849,7.613936412147577e-45,2.627821530868405,2.873814061070748e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7562338779019777,0.8716551040634292,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6373188405797102,3
2,1,2021-08-21 15:58:52.496673,0.8,0,81,890,90,89,0,0,1,0,0,0,0,0.8426966292134831,-1.742229287366539,0.08321518603896096,0.0,0.0,0.0,0.0,0.0,0.0,0.23417390110789132,6.229193360179898e-40,1.0,3.3567560247298684e-10,0.40883112444613884,0.41114746663391233,0.00011625781327612572,4.220990566309124,6.458591494463203e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9866723989681858,1.1372646184340933,1.304718590108016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8315217391304349,3
3,1,2021-08-21 15:58:52.496673,0.8,0,81,890,90,89,0,0,0,1,0,0,0,0.8426966292134831,2.7358415117327226,0.006859770714315938,0.0,0.0,0.0,0.0,0.0,0.0,0.3206881274190143,0.034136506368213304,0.9241180384829022,0.2741529591680205,0.22327293478642807,0.2245379473730662,0.00017071754135505404,4.006140663583978,1.6021802196064527e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.1526263627353814,1.3223422399090392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8427536231884059,3
4,1,2021-08-21 15:58:52.496673,0.8,0,81,890,90,89,0,0,0,0,1,0,0,0.8426966292134831,0.3106372508628696,0.7564439746358022,0.0,0.0,0.0,0.0,0.0,0.0,0.23633901880025132,0.01741344627153805,0.8605148085647325,0.19592243161906056,0.18384340513063344,0.1848850191609373,1.4622662766792457e-07,4.81538775843598,7.54698348259808e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8009458297506449,0.923191278493558,1.0591245025582716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.675,3
5,1,2021-08-21 15:58:52.496673,0.8,0,81,890,90,89,0,0,0,0,0,1,0,0.8426966292134831,-0.9228876454334922,0.3573292143568527,0.0,0.0,0.0,0.0,0.0,0.0,0.2269258483859766,0.00801661622175599,0.9032198244772713,0.16547065375489992,0.2168140132624772,0.21804243110003962,1.995951869110649e-07,4.870697659867679,6.094547977397724e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7837489251934653,0.9033696729435085,1.0363843092666287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6605072463768117,3
6,1,2021-08-21 15:58:52.496673,0.8,0,81,890,90,89,0,0,0,0,0,0,1,0.8426966292134831,-0.11328494038030563,0.9099337714301805,0.0,0.0,0.0,0.0,0.0,0.0,0.257752808988764,0.0,0.94,0.17,0.2262232804210679,0.2275050089807653,3.1235901642126604e-05,4.195671542525389,2.3688534156462993e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.911006018916595,1.0500495540138752,1.2046617396247867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7677536231884059,3
7,2,2021-08-21 15:58:52.496673,0.8,0,81,890,179,89,1,0,0,0,0,0,0,0.9325842696629213,1.4154410737568204,0.1587062722816837,2.0563579100644866,0.04122412813921497,0.0,0.0,0.0,0.0,0.33421842528574536,0.04421136847455158,0.89986039953988,0.24340523789231347,0.246313876423421,0.2477094336334219,0.003715931481205748,3.1893441056517493,3.5189697200621595e-07,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.976764199655766,1.0346399270738378,1.1232063334982683,1.0538150081342166,1.2146549598216985,1.3935040983059623,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.8881064162754304,6
8,2,2021-08-21 15:58:52.496673,0.8,0,81,890,179,89,0,1,0,0,0,0,0,0.9325842696629213,-1.8059047194994284,0.07264189936944923,-1.1451792537041325,0.25368975707962715,0.0,0.0,0.0,0.0,0.25842696629213485,0.0,1.0,0.0,0.4377698817702957,0.44025018423517004,5.974646685622773e-05,3.8531471042571437,3.7029764766104666e-15,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8696213425129087,0.9211485870556062,1.0,0.9382203222199346,1.081417477444781,1.2406483624124887,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7906885758998434,6
9,2,2021-08-21 15:58:52.496673,0.8,0,81,890,179,89,0,0,1,0,0,0,0,0.9325842696629213,0.7741859623749733,0.4398595582938305,2.225256441699914,0.02733438415848068,0.0,0.0,0.0,0.0,0.3825703994966448,1.9422015584830235e-37,1.0,5.2981162058996646e-06,0.47350942213900715,0.47619221653802624,0.0,1.8978556980372392,2.5646216920971465e-13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8915662650602408,0.9443938012762078,1.0252350321622958,0.9618963422264742,1.1087070822689689,1.2719561637400676,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.8106416275430359,6
