,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 14:23:17.847517,0.8,0,81,604,61,60,1,0,0,0,0,0,0,0.6,0.9224678546352593,0.3581669040225586,0.0,0.0,0.0,0.0,0.0,0.0,0.49782261302178615,4.40050788097067e-05,0.9925744575092482,0.6656320286568598,0.4621704800050754,0.46607072197921373,2.394294250969163e-244,-0.0957044642696363,1.4589932595399091e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6528384279475983,0.7491052254831783,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4642857142857143,5
1,1,2021-08-23 14:23:17.847517,0.8,0,81,604,61,60,0,1,0,0,0,0,0,0.6,0.557086014531156,0.5785238025769878,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,1.0,0.0,0.4930066485916346,0.4971671160112441,3.7121483554897397e-238,1.1523541089635096,4.295045569202571e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6921397379912665,0.794201861130995,1.060200668896321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.4922360248447205,5
2,1,2021-08-23 14:23:17.847517,0.8,0,81,604,61,60,0,0,1,0,0,0,0,0.6,-2.9964168938912414,0.003330470286129334,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,1.2539321230068973e-95,1.0,1.0239348935994897e-35,0.4818944098266986,0.48596110141697085,1.6789605579451783e-66,1.8314057859282136,2.330704206021661e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9737991266375546,1.117394416607015,1.4916387959866222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6925465838509317,5
3,1,2021-08-23 14:23:17.847517,0.8,0,81,604,61,60,0,0,0,1,0,0,0,0.6,0.4030660862686934,0.6876289732889067,0.0,0.0,0.0,0.0,0.0,0.0,0.5658002300093788,0.34513025877220116,0.9029378503768157,0.4967985871363032,0.16838946150588466,0.16981049481324906,0.004296849238395267,2.3418217175284606,5.666877768817358e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9694323144104805,1.1123836793128132,1.4849498327759199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.68944099378882,5
4,1,2021-08-23 14:23:17.847517,0.8,0,81,604,61,60,0,0,0,0,1,0,0,0.6,0.6597234021528221,0.5107169310249424,0.0,0.0,0.0,0.0,0.0,0.0,0.5491111294708195,0.15992932766822404,0.9087184223184985,0.4323973355359859,0.2698052366381903,0.2720821144447673,2.8760328699992675e-31,1.1735791869750742,1.4148159266369476e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9890829694323144,1.1349319971367215,1.5150501672240801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.703416149068323,5
5,1,2021-08-23 14:23:17.847517,0.8,0,81,604,61,60,0,0,0,0,0,1,0,0.6,-1.0474741882312109,0.29702174117747765,0.0,0.0,0.0,0.0,0.0,0.0,0.5106709419221189,0.026115453559924538,0.9837673199085032,0.4020451980380106,0.3570904150944154,0.3601038897445022,3.509671626122813e-30,0.5943348634909456,2.667513399501331e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.1474588403722261,1.531772575250836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7111801242236024,5
6,1,2021-08-23 14:23:17.847517,0.8,0,81,604,61,60,0,0,0,0,0,0,1,0.6,1.0651952954296484,0.28896231672462314,0.0,0.0,0.0,0.0,0.0,0.0,0.5739999999999998,0.18,1.0,0.425,0.29689616591214735,0.29940166320881284,1.2482986300159887e-18,1.4337574492752911,4.280217353880289e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8231441048034934,0.9445239799570508,1.2608695652173911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5854037267080745,5
7,2,2021-08-23 14:23:17.847517,0.8,0,81,604,121,61,1,0,0,0,0,0,0,0.819672131147541,-2.2703998742354896,0.024967157383567733,1.856326443678161,0.06588050527355183,0.0,0.0,0.0,0.0,0.6170318643885897,0.2843376271590225,0.8894566417110901,0.6035527255384185,0.18233493116661487,0.18384811006804794,1.6021050447366692e-06,-0.38390584099424585,0.0014314258005470037,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9297893681043129,0.9842256939177916,1.047457627118644,0.9904766329090402,1.1365311686135944,1.5171849427168576,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.7044072948328267,1
8,2,2021-08-23 14:23:17.847517,0.8,0,81,604,121,61,0,1,0,0,0,0,0,0.819672131147541,3.6701701940875044,0.00036298210936894183,3.9783304749198423,0.00011967152777274384,0.0,0.0,0.0,0.0,0.7540983606557377,0.0,1.0,1.0,0.430620509395531,0.4341941848573452,0.0013650043275870347,-3.4803557467635446,1.3112416968191765e-12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0585469437281967,1.1265536723163843,1.0652699061599926,1.2223533712057753,1.6317512274959083,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.7575987841945289,1
9,2,2021-08-23 14:23:17.847517,0.8,0,81,604,121,61,0,0,1,0,0,0,0,0.819672131147541,-2.999911382133915,0.003284789690947922,0.8464806291162174,0.3989837106522951,0.0,0.0,0.0,0.0,0.4426229508224401,5.531344829957141e-42,1.0,2.827629249795929e-16,0.4966969641792749,0.5008190013654199,5.47748374554666e-195,0.801197704485639,4.192846764228264e-11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9779338014042127,1.0351888366449267,1.1016949152542375,1.0417634488525507,1.1953806789625185,1.595744680851064,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.7408814589665654,1
