,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 16:43:47.293731,0.8,0,1025,9235,924,924,1,0,0,0,0,0,0,0.9989177489177489,5.389211684752371e-15,0.9999999999999957,0.0,0.0,0.0,0.0,0.0,0.0,0.26731601731601745,2.220446049250318e-16,0.9999999999999998,2.220446049250318e-16,0.44255865622798507,0.44279833057874,3.686762707824651e-52,10.97310723312601,2.5223372357846707e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9881826030649687,0.9930820241083326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9881826030649687,5
1,1,2021-08-21 16:43:47.293731,0.8,0,1025,9235,924,924,0,1,0,0,0,0,0,0.9989177489177489,0.10520453627833547,0.9162249408479256,0.0,0.0,0.0,0.0,0.0,0.0,0.26731601731601734,0.0,1.0,0.0,0.44255865622798524,0.44279833057874024,3.686762707823911e-52,10.97310723312601,2.5223372357846707e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9881826030649687,0.9930820241083326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9881826030649687,5
2,1,2021-08-21 16:43:47.293731,0.8,0,1025,9235,924,924,0,0,1,0,0,0,0,0.9989177489177489,-1.3231204766228328,0.1859591763323957,0.0,0.0,0.0,0.0,0.0,0.0,0.26515151656595887,0.0,1.0,0.0,0.4414138516339162,0.44165290599838475,1.2524763920095122e-49,11.069631359805594,2.228064558276459e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9979674796747968,1.0029154142522183,1.009901891188409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9979674796747968,5
3,1,2021-08-21 16:43:47.293731,0.8,0,1025,9235,924,924,0,0,0,1,0,0,0,0.9989177489177489,1.3167443067008548,0.18808778903188889,0.0,0.0,0.0,0.0,0.0,0.0,0.2894090393727574,0.027758840873275403,0.960679842373338,0.09292228106170342,0.339694569540376,0.33987853628526693,5.571221263292687e-42,11.0969848771587,8.835284908460474e-40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9979674796747968,1.0029154142522183,1.009901891188409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9979674796747968,5
4,1,2021-08-21 16:43:47.293731,0.8,0,1025,9235,924,924,0,0,0,0,1,0,0,0.9989177489177489,-0.013472016211345812,0.989252667169246,0.0,0.0,0.0,0.0,0.0,0.0,0.26528123670797205,5.910530492306017e-08,0.9999991647508375,4.989634678678656e-05,0.44104048837656856,0.4412793405405038,1.1823538594647686e-49,11.064949694358232,2.4242463432819335e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9979674796747968,1.0029154142522183,1.009901891188409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9979674796747968,5
5,1,2021-08-21 16:43:47.293731,0.8,0,1025,9235,924,924,0,0,0,0,0,1,0,0.9989177489177489,0.029971565903569513,0.9760929699387259,0.0,0.0,0.0,0.0,0.0,0.0,0.2655578604211215,5.5013496268430464e-12,0.9999999993700739,1.8695588271597818e-07,0.4411708872194639,0.4414098100028697,5.781067384021352e-50,11.046864990042222,2.4802982818549262e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,1.0049580118372532,1.011958717850707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,1.0,5
6,1,2021-08-21 16:43:47.293731,0.8,0,1025,9235,924,924,0,0,0,0,0,0,1,0.9989177489177489,-0.11589331195206404,0.9077497016148185,0.0,0.0,0.0,0.0,0.0,0.0,0.26494588744588743,0.0,1.0,0.0,0.43609529878908815,0.4363314728106188,4.878501949295385e-47,11.090972929987071,5.89946653480748e-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9951974962227498,1.000131697189427,1.0070987822858077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9951974962227498,5
7,2,2021-08-21 16:43:47.293731,0.8,0,1025,9235,1848,923,1,0,0,0,0,0,0,0.9989165763813651,-0.34282510164920105,0.7317691155239949,0.037698500731681614,0.969932149760008,0.0,0.0,0.0,0.0,0.2680926519079737,1.4246952405000472e-15,0.9999895329508343,9.341591234713152e-07,0.44233422192158967,0.4425740344748108,1.411454166157112e-53,10.91226216311518,3.110882590801094e-43,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,1.0020026371190758,1.0044642857142856,1.0,1.0049580118372532,1.011958717850707,0.0,0.0,0.0,0.0,0.0,0.0,mlp,1.0,0
8,2,2021-08-21 16:43:47.293731,0.8,0,1025,9235,1848,923,0,1,0,0,0,0,0,0.9989165763813651,0.31368359216067265,0.7537968428460016,0.3803496308000019,0.703729681037589,0.0,0.0,0.0,0.0,0.27518959913326113,0.0,1.0,0.0,0.4466097666443673,0.44685189719435553,6.590900951709423e-65,10.616616969096642,4.161856439044707e-43,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9955555555555556,0.9975492920652131,1.0,0.9955555555555556,1.0004915317846432,1.0074611235491484,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.9955555555555556,0
9,2,2021-08-21 16:43:47.293731,0.8,0,1025,9235,1848,923,0,0,1,0,0,0,0,0.9989165763813651,-0.8634072927686847,0.38802585517067245,0.1717541210100286,0.8636496712271357,0.0,0.0,0.0,0.0,0.26868905742145177,0.0,1.0,0.0,0.44327784497245465,0.4435181691131631,6.735508572404295e-54,10.906118544505109,2.858648867222627e-43,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9972431302270012,0.999240246336337,1.001695108486943,0.9972431302270012,1.0021874734712861,1.0091688794499418,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.9972431302270012,0
