,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-09-22 22:13:04.612363,0.8,0,236,982,197,196,1,0,0,0,0,0,0,0.5612244897959183,-1.1818963889407408,0.23796694844017327,0.0,0.0,0.0,0.0,0.0,0.0,0.7539806937987084,0.0070666396750080065,0.9999999320362325,0.9970089420542052,0.38665774651030504,0.3876479088140372,4.1271062430228514e-08,-5.579771281875697,2.5822187654947363e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9616541353383457,1.0239899350927857,1.120946538124452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8406178113703581,1
1,1,2021-09-22 22:13:04.612363,0.8,0,236,982,197,196,0,1,0,0,0,0,0,0.5612244897959183,3.5401357762652057,0.0004482158065500967,0.0,0.0,0.0,0.0,0.0,0.0,0.8010204081632653,0.0,1.0,1.0,0.39923265631611493,0.40025502074634,7.283226466384072e-11,-6.763017432527331,1.6494530903259513e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0648214336774084,1.1656441717791413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.874137364442984,1
2,1,2021-09-22 22:13:04.612363,0.8,0,236,982,197,196,0,0,1,0,0,0,0,0.5612244897959183,2.824865520794945,0.004973032084848065,0.0,0.0,0.0,0.0,0.0,0.0,0.6429260111497117,2.1642081390243194e-74,1.0,1.0,0.47906590451248837,0.48029270781316663,0.0,-3.2945390450903638,5.7025572935464305e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9377819548872179,0.9985703256798102,1.0931200701139352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.819750246467302,1
3,1,2021-09-22 22:13:04.612363,0.8,0,236,982,197,196,0,0,0,1,0,0,0,0.5612244897959183,0.14470359055875753,0.8850196532569776,0.0,0.0,0.0,0.0,0.0,0.0,0.5328993861782682,0.02922892213484829,0.9516577910196702,0.6271666730466308,0.2575280551313886,0.25818753906684827,1.805698790328942e-11,-3.3884651832041244,6.184803363895597e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9714285714285713,1.034397964143768,1.1323400525854515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8491620111731844,1
4,1,2021-09-22 22:13:04.612363,0.8,0,236,982,197,196,0,0,0,0,1,0,0,0.5612244897959183,-0.12595832397115259,0.8998298215077853,0.0,0.0,0.0,0.0,0.0,0.0,0.5283732278471315,0.014593689895327298,0.9999033376356031,0.516134507626699,0.3527895390144292,0.3536929708112466,0.0,-0.042036061140840665,6.156906928733719e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8610902255639098,0.9169073285105653,1.0037248028045576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7527111403220507,1
5,1,2021-09-22 22:13:04.612363,0.8,0,236,982,197,196,0,0,0,0,0,1,0,0.5612244897959183,-4.165785788904411,3.823432930881973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5329061911058077,0.006943562498704355,0.9997767794830201,0.5225504764979632,0.3578942779583119,0.3588107820913704,0.0,-0.01231750860529516,3.038468782134984e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8578947368421052,0.9135047036285133,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.749917844232665,1
6,1,2021-09-22 22:13:04.612363,0.8,0,236,982,197,196,0,0,0,0,0,0,1,0.5612244897959183,-2.508261105069869,0.012537824523404252,0.0,0.0,0.0,0.0,0.0,0.0,0.6683163265306122,0.0,1.0,0.75,0.2791911091846051,0.2799060683813283,5.7398093306153206e-06,-4.894528709617243,9.048266996769527e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9840225563909774,1.0478083092671489,1.1470201577563541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8601708839960565,1
7,2,2021-09-22 22:13:04.612363,0.8,0,236,982,393,197,1,0,0,0,0,0,0,0.934010152284264,0.9961634042769418,0.31978526542466273,-4.492716367945518,9.27249227697954e-06,0.0,0.0,0.0,0.0,0.5949556348351124,0.11994740104194948,0.9767427717863334,0.6766817501499924,0.3091464592512715,0.3099340948188957,3.637512129906e-311,-0.8111155474225367,6.664654451146029e-14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.963221550302364,0.9892163504968383,1.036561557120038,1.0374617249645854,1.104711481362227,1.2093112131489034,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.9068840579710146,5
8,2,2021-09-22 22:13:04.612363,0.8,0,236,982,393,197,0,1,0,0,0,0,0,0.934010152284264,1.109141757792937,0.26804901485953303,-5.430760014558457,9.878497925701651e-08,0.0,0.0,0.0,0.0,0.5532994923857868,0.0,1.0,1.0,0.4971510475815348,0.4984176765072072,7.263657384816679e-242,-1.2589097596737373,2.2155753210658683e-20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.963221550302364,0.9892163504968383,1.036561557120038,1.0374617249645854,1.104711481362227,1.2093112131489034,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.9068840579710146,5
9,2,2021-09-22 22:13:04.612363,0.8,0,236,982,393,197,0,0,1,0,0,0,0,0.934010152284264,0.9874472442677976,0.32403252380424863,-2.9375503649842343,0.0035040258213966994,0.0,0.0,0.0,0.0,0.4974403459132254,1.4808369319367167e-98,1.0,4.1189073163622386e-05,0.4999714962878263,0.5012453110817215,7.83765051274675e-233,0.06021275793553605,2.8290497833979865e-20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9292468389224849,0.9543247515808492,1.0,1.0008684171609148,1.0657461428837236,1.1666564371814345,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.874896480331263,5
10,2,2021-09-22 22:13:04.612363,0.8,0,236,982,393,197,0,0,0,1,0,0,0,0.934010152284264,-3.9301032212865072,0.00010035956841607714,-2.8431156134681785,0.004701879654950069,0.0,0.0,0.0,0.0,0.4574622272261526,0.03092734455083246,0.8711027845029093,0.5115449659317726,0.26702167335749194,0.2677019844559023,0.0,-0.7010925330256225,1.2247425296152414e-10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9870258383727324,1.0136630532971997,1.0621783115423298,1.0631007254160245,1.1320124385809842,1.2391971645953663,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.9292960662525881,5
11,2,2021-09-22 22:13:04.612363,0.8,0,236,982,393,197,0,0,0,0,1,0,0,0.934010152284264,0.9608323693942723,0.33722873898747396,1.3862650747243865,0.16645596243869584,0.0,0.0,0.0,0.0,0.5760992594098424,0.05091090439817949,0.999984885568977,0.5219343397324968,0.32757046226817377,0.32840503804695,0.0,0.12906727804967855,5.602566154061517e-12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9769103903243539,1.003274616079494,1.0512926699402472,1.052205630535967,1.12041110803075,1.2264973607474465,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.9197722567287784,5
12,2,2021-09-22 22:13:04.612363,0.8,0,236,982,393,197,0,0,0,0,0,1,0,0.934010152284264,-0.8256401463074211,0.4095104396179583,0.1729300833038107,0.8627958666683324,0.0,0.0,0.0,0.0,0.5397043087031825,0.010165855857121745,0.9999999901924487,0.4691878136822197,0.4170318653612131,0.4180943686510348,2.8767494481318555e-267,-0.03964137905604615,3.362885707326491e-16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.0269873532068654,1.0761403301189139,1.0770748688491414,1.1468924060258494,1.2554860434437847,0.0,0.0,0.0,0.0,0.0,0.0,desicition_tree,0.9415113871635611,5
