,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 17:37:31.873714,0.8,0,129,1124,113,112,1,0,0,0,0,0,0,0.9464285714285714,-2.3076343086806537,0.02194051710025937,0.0,0.0,0.0,0.0,0.0,0.0,0.3622132234897498,0.02198249975527367,0.9996840423417166,0.1286681672231152,0.3817520867485151,0.38346783510915733,8.985340723622252e-12,2.917165588601352,5.103441107212614e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8718662952646241,0.9217501051745899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8151041666666667,6
1,1,2021-08-23 17:37:31.873714,0.8,0,129,1124,113,112,0,1,0,0,0,0,0,0.9464285714285714,1.1176738416221417,0.2649143842636539,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.5,0.5022472023339226,1.7331964974807056e-180,1.0199189325533293,2.967565319387101e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.924791086350975,0.9777029869583508,1.0607028753993608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8645833333333333,6
2,1,2021-08-23 17:37:31.873714,0.8,0,129,1124,113,112,0,0,1,0,0,0,0,0.9464285714285714,1.1708385995400652,0.24291889575325615,0.0,0.0,0.0,0.0,0.0,0.0,0.4255607835996438,1.609334627474688e-46,1.0,1.3164066540288319e-20,0.4923164127789722,0.49452908196262285,2.457636458366756e-201,1.3371776827619781,2.591033763344147e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9721448467966576,1.0277660917122424,1.1150159744408945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9088541666666667,6
3,1,2021-08-23 17:37:31.873714,0.8,0,129,1124,113,112,0,0,0,1,0,0,0,0.9464285714285714,-0.444453657302715,0.6571475977713199,0.0,0.0,0.0,0.0,0.0,0.0,0.3630325629073708,0.048183050688976437,0.8817329307869386,0.2336795406613419,0.2724018852395844,0.27362616954413504,2.6155857290036914e-20,2.0660022811864525,9.897010322390543e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9805013927576604,1.0366007572570468,1.1246006389776357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9166666666666667,6
4,1,2021-08-23 17:37:31.873714,0.8,0,129,1124,113,112,0,0,0,0,1,0,0,0.9464285714285714,1.2976938770083755,0.1957393082566946,0.0,0.0,0.0,0.0,0.0,0.0,0.38396527642676653,0.0015630393477444825,0.9999999999921327,0.10648686077260897,0.414748035926157,0.41661208143480316,2.581325392881626e-76,2.47807574577761,1.058732095049475e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9916434540389972,1.0483803113167858,1.1373801916932906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9270833333333333,6
5,1,2021-08-23 17:37:31.873714,0.8,0,129,1124,113,112,0,0,0,0,0,1,0,0.9464285714285714,-1.5298395494685493,0.12748009308558092,0.0,0.0,0.0,0.0,0.0,0.0,0.3128776081828822,0.0009493338822265344,0.9999993657566216,0.0692145685865092,0.40134550848265865,0.40314931760940187,7.895901093669935e-07,3.704907957121794,7.124917246904144e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8802228412256269,0.9305847707193943,1.0095846645367412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8229166666666667,6
6,1,2021-08-23 17:37:31.873714,0.8,0,129,1124,113,112,0,0,0,0,0,0,1,0.9464285714285714,0.5701936132351116,0.569122995824717,0.0,0.0,0.0,0.0,0.0,0.0,0.39026785714285717,0.0,1.0,0.28,0.350681631717402,0.35225773687992035,1.2620280844830228e-74,1.4045666969139368,6.033760158175028e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0572149768615902,1.1469648562300319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9348958333333333,6
7,2,2021-08-23 17:37:31.873714,0.8,0,129,1124,225,113,1,0,0,0,0,0,0,0.8938053097345132,0.0742911862094243,0.9408449905012951,4.770478153424311,3.321049312730833e-06,0.0,0.0,0.0,0.0,0.5613391007098615,0.22703155189083835,0.9515707364106305,0.5662684777217516,0.221273416476611,0.22225904904511576,1.9295933590355797e-28,0.4345584500982568,3.1205634059006115e-06,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8713530114314965,0.9268362241061938,1.0329692556634305,0.8670858204005838,0.9166961155518161,0.9945169633348547,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8106349206349207,6
8,2,2021-08-23 17:37:31.873714,0.8,0,129,1124,225,113,0,1,0,0,0,0,0,0.8938053097345132,-0.13346248409539394,0.8939474562825949,0.8618491381502205,0.3896963478544564,0.0,0.0,0.0,0.0,0.5575221238938053,0.0,1.0,1.0,0.4966801840850364,0.49889257892830446,1.6763040479029428e-191,-1.0518660065615628,1.994704992543464e-15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8435420576693398,0.8972544139379326,1.0,0.8394110624751294,0.8874379469920067,0.962774988589685,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7847619047619048,6
9,2,2021-08-23 17:37:31.873714,0.8,0,129,1124,225,113,0,0,1,0,0,0,0,0.8938053097345132,2.917786001858767,0.003884345133234952,2.128447313914465,0.03439707327455749,0.0,0.0,0.0,0.0,0.5663703955082425,1.3555796746767687e-52,1.0,1.0,0.4955740962444576,0.49778156416872804,1.0982466657545135e-195,-1.2120857637546711,1.8461233433755614e-15,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9870329295342094,1.049882035726323,1.1701051779935276,0.9821992306671974,1.0383957369232928,1.1265479993914498,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9182539682539683,6
10,2,2021-08-23 17:37:31.873714,0.8,0,129,1124,225,113,0,0,0,1,0,0,0,0.8938053097345132,-1.147351160732128,0.252460484826367,1.2530688392870937,0.21149295159933343,0.0,0.0,0.0,0.0,0.40941051069478457,0.01618027752465423,0.9230983975658091,0.42068545928026424,0.28020238397047514,0.2814505076710606,1.6350212417327915e-122,0.350141390819851,1.2887204547951114e-07,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9725302849343117,1.0344559383993155,1.1529126213592233,0.9677676084361322,1.0231384097602019,1.10999543587403,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9047619047619048,6
11,2,2021-08-23 17:37:31.873714,0.8,0,129,1124,225,113,0,0,0,0,1,0,0,0.8938053097345132,-0.9850339181385986,0.3256701755195197,1.4327257412868133,0.15333657803316733,0.0,0.0,0.0,0.0,0.46530157623106844,0.002839654539418357,0.9999999999997777,0.2683505954300894,0.4327345018568199,0.43466205928932705,2.1667765104980974e-239,1.0707567654420858,1.9651363869499505e-12,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9725302849343117,1.0344559383993155,1.1529126213592233,0.9677676084361322,1.0231384097602019,1.10999543587403,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9047619047619048,6
12,2,2021-08-23 17:37:31.873714,0.8,0,129,1124,225,113,0,0,0,0,0,1,0,0.8938053097345132,0.16740709968104678,0.8672007735403291,4.169639679421347,4.368445954081346e-05,0.0,0.0,0.0,0.0,0.5153742017958866,0.0781288306018586,0.9998137201266006,0.40366237930946125,0.3196134364494237,0.3210371113639816,1.8815929762253634e-62,1.2200331764291574,4.597529823513469e-08,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9339703122334073,0.9934406678592724,1.1072006472491909,0.9293964716805942,0.982571869303043,1.0659850905218315,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8688888888888888,6
13,2,2021-08-23 17:37:31.873714,0.8,0,129,1124,225,113,0,0,0,0,0,0,1,0.8938053097345132,-1.3298201268552223,0.1849300773636898,2.449365078443183,0.015081881577233667,0.0,0.0,0.0,0.0,0.5076991150442478,0.0,1.0,0.57,0.36505305433196,0.3666791338914075,0.0,-0.753268017234552,1.1978846359284034e-08,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.063674781571647,1.185477346278317,0.995102798779679,1.0520375823867618,1.1413479385364367,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9303174603174602,6
14,3,2021-08-23 17:37:31.873714,0.8,0,129,1124,338,112,1,0,0,0,0,0,0,0.9017857142857143,0.2732490725013449,0.7849157906045486,-1.4072473394588598,0.1607463184552869,3.9816783980576265,9.27413163414627e-05,0.0,0.0,0.5227662842643416,0.27383332542054395,0.9052506432051288,0.4781111559289796,0.18639960086720678,0.18723735610342887,2.4613251890505868e-06,2.376472331832182,3.3863511816889513e-07,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9056603773584907,0.9710982658959538,1.0322580645161292,0.9213444804640848,0.980010889009878,1.0922330097087378,0.9168324711500201,0.969289019772823,1.0515746234596075,0.0,0.0,0.0,random_forest,0.8571428571428572,6
