,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 14:24:18.136703,0.8,0,399,1019,102,102,1,0,0,0,0,0,0,0.8333333333333334,0.8504645408474071,0.3960738134178263,0.0,0.0,0.0,0.0,0.0,0.0,0.4856066108491123,0.21382961603855344,0.8276459797879424,0.4479652519254803,0.1706288994315333,0.17147151640508126,7.985486553909683e-09,1.4868661456980832,2.860227323253639e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0889158295808798,1.3002316155182398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8978408636545382,0
1,1,2021-08-23 14:24:18.136703,0.8,0,399,1019,102,102,0,1,0,0,0,0,0,0.8333333333333334,2.3651682751209395,0.018969190616727468,0.0,0.0,0.0,0.0,0.0,0.0,0.4411764705882353,0.0,1.0,0.0,0.4965277357686509,0.49897973949949537,2.0265282502524932e-187,1.0272441822313727,1.2470331604635346e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8728568247606324,0.9504676134395567,1.1349160393746383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7836865253898441,0
2,1,2021-08-23 14:24:18.136703,0.8,0,399,1019,102,102,0,0,1,0,0,0,0,0.8333333333333334,-3.2454359743807513,0.001372667310923025,0.0,0.0,0.0,0.0,0.0,0.0,0.28350437846244614,9.030250363446878e-116,1.0,2.5625081981175674e-29,0.44979563571555786,0.45201686224016424,4.679175197887092e-08,3.6570437385040977,7.214318842805581e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7690937430416388,0.8374783512296501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6905237904838064,0
3,1,2021-08-23 14:24:18.136703,0.8,0,399,1019,102,102,0,0,0,1,0,0,0,0.8333333333333334,-0.603401617964731,0.5469184828408181,0.0,0.0,0.0,0.0,0.0,0.0,0.44838924630298876,0.038323309799920935,0.9194217496280999,0.4585302644998137,0.2416224246205141,0.24281562903578816,2.095392755379771e-12,0.1063602068134861,0.00010117603960679844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9454464484524604,1.0295116037409076,1.2292993630573248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8488604558176729,0
4,1,2021-08-23 14:24:18.136703,0.8,0,399,1019,102,102,0,0,0,0,1,0,0,0.8333333333333334,0.11334241142603176,0.9098716591347937,0.0,0.0,0.0,0.0,0.0,0.0,0.47770423429635234,4.435750225402588e-10,0.9999999999087954,0.3662842221622981,0.4242741053705725,0.4263692988800727,2.103096461561642e-273,0.5689040832805641,1.447716252434006e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9000222667557336,0.9800484932455835,1.1702374059061957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.808076769292283,0
5,1,2021-08-23 14:24:18.136703,0.8,0,399,1019,102,102,0,0,0,0,0,1,0,0.8333333333333334,0.14331419475873144,0.8861849065935111,0.0,0.0,0.0,0.0,0.0,0.0,0.47049287186961314,1.2043549097495355e-11,0.9999999999991345,0.20515788361570736,0.47838079712879295,0.480743185802828,1.185435797609324e-190,0.5823782279857234,1.609172728877714e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.959029169450011,1.044302043643921,1.2469600463231036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8610555777688924,0
6,1,2021-08-23 14:24:18.136703,0.8,0,399,1019,102,102,0,0,0,0,0,0,1,0.8333333333333334,-0.5973854610788453,0.550919112223742,0.0,0.0,0.0,0.0,0.0,0.0,0.46196078431372556,0.0,1.0,0.365,0.3593431895471162,0.3611177346086505,5.830409117032298e-48,1.0824918820990423,1.506541877915879e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9819639278557113,1.069276065119501,1.276780544296468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8816473410635745,0
7,2,2021-08-23 14:24:18.136703,0.8,0,399,1019,204,102,1,0,0,0,0,0,0,0.9509803921568627,1.9260647908448685,0.05550005059382864,0.6313431682266907,0.5285299267573756,0.0,0.0,0.0,0.0,0.49875563659182104,0.29050534488197477,0.6970371777053779,0.5340645719944784,0.121227936425868,0.12182659654288773,4.099549854666982e-57,-0.19475747053771178,2.8515200938272756e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9705646776131358,1.039427731143925,1.2169219181521467,1.0393736602542354,1.1317904315002563,1.3514264933994706,0.0,0.0,0.0,0.0,0.0,0.0,ada_boost,0.9331921447824413,5
8,2,2021-08-23 14:24:18.136703,0.8,0,399,1019,204,102,0,1,0,0,0,0,0,0.9509803921568627,1.6209558320416704,0.10658702732808573,-0.5647914134463479,0.5728423127004312,0.0,0.0,0.0,0.0,0.4019607843137255,0.0,1.0,0.0,0.49029410784509764,0.4927153280409566,6.181427032331482e-220,1.7007162687398423,8.192250250025311e-15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8530236283540249,0.9135469640340665,1.0695455686668343,0.9134994414448202,0.9947240021025567,1.1877608545248082,0.0,0.0,0.0,0.0,0.0,0.0,ada_boost,0.8201771274547556,5
9,2,2021-08-23 14:24:18.136703,0.8,0,399,1019,204,102,0,0,1,0,0,0,0,0.9509803921568627,-3.33196105618014,0.0010254620760065394,0.16511119901012997,0.8690215751063662,0.0,0.0,0.0,0.0,0.29402141621524697,1.6052791306932187e-156,1.0,2.2938710953170837e-22,0.45548661425473735,0.4577359445479855,2.4986757726110734e-10,3.4929475520882396,8.980102487562611e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7975570684821786,0.8541449666074382,1.0,0.8541005341020466,0.9300435916372025,1.1105285172704955,0.0,0.0,0.0,0.0,0.0,0.0,ada_boost,0.7668463611859838,5
