,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 14:26:54.922766,0.8,0,61,599,60,60,1,0,0,0,0,0,0,0.7666666666666667,10.594636813258807,7.745176504561425e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.8235447149159287,4.154227063525542e-09,0.9999915739787247,0.9938060808103141,0.36721938851264024,0.3703183412470916,4.467983310315495e-06,-4.599176012614885,3.216924339757843e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7442396313364055,0.856439393939394,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5915750915750916,5
1,1,2021-08-23 14:26:54.922766,0.8,0,61,599,60,60,0,1,0,0,0,0,0,0.7666666666666667,-1.309918255523241,0.19276791532324117,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,1.0,0.0,0.33993463423951903,0.34280333180088157,2.366439640637067e-08,5.182870066187304,3.063733755625034e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7580645161290321,0.8723484848484848,1.0185758513931888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6025641025641025,5
2,1,2021-08-23 14:26:54.922766,0.8,0,61,599,60,60,0,0,1,0,0,0,0,0.7666666666666667,-3.6647307642044815,0.0003723411931336382,0.0,0.0,0.0,0.0,0.0,0.0,0.22354207258456,1.3384697827126188e-109,1.0,1.3966095288022995e-43,0.40528127177657525,0.40870142753273225,0.000672382358152217,3.8196087896744304,2.056492996727055e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8387096774193548,0.9651515151515151,1.1269349845201238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6666666666666666,5
3,1,2021-08-23 14:26:54.922766,0.8,0,61,599,60,60,0,0,0,1,0,0,0,0.7666666666666667,1.405136636324429,0.16260786881865566,0.0,0.0,0.0,0.0,0.0,0.0,0.4416028517091262,0.18164115479669363,0.8610044117369853,0.31634035841921104,0.21128098770399104,0.2130639812360995,2.134425150381263e-05,1.8890138638525518,4.690243713412201e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9838709677419354,1.1321969696969698,1.3219814241486068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.782051282051282,5
4,1,2021-08-23 14:26:54.922766,0.8,0,61,599,60,60,0,0,0,0,1,0,0,0.7666666666666667,-1.220258123239305,0.22480008127315498,0.0,0.0,0.0,0.0,0.0,0.0,0.3561336748009152,0.0007058554786546306,0.9861627618128219,0.027498287811728687,0.4167138036335494,0.4202304381622553,4.9602719574797435e-25,1.7515862882682118,2.050178915524725e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9677419354838708,1.1136363636363635,1.3003095975232197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7692307692307692,5
5,1,2021-08-23 14:26:54.922766,0.8,0,61,599,60,60,0,0,0,0,0,1,0,0.7666666666666667,2.2776449070728098,0.024548190119702357,0.0,0.0,0.0,0.0,0.0,0.0,0.44954218326743633,0.00367701778434229,0.9971680521914834,0.19786342866650836,0.4148098258573403,0.41831039277817883,5.934522106727286e-92,1.2255444760865557,1.8969236847965476e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.1507575757575759,1.343653250773994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7948717948717949,5
6,1,2021-08-23 14:26:54.922766,0.8,0,61,599,60,60,0,0,0,0,0,0,1,0.7666666666666667,-9.720792776001865,9.209761255542638e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.318,0.11,0.75,0.26,0.15724503171801646,0.15857201753702546,0.06059706227097991,2.183890687753288,0.00040022627217695117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7903225806451613,0.909469696969697,1.061919504643963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6282051282051282,5
7,2,2021-08-23 14:26:54.922766,0.8,0,61,599,120,60,1,0,0,0,0,0,0,0.7166666666666667,-5.801862201952737,5.616167511047999e-08,-15.907575514608817,3.899225893997985e-31,0.0,0.0,0.0,0.0,0.03721213573953741,1.6650920782354427e-08,0.5709140417427033,8.709726010707722e-05,0.09650820897956619,0.09732263868417841,5.070169949370524e-20,7.481972625603461,3.066411396177894e-14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5714285714285714,0.7567567567567567,1.032258064516129,0.6493236212278876,0.7472140762463343,0.8724657944671926,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.5161290322580645,1
8,2,2021-08-23 14:26:54.922766,0.8,0,61,599,120,60,0,1,0,0,0,0,0,0.7166666666666667,6.491752959574063,2.0914749400062904e-09,3.6342249537855076,0.0004142326043279835,0.0,0.0,0.0,0.0,0.4166666666666667,0.0,1.0,0.0,0.49300664859163473,0.4971671160112441,3.712148355496504e-238,1.152354108963509,4.295045569202571e-11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.3243243243243241,1.8064516129032258,1.1363163371488032,1.307624633431085,1.5268151403175871,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.9032258064516129,1
9,2,2021-08-23 14:26:54.922766,0.8,0,61,599,120,60,0,0,1,0,0,0,0,0.7166666666666667,-15.190333611029311,1.5343020710251066e-29,-4.2367099962822765,4.521088814094235e-05,0.0,0.0,0.0,0.0,3.2366024300810302e-09,1.9294626819339308e-69,1.9403413055356287e-07,3.100293951372795e-30,2.483972622779908e-08,2.504934788701605e-08,1.7425164570223653e-29,9.247674005739706,3.108560954714284e-17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5535714285714286,0.7331081081081081,1.0,0.6290322580645161,0.7238636363636364,0.8452012383900929,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.5,1
10,2,2021-08-23 14:26:54.922766,0.8,0,61,599,120,60,0,0,0,1,0,0,0,0.7166666666666667,1.1708402837218628,0.24402200758734324,-3.0772526202532258,0.002597754658182764,0.0,0.0,0.0,0.0,0.3333243170884633,0.08858752977675977,0.6017227945735044,0.4029353647132865,0.1685488088388946,0.16997118687333168,1.7392574122891812e-102,0.09527234201612414,2.6390785023977514e-06,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8035714285714286,1.0641891891891893,1.4516129032258065,0.9131113423517169,1.0507697947214076,1.2269050234694896,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.7258064516129032,1
11,2,2021-08-23 14:26:54.922766,0.8,0,61,599,120,60,0,0,0,0,1,0,0,0.7166666666666667,0.03280861001707706,0.9738826432591787,-1.1338205992088342,0.2591680542288188,0.0,0.0,0.0,0.0,0.2793337183686403,0.0001289763988690675,0.914111147074275,0.17648954466847935,0.3115248733096786,0.314153821802575,0.000496603706670712,1.994397796366067,2.593134240669315e-07,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.8571428571428571,1.135135135135135,1.5483870967741935,0.9739854318418313,1.1208211143695015,1.308698691700789,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.7741935483870968,1
12,2,2021-08-23 14:26:54.922766,0.8,0,61,599,120,60,0,0,0,0,0,1,0,0.7166666666666667,0.831482393988621,0.4073805867827395,-2.6059205652728505,0.010343153884226117,0.0,0.0,0.0,0.0,0.27751098444859473,0.0004493805857856632,0.8521184595097092,0.20458822662607798,0.2916465073338059,0.294107702928777,3.7913007878504684e-08,1.391666595807025,2.980359283810685e-07,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.8571428571428571,1.135135135135135,1.5483870967741935,0.9739854318418313,1.1208211143695015,1.308698691700789,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.7741935483870968,1
13,2,2021-08-23 14:26:54.922766,0.8,0,61,599,120,60,0,0,0,0,0,0,1,0.7166666666666667,6.720084914770862,6.790708819802519e-10,-2.3294051982522745,0.021538063898082643,0.0,0.0,0.0,0.0,0.23866666666666664,0.0,0.6,0.275,0.20906511479015868,0.2108294086412581,0.0,0.32268507443522,9.577520643233584e-08,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6428571428571429,0.8513513513513513,1.1612903225806452,0.7304890738813735,0.8406158357771262,0.9815240187755918,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.5806451612903226,1
14,3,2021-08-23 14:26:54.922766,0.8,0,61,599,180,60,1,0,0,0,0,0,0,1.0,0.1850055256119703,0.8535423084915816,4.478428893377854,1.7478673312055264e-05,-7.0605299133320925,1.233191721393392e-10,0.0,0.0,0.2984616967430292,6.36481638211774e-05,0.9712773557025733,0.0003539738862953695,0.43756389176928573,0.44125647952830305,4.709831630885391e-09,2.510697423028367,1.504447955102961e-11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0075757575757576,1.0555555555555556,1.1071428571428572,1.4662162162162162,2.0,1.2580645161290323,1.4477272727272728,1.6904024767801857,0.0,0.0,0.0,desicition_tree,1.0,6
15,3,2021-08-23 14:26:54.922766,0.8,0,61,599,180,60,0,1,0,0,0,0,0,1.0,-0.3953370596435975,0.693307937542675,-1.5333567958931906,0.12786477737960697,2.0412058593071274,0.04346083731172198,0.0,0.0,0.2833333333333333,0.0,1.0,0.0,0.4506168611531923,0.45441960250548497,0.00011947277998707459,2.948951038410862,4.531802884344405e-12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9473684210526316,0.9545454545454546,1.0,1.0488721804511278,1.3890469416785207,1.8947368421052633,1.1918505942275042,1.371531100478469,1.6014339253707024,0.0,0.0,0.0,desicition_tree,0.9473684210526316,6
16,3,2021-08-23 14:26:54.922766,0.8,0,61,599,180,60,0,0,1,0,0,0,0,1.0,0.056271211497164055,0.9552209231568533,5.228906468443292,7.472834592166096e-07,1.159396968298434,0.24863511829817744,0.0,0.0,0.3166666666665729,2.8849617351039705e-49,1.0,2.093336372256285e-34,0.46517619123162424,0.4691017983071594,2.319230263465684e-09,2.5019996974672654,9.57201505558114e-12,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0075757575757576,1.0555555555555556,1.1071428571428572,1.4662162162162162,2.0,1.2580645161290323,1.4477272727272728,1.6904024767801857,0.0,0.0,0.0,desicition_tree,1.0,6
17,3,2021-08-23 14:26:54.922766,0.8,0,61,599,180,60,0,0,0,1,0,0,0,1.0,0.038128641170709514,0.969649547170112,-0.41464083316719164,0.6791576912173267,-2.432881975855708,0.016479907038350654,0.0,0.0,0.31240672614034015,0.03172311185539911,0.9462820501013312,0.09860211738197222,0.34891736630517306,0.35186186885660015,1.6762706716503775e-05,2.637203864761694,5.366231348169492e-10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0075757575757576,1.0555555555555556,1.1071428571428572,1.4662162162162162,2.0,1.2580645161290323,1.4477272727272728,1.6904024767801857,0.0,0.0,0.0,desicition_tree,1.0,6
18,3,2021-08-23 14:26:54.922766,0.8,0,61,599,180,60,0,0,0,0,1,0,0,1.0,-0.06177177658548044,0.9508490870222869,0.4210394022395715,0.6744922001625668,-0.5798026196046587,0.5631531390451118,0.0,0.0,0.30956045871009663,4.2540158292723723e-07,0.999650758066588,4.4991027538059727e-05,0.45500897448848143,0.4588487807454499,5.866236216556607e-09,2.513843193441525,1.398462422252944e-11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0075757575757576,1.0555555555555556,1.1071428571428572,1.4662162162162162,2.0,1.2580645161290323,1.4477272727272728,1.6904024767801857,0.0,0.0,0.0,desicition_tree,1.0,6
19,3,2021-08-23 14:26:54.922766,0.8,0,61,599,180,60,0,0,0,0,0,1,0,1.0,0.06329045538450234,0.9496423028993661,0.5249190602312346,0.6006242968390167,-1.6701088462111449,0.09754844838823472,0.0,0.0,0.3147672225417531,7.46211992962439e-05,0.9996366491419652,0.0014738503433782578,0.4606013693768475,0.46448836967632456,2.831701437851536e-09,2.5044056958954033,1.1665753432699155e-11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0075757575757576,1.0555555555555556,1.1071428571428572,1.4662162162162162,2.0,1.2580645161290323,1.4477272727272728,1.6904024767801857,0.0,0.0,0.0,desicition_tree,1.0,6
20,3,2021-08-23 14:26:54.922766,0.8,0,61,599,180,60,0,0,0,0,0,0,1,1.0,0.14295042868343955,0.8865731458058509,1.176864383272381,0.24161813566572238,-0.1446717198470045,0.8852168774672794,0.0,0.0,0.30966666666666665,0.0,1.0,0.04,0.41356163050048805,0.41705166394042864,2.649980734924374e-06,2.621437835403067,1.0251492016388752e-10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0075757575757576,1.0555555555555556,1.1071428571428572,1.4662162162162162,2.0,1.2580645161290323,1.4477272727272728,1.6904024767801857,0.0,0.0,0.0,desicition_tree,1.0,6
21,4,2021-08-23 14:26:54.922766,0.8,0,61,599,240,60,1,0,0,0,0,0,0,0.9833333333333333,0.10557940572503073,0.91609533310359,5.842904181896231,4.6408723709580983e-08,14.55568318371307,4.151426002785023e-28,-1.50036143855049,0.13619176545168063,0.7245061218653642,0.00010543318880589093,0.9648874512988496,0.9224715550727632,0.3496146853425758,0.35256507254717034,0.0004145586955599109,-3.8809843387852805,7.718127525979668e-11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.98,0.9942028985507246,1.053763440860215,0.98,0.9874242424242423,1.0344444444444443,1.085,1.4368918918918918,1.96,1.2329032258064514,1.4187727272727273,1.656594427244582,random_forest,0.98,5
22,4,2021-08-23 14:26:54.922766,0.8,0,61,599,240,60,0,1,0,0,0,0,0,0.9833333333333333,-1.5324807438902381,0.1280805622700639,5.22306784911875,7.666731392897272e-07,3.450052790759678,0.0007782027680260989,7.938022786194384,1.330330681579602e-12,0.7166666666666667,0.0,1.0,1.0,0.45061686115319244,0.45441960250548497,0.0001194727799870724,-2.9489510384108613,4.53190826879557e-12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.9299999999999999,0.9434782608695652,1.0,0.9299999999999999,0.9370454545454544,0.9816666666666666,1.029642857142857,1.363581081081081,1.8599999999999999,1.17,1.3463863636363635,1.5720743034055726,random_forest,0.9299999999999999,5
