,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 16:03:35.178349,0.8,0,83,1161,117,116,1,0,0,0,0,0,0,0.9655172413793104,-0.19974368506872578,0.841857531500607,0.0,0.0,0.0,0.0,0.0,0.0,0.549156873523739,0.05520956395959985,0.977969568595864,0.6279232550536964,0.3382755091108088,0.3397430887091075,5.9218531909476e-310,-0.47097393376285895,1.3518556274405569e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.879869164436515,1.0013778433126252,1.3425589836660614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.879869164436515,3
1,1,2021-08-21 16:03:35.178349,0.8,0,83,1161,117,116,0,1,0,0,0,0,0,0.9655172413793104,0.7659763362100036,0.4444757605771925,0.0,0.0,0.0,0.0,0.0,0.0,0.5603448275862069,0.0,1.0,1.0,0.4963451438098201,0.49849849510824745,3.660083817202272e-194,-1.1161250536803933,1.2001047611527441e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8287243532560215,0.9431700065266262,1.2645190562613429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8287243532560215,3
2,1,2021-08-21 16:03:35.178349,0.8,0,83,1161,117,116,0,0,1,0,0,0,0,0.9655172413793104,0.18441658206476258,0.8538491604965261,0.0,0.0,0.0,0.0,0.0,0.0,0.5107630408267154,2.510962099531374e-24,1.0,0.5637559891097648,0.4852742255658998,0.4873795466247395,6.084523265765651e-190,-0.1335902657988329,9.544411295374713e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6553672316384181,0.7458725132345476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6553672316384181,3
3,1,2021-08-21 16:03:35.178349,0.8,0,83,1161,117,116,0,0,0,1,0,0,0,0.9655172413793104,-1.1733982553195055,0.24184983852220243,0.0,0.0,0.0,0.0,0.0,0.0,0.5006894605252941,0.05371458320712463,0.9658435782101833,0.46184811773812307,0.32809204822501814,0.32951544774218905,2.5843253043803743e-285,0.002552028619078607,1.2639082003218505e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.138098576228577,1.5258620689655171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,1.0,3
4,1,2021-08-21 16:03:35.178349,0.8,0,83,1161,117,116,0,0,0,0,1,0,0,0.9655172413793104,0.5044409068971937,0.614434492057244,0.0,0.0,0.0,0.0,0.0,0.0,0.5535178374945985,0.020616136156452025,0.9951875662941567,0.52842195657116,0.3541965456584368,0.3557331973231186,0.0,-0.30860863191544063,2.369130003287978e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9400832589949449,1.0699074185984674,1.4344373865698727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9400832589949449,3
5,1,2021-08-21 16:03:35.178349,0.8,0,83,1161,117,116,0,0,0,0,0,1,0,0.9655172413793104,-0.5972477958866822,0.550929458944043,0.0,0.0,0.0,0.0,0.0,0.0,0.5280017818933589,0.0020669857296590193,0.9979483666232305,0.6328838609408245,0.41083643590511587,0.4126188149285249,6.212933412173134e-229,-0.3558833220468469,1.3621075621583767e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9745762711864407,1.1091638666634436,1.4870689655172413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9745762711864407,3
6,1,2021-08-21 16:03:35.178349,0.8,0,83,1161,117,116,0,0,0,0,0,0,1,0.9655172413793104,0.19187640467146577,0.8480083127652189,0.0,0.0,0.0,0.0,0.0,0.0,0.5577586206896552,0.02,1.0,0.62,0.3415913221836892,0.3430732871557039,2.4098207617287113e-125,-0.8725946235979649,3.134936221727003e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8719892952720785,0.9924097754357126,1.3305353901996368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8719892952720785,3
7,2,2021-08-21 16:03:35.178349,0.8,0,83,1161,233,116,1,0,0,0,0,0,0,0.9827586206896551,0.5329966574018589,0.594550506170922,-1.113176981961116,0.2667944651888164,0.0,0.0,0.0,0.0,0.5092145605808517,0.23150165979282297,0.9032742211841553,0.43318132746345034,0.18338218415095317,0.18417777219946083,4.0737771620783466e-15,1.764992490407203,6.579920750482415e-07,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9299622641509435,1.0096216874239161,1.250202922077922,0.9225816112608567,1.0499888182306474,1.4077322861480313,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.9225816112608567,5
8,2,2021-08-21 16:03:35.178349,0.8,0,83,1161,233,116,0,1,0,0,0,0,0,0.9827586206896551,0.5186086637009388,0.6045322488133138,-1.1813152068679746,0.23869757635213124,0.0,0.0,0.0,0.0,0.4827586206896552,0.0,1.0,0.0,0.4997026464203254,0.5018705639589911,3.7271977560274747e-183,0.3202557923143982,1.5246020244546825e-15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8789433962264152,0.9542326060492555,1.1816152597402596,0.871967654986523,0.9923851466575327,1.3305023701087462,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.871967654986523,5
9,2,2021-08-21 16:03:35.178349,0.8,0,83,1161,233,116,0,0,1,0,0,0,0,0.9827586206896551,-0.09295243885254567,0.9260222618461867,-0.9639052348729732,0.3361057855052526,0.0,0.0,0.0,0.0,0.44906796019996303,2.50425471543616e-28,1.0,0.014656128430275223,0.4854147801031162,0.4875207109458916,2.4586420664295356e-199,0.9641328907366018,5.769421348138107e-15,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7438490566037737,0.8075662515216782,1.0,0.7379454926624739,0.8398547145334573,1.1260030362177402,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7379454926624739,5
