,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 13:11:12.045376,0.8,0,129,4999,500,500,1,0,0,0,0,0,0,0.856,0.9904212070114926,0.322208346538969,0.0,0.0,0.0,0.0,0.0,0.0,0.5022211965240605,0.4100783943258546,0.7074861708903459,0.49647211604917674,0.03982559025056882,0.03986547567894329,9.311864158545769e-68,14.507372876454532,2.6426195138372526e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7799931962503779,0.8877011098683645,1.122226452033935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6687244798755589,4
1,1,2021-08-23 13:11:12.045376,0.8,0,129,4999,500,500,0,1,0,0,0,0,0,0.856,-1.435008217329149,0.15159805499097956,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,1.0,0.0,0.49959983987187184,0.5001001903626928,0.0,0.7403380267071383,3.3956970807966345e-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7459177502267916,0.8489202443431129,1.0731999129867305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.639510013610733,4
2,1,2021-08-23 13:11:12.045376,0.8,0,129,4999,500,500,0,0,1,0,0,0,0,0.856,1.1529299881110529,0.24921518577994362,0.0,0.0,0.0,0.0,0.0,0.0,0.5230381769631451,2.457319350107069e-12,0.9999998446627224,0.6551975895535106,0.44637228427025877,0.4468193272308425,0.0,-1.0742464478950249,1.4943684868953173e-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6950408224977321,0.7910178095156157,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5958908548836607,4
3,1,2021-08-23 13:11:12.045376,0.8,0,129,4999,500,500,0,0,0,1,0,0,0,0.856,1.6488658535872185,0.09948983865070203,0.0,0.0,0.0,0.0,0.0,0.0,0.4999999059079294,0.4999668415223701,0.5000058782220943,0.49999999500016656,1.5825675816590921e-06,1.5841525270554786e-06,1.1899198254037418e-248,-29.393106511332626,1.401298464324817e-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9848049591775021,1.1207949754796525,1.4169023276049595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8443191392831679,4
4,1,2021-08-23 13:11:12.045376,0.8,0,129,4999,500,500,0,0,0,0,1,0,0,0.856,0.13851004276926376,0.8898652754698148,0.0,0.0,0.0,0.0,0.0,0.0,0.4687129614167275,2.364734150251457e-06,0.9999992529535012,0.39222299306775044,0.42386553028841883,0.4242900326785243,0.0,1.0832442440125063,1.4070921827188503e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.1380882732513122,1.438764411572765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8573465551882818,4
5,1,2021-08-23 13:11:12.045376,0.8,0,129,4999,500,500,0,0,0,0,0,1,0,0.856,-1.7778326132957665,0.0757357867706803,0.0,0.0,0.0,0.0,0.0,0.0,0.4649804932254185,6.67596259300705e-07,0.999998867887669,0.3672753270045679,0.42742211852014195,0.42785018284226844,0.0,1.312284632239008,4.648165175750441e-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9873941638947685,1.1237417190054202,1.4206275832064388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8465389850281936,4
6,1,2021-08-23 13:11:12.045376,0.8,0,129,4999,500,500,0,0,0,0,0,0,1,0.856,-0.07085650754323036,0.943526154063778,0.0,0.0,0.0,0.0,0.0,0.0,0.50166,0.09,0.86,0.51,0.1723828425337046,0.17255548438221477,5.882907062581623e-06,-1.7516152217982168,6.240041693672538e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9575143634714243,1.0897358685365226,1.3776375897324342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.820921641065526,4
7,2,2021-08-23 13:11:12.045376,0.8,0,129,4999,1000,500,1,0,0,0,0,0,0,0.874,1.7703595382083372,0.07697250736790236,-4.459402483397421,9.15119852018515e-06,0.0,0.0,0.0,0.0,0.48961812914152997,0.30039414664036423,0.6336898821937692,0.49466196902886805,0.048985482631194836,0.04903454171472838,1.8391328234233424e-30,-9.19730532590029,9.635991745517876e-22,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8592044277686288,1.0142043461892472,1.3835638908633605,0.9732508721257334,1.1076454044979096,1.400278718346661,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.8344132825509885,6
8,2,2021-08-23 13:11:12.045376,0.8,0,129,4999,1000,500,0,1,0,0,0,0,0,0.874,-3.6462114262930867,0.0002798781903280861,-0.9504945826883886,0.34209112497062066,0.0,0.0,0.0,0.0,0.45,0.0,1.0,0.0,0.49749371855331004,0.4979919597583559,0.0,1.8439879666957633,2.6858853965017536e-31,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7773722008115314,0.9176096388577546,1.251790693859697,0.8805566497963381,1.0021511970666748,1.2669135701007135,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.7549422103510247,6
9,2,2021-08-23 13:11:12.045376,0.8,0,129,4999,1000,500,0,0,1,0,0,0,0,0.874,5.500384061255705,4.815139123613627e-08,1.237695843954267,0.21611996316776438,0.0,0.0,0.0,0.0,0.5574050215829496,1.080521880114333e-11,0.9999268948844394,0.7133725673267537,0.43067179271830136,0.4311031115972758,0.0,-2.2997240820304667,1.0026415942383238e-25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6210081322897745,0.7330375943508988,1.0,0.7034376067146514,0.8005740911659132,1.0120809943029594,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.6030898089066957,6
