,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 14:27:55.041850,0.8,0,316,4477,448,448,1,0,0,0,0,0,0,0.7633928571428571,0.8839002483927733,0.37698770030121354,0.0,0.0,0.0,0.0,0.0,0.0,0.47638562631964315,0.18745604271960678,0.6279247904084145,0.49920994362998744,0.07064619958567947,0.07072517803357965,2.9585629897687145e-25,-9.699424209745212,2.131858604818589e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8770109229333108,0.9402985074626867,1.026870502065324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7233187353770474,3
1,1,2021-08-23 14:27:55.041850,0.8,0,316,4477,448,448,0,1,0,0,0,0,0,0.7633928571428571,0.7062865618370514,0.4801939683301045,0.0,0.0,0.0,0.0,0.0,0.0,0.45535714285714285,0.0,1.0,0.0,0.4980030274065836,0.49855976657139117,0.0,1.5623742377540832,8.35495192338472e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9153806054287341,0.9814370545877231,1.0717966188306434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7549643049973004,3
2,1,2021-08-23 14:27:55.041850,0.8,0,316,4477,448,448,0,0,1,0,0,0,0,0.7633928571428571,-1.8751519134200112,0.06109760667143689,0.0,0.0,0.0,0.0,0.0,0.0,0.43194836214894494,4.0021963964708307e-103,1.0,2.8646160597312186e-12,0.492968106165042,0.49351921657321024,0.0,2.3699021151086535,9.805914441565145e-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8540618521706451,0.9156933669547263,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7043913852060713,3
3,1,2021-08-23 14:27:55.041850,0.8,0,316,4477,448,448,0,0,0,1,0,0,0,0.7633928571428571,1.0923882965584668,0.2749567497702971,0.0,0.0,0.0,0.0,0.0,0.0,0.4802998910924861,0.08705954769880009,0.9584973658005538,0.5002015751754322,0.232780384341369,0.23304061962033246,1.2306706656783702e-90,-0.09499514466285967,3.01009980829825e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.072162823602812,1.1708753850303055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.824754534365189,3
4,1,2021-08-23 14:27:55.041850,0.8,0,316,4477,448,448,0,0,0,0,1,0,0,0.7633928571428571,-2.2867608062093043,0.022442786721643668,0.0,0.0,0.0,0.0,0.0,0.0,0.4582265409686898,7.168600352177892e-05,0.9999765574085144,0.3993259188605722,0.3582243335226026,0.3586248080283455,0.0,1.1646400875796257,5.53344487020091e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9306921090596092,0.9978534795542069,1.089724481539837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7675925370448137,3
5,1,2021-08-23 14:27:55.041850,0.8,0,316,4477,448,448,0,0,0,0,0,1,0,0.7633928571428571,1.5907831331901758,0.11201191654546537,0.0,0.0,0.0,0.0,0.0,0.0,0.5176760415615872,0.0005442723156290035,0.9991509426766276,0.6147037080773514,0.41687347341153674,0.41733951433226407,0.0,-1.0249675145768105,1.0234963796541476e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9584419363051145,1.0276058126882381,1.1222160712004428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7904793328933949,3
6,1,2021-08-23 14:27:55.041850,0.8,0,316,4477,448,448,0,0,0,0,0,0,1,0.7633928571428571,0.11375476023047545,0.9094577420454463,0.0,0.0,0.0,0.0,0.0,0.0,0.47814732142857136,0.0,1.0,0.52,0.3197151434312329,0.32007256684461494,0.0,-0.728833649935436,6.016466554017823e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9932716670505655,1.0649489551496065,1.1629973455975244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8192053112564242,3
7,2,2021-08-23 14:27:55.041850,0.8,0,316,4477,896,448,1,0,0,0,0,0,0,0.8013392857142857,-2.0446024709947843,0.04118650538817718,6.134309332351892,1.2831032718575097e-09,0.0,0.0,0.0,0.0,0.49864778271724336,0.3293445798008034,0.5519480191897259,0.5011237497218771,0.02993893003862006,0.02997240006588422,2.3174125129780447e-53,-12.389198036260659,7.91066262438132e-21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9263368455329936,0.9876220436735677,1.052456330435242,0.9686332907803595,1.038532604078754,1.1341488772956254,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7988846987081761,3
8,2,2021-08-23 14:27:55.041850,0.8,0,316,4477,896,448,0,1,0,0,0,0,0,0.8013392857142857,0.8000444855311769,0.4238975569783058,2.7479072696203373,0.00611844825351038,0.0,0.0,0.0,0.0,0.546875,0.0,1.0,1.0,0.4977978850648122,0.49835439489210626,0.0,-1.6399155305692077,8.173454843301375e-30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8801665387388645,0.9383971715625843,1.0,0.9203548525189472,0.9867702573932642,1.0776208423076326,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7590668378400065,3
9,2,2021-08-23 14:27:55.041850,0.8,0,316,4477,896,448,0,0,1,0,0,0,0,0.8013392857142857,0.7702665030576816,0.4413453148858988,2.669922221455774,0.007724551303457321,0.0,0.0,0.0,0.0,0.5202778641009564,2.776131566050552e-96,1.0,0.9958403457710576,0.49620796433095354,0.49676269671696155,0.0,-0.7442185109892114,1.88562805474161e-29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.923941106691787,0.9850678059771288,1.0497344150524561,0.9661281627496667,1.0358466989358799,1.1312156845481378,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7968185830056969,3
