,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 14:57:59.137810,0.8,0,316,4477,448,448,1,0,0,0,0,0,0,0.6183035714285714,-0.3076869942989079,0.7583921828664935,0.0,0.0,0.0,0.0,0.0,0.0,0.49717179008807183,0.33178013726106675,0.5775193026255352,0.4988310230982319,0.033421150283928495,0.033458513236103465,1.71982697174463e-59,-13.336515689809692,2.045875850595638e-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8632789712633476,0.9820797764248588,1.142241090006041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6806347111404404,3
1,1,2021-08-23 14:57:59.137810,0.8,0,316,4477,448,448,0,1,0,0,0,0,0,0.6183035714285714,2.5598692722673917,0.01063456521232542,0.0,0.0,0.0,0.0,0.0,0.0,0.5044642857142857,0.0,1.0,1.0,0.49998006975584663,0.5005390191419696,0.0,-0.15678294642534402,1.0354143189613508e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8589164785553048,0.9771169358993912,1.136468890529566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6771951926730257,3
2,1,2021-08-23 14:57:59.137810,0.8,0,316,4477,448,448,0,0,1,0,0,0,0,0.6183035714285714,-1.8865147252354821,0.059549492981483584,0.0,0.0,0.0,0.0,0.0,0.0,0.4206082390015589,7.936469106293384e-32,1.0,0.004888309580429535,0.47925765254455777,0.47979343544249475,0.0,2.74147175479704,7.714618133621745e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7787937200395669,0.8859680218299033,1.0304550640982617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6140240366348712,3
3,1,2021-08-23 14:57:59.137810,0.8,0,316,4477,448,448,0,0,0,1,0,0,0,0.6183035714285714,1.7550319580491178,0.07959635118518396,0.0,0.0,0.0,0.0,0.0,0.0,0.4675145102817887,0.05585664022680703,0.9717693258867257,0.46648839619071936,0.21599862664759306,0.21624010087240975,3.8949494256940074e-11,1.024925369754818,5.279250217427034e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.137615775567491,1.3231424927847506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7884296198532205,3
4,1,2021-08-23 14:57:59.137810,0.8,0,316,4477,448,448,0,0,0,0,1,0,0,0.6183035714285714,0.27800032281839343,0.7810763903149077,0.0,0.0,0.0,0.0,0.0,0.0,0.43913081336769605,2.871898516772476e-05,0.9997601123117801,0.40700617830388075,0.26506787873513077,0.2653642096032237,4.1464748982297525e-08,3.033330639306229,6.9532251067983e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755776498338702,0.8597832673132648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5958765772791809,3
5,1,2021-08-23 14:57:59.137810,0.8,0,316,4477,448,448,0,0,0,0,0,1,0,0.6183035714285714,-1.4006195647888302,0.1616748489610086,0.0,0.0,0.0,0.0,0.0,0.0,0.43312241602700696,0.0003445896866298097,0.9998322059320315,0.30705436382902235,0.3722107032251442,0.37262681369966316,0.0,2.853510367106968,2.568856890545164e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9285261369112537,1.0563059813769822,1.228572387408551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7320775091487192,3
6,1,2021-08-23 14:57:59.137810,0.8,0,316,4477,448,448,0,0,0,0,0,0,1,0.6183035714285714,-2.510134763374567,0.012244148988005998,0.0,0.0,0.0,0.0,0.0,0.0,0.46390624999999996,0.0,0.99,0.45,0.2781887529760434,0.27849975223803036,3.0609526286449005e-48,0.8014722395282613,2.92710411464725e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9679280695969769,1.101130241588109,1.2807067588428755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.763143159957606,3
7,2,2021-08-23 14:57:59.137810,0.8,0,316,4477,896,448,1,0,0,0,0,0,0,0.6160714285714286,-0.7743669081368904,0.43891858674599793,-0.8997329075941707,0.36850468900724265,0.0,0.0,0.0,0.0,0.49503489238178455,0.3076104204576545,0.6022385680417792,0.4995148269594532,0.03747614874525239,0.03751804495592663,1.7508289720637757e-69,-14.629119665254922,1.0458542284757495e-28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8871953618930194,0.9779082208021284,1.142379408188083,0.8604294048349485,0.9788380647023844,1.1384707075786131,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.6783880285645512,3
8,2,2021-08-23 14:57:59.137810,0.8,0,316,4477,896,448,0,1,0,0,0,0,0,0.6160714285714286,0.48870537334993064,0.6251701567897775,0.26701601382480067,0.7895184119247299,0.0,0.0,0.0,0.0,0.5133928571428571,0.0,1.0,1.0,0.49982059919290145,0.5003793702999716,0.0,-0.47021362719560694,1.0173973947948852e-29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8992890684435584,0.9912384697683834,1.157951628158357,0.8721582541690184,0.9921809887340766,1.1539896465239912,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.6876354007863276,3
9,2,2021-08-23 14:57:59.137810,0.8,0,316,4477,896,448,0,0,1,0,0,0,0,0.6160714285714286,-0.08331458321996724,0.9336200557576269,2.385350858576643,0.017270262134213614,0.0,0.0,0.0,0.0,0.49733478586346996,1.7935484080676748e-32,1.0,0.45795771341579655,0.4824868141440654,0.483026207061687,0.0,0.09683633262616421,2.9888872733634947e-28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8654476770114641,0.9539369054159558,1.1143764356168084,0.8393378297851782,0.9548439561942001,1.1105635483905034,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.6617588060659552,3
