,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-23 15:19:06.913180,0.8,0,316,4477,448,448,1,0,0,0,0,0,0,0.6629464285714286,0.37834722727475584,0.7052624879952782,0.0,0.0,0.0,0.0,0.0,0.0,0.49334045082911376,0.3108873597566725,0.571372380495232,0.4964058127930564,0.0352474347358138,0.03528683937051777,2.7524988132536103e-40,-10.543569805225975,7.421520704107418e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8537329457668841,0.9318727043686159,1.0274175503836884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6519387285779992,3
1,1,2021-08-23 15:19:06.913180,0.8,0,316,4477,448,448,0,1,0,0,0,0,0,0.6629464285714286,-2.949330780240654,0.0032676167618509756,0.0,0.0,0.0,0.0,0.0,0.0,0.484375,0.0,1.0,0.0,0.49975579974123363,0.5003144984061888,0.0,0.5485186570242846,1.0102321078537417e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8588786759892111,0.9374894087045648,1.0336101350393145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6558681784550164,3
2,1,2021-08-23 15:19:06.913180,0.8,0,316,4477,448,448,0,0,1,0,0,0,0,0.6629464285714286,3.692654929828737,0.00023538131817792013,0.0,0.0,0.0,0.0,0.0,0.0,0.5818608038034584,6.853208214385416e-108,1.0,0.9999999925971395,0.48847494053792406,0.48902102784153084,0.0,-2.857940778803437,1.2212275886060006e-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9188205410218137,1.0029175828775247,1.1057466555315698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7016417701521788,3
3,1,2021-08-23 15:19:06.913180,0.8,0,316,4477,448,448,0,0,0,1,0,0,0,0.6629464285714286,1.6913233068234383,0.09112359455564588,0.0,0.0,0.0,0.0,0.0,0.0,0.4879762633547596,0.03805579902734735,0.9406580991008013,0.4944527146425952,0.2243641387682905,0.22461496516161814,1.8991320231555475e-07,-0.8697446929761156,6.608361672988394e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0915271678212455,1.203441375289539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7636330913672087,3
4,1,2021-08-23 15:19:06.913180,0.8,0,316,4477,448,448,0,0,0,0,1,0,0,0.6629464285714286,0.8562008508093578,0.39211611798987167,0.0,0.0,0.0,0.0,0.0,0.0,0.4559162941362718,0.002101622430689954,0.9998457921649019,0.43764112165393226,0.33207475954714816,0.33244600031097793,0.0,1.0225624416886603,1.569141452041037e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8309503234084896,0.9070048531102167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6345411642370068,3
5,1,2021-08-23 15:19:06.913180,0.8,0,316,4477,448,448,0,0,0,0,0,1,0,0.6629464285714286,-2.0556269488646017,0.040108451640457975,0.0,0.0,0.0,0.0,0.0,0.0,0.4359301788715908,0.00026585516662764805,0.9983579884192311,0.3892423631454543,0.3650894312539802,0.3654975805499692,0.0,1.542387256292889,4.15252318922286e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9796789483332022,1.0693461878482367,1.178986180924318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7481152638630592,3
6,1,2021-08-23 15:19:06.913180,0.8,0,316,4477,448,448,0,0,0,0,0,0,1,0.6629464285714286,-0.8838236880540438,0.3770290115992474,0.0,0.0,0.0,0.0,0.0,0.0,0.4811830357142857,0.0,1.0,0.525,0.28867954068865537,0.2890022680568342,9.071705173810903e-27,-0.7574613985965654,1.0498579089412985e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9709717966847354,1.0598420952695955,1.1685076343696326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7414661947327373,3
7,2,2021-08-23 15:19:06.913180,0.8,0,316,4477,896,448,1,0,0,0,0,0,0,0.6674107142857143,-1.2111750556083476,0.22614838344745788,-3.002280764241444,0.002754203122945095,0.0,0.0,0.0,0.0,0.48224739619130713,0.1716172053778114,0.610213549225357,0.5001670630282959,0.06971449174886636,0.06979242860020111,7.489174548066908e-61,-14.038087358331126,7.323176050961764e-31,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8444695143838777,0.9303279019280277,1.0010029480594473,0.865174135647345,0.9443610739553406,1.041186351668379,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.6606755997753349,3
8,2,2021-08-23 15:19:06.913180,0.8,0,316,4477,896,448,0,1,0,0,0,0,0,0.6674107142857143,-2.8084762009206,0.005086121952277257,0.8011838306065706,0.42323810917216265,0.0,0.0,0.0,0.0,0.5111607142857143,0.0,1.0,1.0,0.4998754229371881,0.5004342553340977,0.0,-0.39188337201198914,1.0237928363797429e-29,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8820316906825293,0.971709076822507,1.0455277634258275,0.9036572577242022,0.9863664472048118,1.0874985330259874,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.690062585252347,3
9,2,2021-08-23 15:19:06.913180,0.8,0,316,4477,896,448,0,0,1,0,0,0,0,0.6674107142857143,4.185870848585871,3.121543539799781e-05,0.6731128973113883,0.5010494277748442,0.0,0.0,0.0,0.0,0.6038067841811279,1.7636354674748867e-90,1.0,0.9999999999993179,0.4863683791549518,0.48691211144230284,0.0,-3.60854322309447,5.324003874761233e-30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8436234039280037,0.929395766247811,1.0,0.864307280337764,0.943414877834363,1.0401431421224399,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.6600136403755115,3
