,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-20 15:22:42.468048,0.8,1,10,1000,101,100,1,0,0,0,0,0,0,0.81,0.13992714964752126,0.888859785050191,0.0,0.0,0.0,0.0,0.0,0.0,0.49734764999381037,0.23029068540176512,0.942161536605043,0.45324762868089014,0.15191546932629707,0.15268079139577945,0.024362641975774712,2.4416444060085833,0.0002537233231123537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8681102362204725,0.9831210191082803,1.2405063291139242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7067307692307693,4
1,1,2021-08-20 15:22:42.468048,0.8,1,10,1000,101,100,0,1,0,0,0,0,0,0.81,-1.0838141515677882,0.2797651984334948,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,1.0,0.0,0.4998999899979995,0.5024183937956914,4.424500423058013e-175,0.17379320984045238,2.2184848291642405e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6998031496062992,0.7925159235668789,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5697115384615384,4
2,1,2021-08-20 15:22:42.468048,0.8,1,10,1000,101,100,0,0,1,0,0,0,0,0.81,0.711647172718316,0.477520889324466,0.0,0.0,0.0,0.0,0.0,0.0,0.5547378834494119,0.015441011795502781,0.99964384802665,0.6004654769677481,0.3214308273383172,0.3230501364650633,1.6495169327979094e-23,-0.8658015511285426,3.343879598105559e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8759842519685038,0.9920382165605094,1.2517580872011251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7131410256410255,4
3,1,2021-08-20 15:22:42.468048,0.8,1,10,1000,101,100,0,0,0,1,0,0,0,0.81,-0.9261461187455764,0.3554975164532429,0.0,0.0,0.0,0.0,0.0,0.0,0.5291554948980307,0.23331146002522019,0.8536340186859661,0.5330809012612754,0.15689740267335736,0.1576878228026759,0.03037585502838316,-0.2887232592062442,0.05671516805887222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9143700787401574,1.0355095541401274,1.3066104078762306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7443910256410255,4
4,1,2021-08-20 15:22:42.468048,0.8,1,10,1000,101,100,0,0,0,0,1,0,0,0.81,-0.24653391228421634,0.805524361451754,0.0,0.0,0.0,0.0,0.0,0.0,0.5619452336321342,0.02053778589319991,0.9928861540057289,0.6430327408405168,0.3154006608758264,0.3169895911379522,9.526002526378067e-19,-1.449729891448635,1.0470481583979563e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.0,1.132484076433121,1.428973277074543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8141025641025641,4
5,1,2021-08-20 15:22:42.468048,0.8,1,10,1000,101,100,0,0,0,0,0,1,0,0.81,1.6856066785607082,0.09344683308712858,0.0,0.0,0.0,0.0,0.0,0.0,0.5735866623337269,0.005842515094192367,0.9999751665331901,0.6341401106374522,0.34823731441682704,0.34999166967322315,1.0461108482999431e-30,-1.2658326476439732,1.6931288371324626e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9143700787401574,1.0355095541401274,1.3066104078762306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7443910256410255,4
6,1,2021-08-20 15:22:42.468048,0.8,1,10,1000,101,100,0,0,0,0,0,0,1,0.81,0.30701024118803477,0.7591582202799397,0.0,0.0,0.0,0.0,0.0,0.0,0.5052,0.15,0.95,0.5,0.20416894964709986,0.20519751509708933,0.0006353661193717878,0.39803614472413584,0.016399210318922997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9084645669291339,1.0288216560509555,1.2981715893108299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7395833333333334,4
7,2,2021-08-20 15:22:42.468048,0.8,1,10,1000,201,100,1,0,0,0,0,0,0,0.82,0.5136742668449955,0.6080524897886443,-0.08425356769461746,0.9329399535557235,0.0,0.0,0.0,0.0,0.495960391668876,0.28770307987303817,0.6519576769850239,0.49810065069732967,0.061327965012480966,0.06163692397043727,0.04235421250067694,-1.8709647858408798,0.24463823437690735,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.090288866308608,1.2476744186046513,1.0561023622047245,1.196019108280255,1.509142053445851,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.8597756410256411,0
8,2,2021-08-20 15:22:42.468048,0.8,1,10,1000,201,100,0,1,0,0,0,0,0,0.82,-0.5329263160895091,0.5946822103266447,-0.28170679337720966,0.7784625517006782,0.0,0.0,0.0,0.0,0.47,0.0,1.0,0.0,0.49909918853871116,0.5016135580465919,1.3819317393097239e-177,0.5208672472790786,2.1009261428543528e-14,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8014911463187324,0.8738568732762375,1.0,0.8464566929133859,0.9585987261146497,1.209563994374121,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.6891025641025641,0
9,2,2021-08-20 15:22:42.468048,0.8,1,10,1000,201,100,0,0,1,0,0,0,0,0.82,-0.15107148393964598,0.8800731286311395,-1.2034159450391058,0.2302522578122819,0.0,0.0,0.0,0.0,0.5012825972031361,0.009555417321240503,0.9904096709629798,0.49719907765856003,0.3033470583192952,0.30487526475853327,5.4683302312126496e-12,0.17688777022534846,0.00020467703870963305,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.977632805219012,1.0659021628683407,1.219767441860465,1.0324803149606299,1.1692675159235668,1.4753867791842474,0.0,0.0,0.0,0.0,0.0,0.0,logistic_regression,0.8405448717948717,0
