,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-20 15:23:31.543259,0.8,0,6,5404,541,540,1,0,0,0,0,0,0,0.7129629629629629,7.504079272171177,1.29139382774455e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.447938697020731,0.29577828759156527,0.5575002660154864,0.48148197970604234,0.07422130772797438,0.07429012675780569,3.1288654700323682e-19,-8.975491668022041,2.6848785094182404e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.832347183423883,0.929007572011265,1.1173413647503467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.629309341271557,3
1,1,2021-08-20 15:23:31.543259,0.8,0,6,5404,541,540,0,1,0,0,0,0,0,0.7129629629629629,-1.050758621754481,0.29360495562183836,0.0,0.0,0.0,0.0,0.0,0.0,0.29814814814814816,0.0,1.0,0.0,0.45744489275100453,0.4578690420240919,2.5598694959611597e-101,7.391255892797186,3.1817342070109463e-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9534566570617864,1.06418147575308,1.2799185047391264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7208760872095923,3
2,1,2021-08-20 15:23:31.543259,0.8,0,6,5404,541,540,0,0,1,0,0,0,0,0.7129629629629629,-3.4787904817936988,0.0005237968880609713,0.0,0.0,0.0,0.0,0.0,0.0,0.32351573172615156,4.227220453924049e-19,0.9991770277677284,0.252511321841455,0.3238781353931354,0.3241784397092898,5.338865925158324e-62,4.695176060241074,9.133490630553458e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9398521874931263,1.0489971206015523,1.2616558892136887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7105902113718381,3
3,1,2021-08-20 15:23:31.543259,0.8,0,6,5404,541,540,0,0,0,1,0,0,0,0.7129629629629629,12.031164795439325,2.252468444811113e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.38474360711469935,0.032500657969876556,0.9708962153994207,0.29143002822115704,0.249138386855859,0.24936939143664597,1.695651557890671e-14,6.409339377729041,4.760048885244575e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.116129892083934,1.342398204742079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7560659227353611,3
4,1,2021-08-20 15:23:31.543259,0.8,0,6,5404,541,540,0,0,0,0,1,0,0,0.7129629629629629,0.027757276319780443,0.9778608789149593,0.0,0.0,0.0,0.0,0.0,0.0,0.2316731886255257,0.032630341485790845,0.7187013380417497,0.20956214544796137,0.15867627167841966,0.15882339852660432,2.505504491920828e-09,5.860720517867102,2.5885427453253905e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7449354420077866,0.8314447144976486,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.5632203023398913,3
5,1,2021-08-20 15:23:31.543259,0.8,0,6,5404,541,540,0,0,0,0,0,1,0,0.7129629629629629,-2.572064644590341,0.0102424031214265,0.0,0.0,0.0,0.0,0.0,0.0,0.2313303343868945,1.3874644655970522e-05,0.9311244956366418,0.15836317540814943,0.23886471413543806,0.239086192823849,1.9975753660009666e-12,7.330463202866252,6.049524825389047e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8396718210412863,0.9371828190047312,1.1271739451383351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.6348472501704612,3
6,1,2021-08-20 15:23:31.543259,0.8,0,6,5404,541,540,0,0,0,0,0,0,1,0.7129629629629629,-14.731420783662546,6.86889390179643e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.2711481481481482,0.0,0.98,0.19,0.2685499062114904,0.2687989094232702,8.725123667787652e-15,6.20596631984854,2.4488392844535418e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9614081780788772,1.073056406047789,1.290592612277438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7268879612845287,3
7,2,2021-08-20 15:23:31.543259,0.8,0,6,5404,1081,541,1,0,0,0,0,0,0,0.7430683918669131,7.681678750154602,3.5091870982297175e-14,3.427242664203243,0.0006327368556023103,0.0,0.0,0.0,0.0,0.4632775307524226,0.2928739354692482,0.6820100600733092,0.49008145087092525,0.07278679243326709,0.07285415643883152,5.609164902170846e-20,-8.606747176275363,4.093688981314901e-30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9320633440123282,0.9949060045760929,1.1385139318885449,1.0122922054080359,1.1298495899794785,1.3588992392141475,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7653596403596403,3
8,2,2021-08-20 15:23:31.543259,0.8,0,6,5404,1081,541,0,1,0,0,0,0,0,0.7430683918669131,-2.1341969148130393,0.03305138202974872,0.3765468522771728,0.7065844226058259,0.0,0.0,0.0,0.0,0.30868761552680224,0.0,1.0,0.0,0.4619519147564813,0.4623794501693748,2.2484181185220543e-237,7.033602168435347,4.745090495315481e-34,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9426274382578368,1.0061823634901983,1.1514179566563465,1.0237656211695538,1.1426554122752157,1.3743011319346685,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7740342990342989,3
9,2,2021-08-20 15:23:31.543259,0.8,0,6,5404,1081,541,0,0,1,0,0,0,0,0.7430683918669131,1.092336573389458,0.2749287948821101,1.865895692592714,0.062327131040173754,0.0,0.0,0.0,0.0,0.363526395555675,2.5136698622764554e-16,0.9995316770154061,0.20268831163934986,0.37833046084151495,0.378680604795072,0.0,4.274991727208544,1.5195794090683879e-24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9146964597104508,0.976368189969699,1.1173003095975234,0.9934304384219702,1.1087974080288088,1.3335792370737893,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_process,0.7510989010989012,3
