,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-11-06 14:27:13.430867,0.8,0,129,930,94,93,1,0,0,0,0,0,0,0.956989247311828,-0.6005063545513813,0.5489077573475062,0.0,0.0,0.0,0.0,0.0,0.0,0.35511131593223627,2.3031988598964604e-11,0.9967271397390328,0.001649856427883533,0.4758494005835677,0.47842854901687265,0.0,2.3940555523506024,2.222133508287833e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8793583312277986,0.9251703153117582,1.037611267749661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8743586546426303,6
1,1,2021-11-06 14:27:13.430867,0.8,0,129,930,94,93,0,1,0,0,0,0,0,0.956989247311828,-0.2699145741626614,0.7875284537721076,0.0,0.0,0.0,0.0,0.0,0.0,0.3978494623655914,0.0,1.0,0.0,0.4894540506125179,0.492106937526453,2.1204351078232168e-227,1.7000339874231178,3.8768735265279006e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8474834059338268,0.891634800109909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8426649573099877,6
2,1,2021-11-06 14:27:13.430867,0.8,0,129,930,94,93,0,0,1,0,0,0,0,0.956989247311828,1.6402628510614479,0.1026589399811788,0.0,0.0,0.0,0.0,0.0,0.0,0.41736684756411246,8.223430823240304e-228,1.0,1.4278074859072526e-15,0.49139766773669524,0.4940610892379486,3.4983483338973846e-201,1.360236863385407,5.974589583918749e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9681229601356933,1.0185593204521146,1.1423503438028217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9626186036936545,6
3,1,2021-11-06 14:27:13.430867,0.8,0,129,930,94,93,0,0,0,1,0,0,0,0.956989247311828,-0.5524126022250622,0.581336106788354,0.0,0.0,0.0,0.0,0.0,0.0,0.33333331390382154,0.3333321624840226,0.33333333386772185,0.33333333333331644,1.331844795752524e-07,1.339063519605402e-07,4.020704752799145e-39,-10.848929081513393,8.494402730579962e-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9754653321762105,1.026284208492212,1.1510140792684462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.96991922996994,6
4,1,2021-11-06 14:27:13.430867,0.8,0,129,930,94,93,0,0,0,0,1,0,0,0.956989247311828,-0.2285009085308065,0.8195106006264093,0.0,0.0,0.0,0.0,0.0,0.0,0.3566554698454565,2.0391167821913164e-05,0.9988420735694589,0.10927957434582049,0.404947787961335,0.40714264299658337,1.9096148472418637e-30,2.2614967223609375,4.741228937232833e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9898845480412302,1.0414546231168875,1.16802823643549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9842564639927723,6
5,1,2021-11-06 14:27:13.430867,0.8,0,129,930,94,93,0,0,0,0,0,1,0,0.956989247311828,0.46930102832479187,0.6394101002990462,0.0,0.0,0.0,0.0,0.0,0.0,0.37045597101579775,6.362233850459039e-05,0.9997551824932862,0.1256569520684131,0.41424826526641495,0.41649352976196935,3.5472562936970193e-69,1.9946478793915445,4.1521078242290343e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9930639590851148,1.0447996721299213,1.1717798273476228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9874177981885892,6
6,1,2021-11-06 14:27:13.430867,0.8,0,129,930,94,93,0,0,0,0,0,0,1,0.956989247311828,-0.165694411522801,0.8685793590959995,0.0,0.0,0.0,0.0,0.0,0.0,0.34537634408602147,0.0,0.89,0.21,0.30189209472881623,0.30352837822984,6.491446261606274e-27,1.665116935968811,6.27148892817786e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0520970603871973,1.179964106669579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9943144035740384,6
7,2,2021-11-06 14:27:13.430867,0.8,0,129,930,187,93,1,0,0,0,0,0,0,0.956989247311828,1.813271363505161,0.07141949168137877,-0.27941718831499074,0.7802385124458726,0.0,0.0,0.0,0.0,0.3397182231389475,1.28369845463906e-12,0.5002971124242875,0.5002971124242875,0.22973656465184936,0.2309817584044694,1.7618469230608962e-20,-2.906303637678916,2.0836483647962596e-14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8639560709609025,0.9043938139545586,1.0,0.8660038814565723,0.9111201379643625,1.021853496355292,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8610801328832939,6
8,2,2021-11-06 14:27:13.430867,0.8,0,129,930,187,93,0,1,0,0,0,0,0,0.956989247311828,-1.3556771595995263,0.17686350621005445,-2.212993086984644,0.028127898346604084,0.0,0.0,0.0,0.0,0.24731182795698925,0.0,1.0,0.0,0.43144951930621245,0.4337880162138561,7.092397422342236e-05,4.102844178422629,1.1722611999897192e-15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8659656277964862,0.906497428746999,1.002325994229485,0.8680182014875519,0.9132393981476353,1.0242303216911937,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8630830003035047,6
9,2,2021-11-06 14:27:13.430867,0.8,0,129,930,187,93,0,0,1,0,0,0,0,0.956989247311828,0.08490441564813468,0.9324296911448261,-1.1265823251643698,0.2613862376563856,0.0,0.0,0.0,0.0,0.337494371984706,1.0388551336526536e-206,1.0,7.069191894313837e-45,0.47007366058326716,0.4726215039634298,1.23170335234892e-44,2.68260811684641,1.823438488147023e-14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9809681538040218,1.0268826851347281,1.1354375375972263,0.9832933147106907,1.0345200059055009,1.1602508176867692,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9777027057548997,6
