,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-21 01:16:52.278179,0.8,0,153,7163,717,716,1,0,0,0,0,0,0,0.9427374301675978,11.786835585210966,1.1385432287011382e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.22940708637029913,0.05458475043178792,0.8488883077367627,0.17809334869627433,0.17057043383007556,0.17068967217657074,2.0394642585995723e-40,12.333249136968156,3.247758835722372e-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.943826132678994,1.035943345345366,1.1857152686988235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8960998439937597,5
1,1,2021-08-21 01:16:52.278179,0.8,0,153,7163,717,716,0,1,0,0,0,0,0,0.9427374301675978,-12.308094600753547,3.661294437469859e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.08519553072625698,0.0,1.0,0.0,0.2791724418178277,0.2793675990886508,3.9707781391127855e-96,18.197064661909796,2.802596928649634e-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8922092717553237,0.9792886907113436,1.1208697447189155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8470930837233489,5
2,1,2021-08-21 01:16:52.278179,0.8,0,153,7163,717,716,0,0,1,0,0,0,0,0.9427374301675978,7.324039457804576,4.003226130685277e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.3371638361714216,4.28563249376749e-31,1.0,1.814443979520566e-16,0.4708652520812612,0.47119441343015095,0.0,6.902361035149977,1.4677156394826047e-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.797585662956796,0.8754298395380234,1.0019954586114361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7572542901716068,5
3,1,2021-08-21 01:16:52.278179,0.8,0,153,7163,717,716,0,0,0,1,0,0,0,0.9427374301675978,7.823796311597143,9.894137056390912e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.19546419153629696,0.056534785340659255,0.9043209207666223,0.10821210119496527,0.21429065870739974,0.21444045995513,3.825080448561608e-74,16.18300639325421,2.0297914754428264e-38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9859565331697484,1.0821856631981779,1.2386430881442234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9360998439937597,5
4,1,2021-08-21 01:16:52.278179,0.8,0,153,7163,717,716,0,0,0,0,1,0,0,0.9427374301675978,-0.02516889677811967,0.9799237574901637,0.0,0.0,0.0,0.0,0.0,0.0,0.10245711152994569,4.269091945512287e-07,0.9998820090214953,0.009421860182298906,0.23478023649831797,0.2349443611157045,8.897103337756886e-94,17.82605776969666,2.703665257068302e-41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7959972833231093,0.8736864344187676,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7557462298491939,5
5,1,2021-08-21 01:16:52.278179,0.8,0,153,7163,717,716,0,0,0,0,0,1,0,0.9427374301675978,0.456709571180175,0.6479491725605372,0.0,0.0,0.0,0.0,0.0,0.0,0.10280963039444896,3.4049509124524857e-06,0.9997239222423028,0.00015279146679856204,0.2917893235411317,0.29199330072335933,1.4258129765060366e-82,17.064303331442417,5.605193857299268e-44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0975997691491153,1.2562856946260237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9494331773270931,5
6,1,2021-08-21 01:16:52.278179,0.8,0,153,7163,717,716,0,0,0,0,0,0,1,0.9427374301675978,-11.913186382342099,2.884631996993459e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.09629888268156425,0.0,1.0,0.0,0.24528825830755957,0.24545972862441656,3.484068562617157e-89,17.516960519735317,2.5293437281062948e-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.9619774778722285,1.0558662576392062,1.2085185440033028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.9133333333333333,5
7,2,2021-08-21 01:16:52.278179,0.8,0,153,7163,1433,716,1,0,0,0,0,0,0,0.9427374301675978,22.235535715712594,2.5671113263601107e-94,15.8630732386351,2.52148319346885e-52,0.0,0.0,0.0,0.0,0.34664000948772794,0.22551439847950405,0.6083553676160193,0.3652921612918126,0.09978268517695975,0.0998524388975911,2.9317616995805873e-15,6.05020155958864,4.369272178787123e-24,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9391387910126757,1.045210153731984,1.3468302926893294,0.9811208801649367,1.0768780515764114,1.2325681264501032,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.93150871459695,3
8,2,2021-08-21 01:16:52.278179,0.8,0,153,7163,1433,716,0,1,0,0,0,0,0,0.9427374301675978,-11.4793020495357,3.062287791452528e-29,0.464476412813899,0.6423771606954167,0.0,0.0,0.0,0.0,0.09217877094972067,0.0,1.0,0.0,0.2892781449330723,0.2894803666599243,2.263930874721269e-90,17.734862356219956,4.203895392974451e-45,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9114538049695695,1.014398277154103,1.3071269195432471,0.952198299036457,1.0451326332065956,1.1962331015267336,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.904048656499637,3
9,2,2021-08-21 01:16:52.278179,0.8,0,153,7163,1433,716,0,0,1,0,0,0,0,0.9427374301675978,7.312098843820646,4.3616278375448946e-13,-0.38257255014523056,0.7020935795863499,0.0,0.0,0.0,0.0,0.3276844842588168,8.276252360971588e-29,1.0,4.7623270821073644e-14,0.46610814827465097,0.4664339841398723,0.0,7.26830883294256,1.3016228714147442e-37,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6972955658262024,0.7760518599896687,1.0,0.7284665970839207,0.799564768792153,0.9151621649294289,0.0,0.0,0.0,0.0,0.0,0.0,mlp,0.6916303558460422,3
