,iteration,exp_id,label_rate,num_categorical_cols,num_numeric_cols,num_instances,num_labeled_instances,num_unlabeled_instances,ada_boost,desicition_tree,gaussian_nb,gaussian_process,logistic_regression,mlp,random_forest,initial_auc,cur_next_clfs_ttest_stat,cur_next_clfs_ttest_pval,clf_backwards_1_steps_ttest_stat,clf_backwards_1_steps_ttest_pval,clf_backwards_2_steps_ttest_stat,clf_backwards_2_steps_ttest_pval,clf_backwards_3_steps_ttest_stat,clf_backwards_3_steps_ttest_pval,confidence_clf_avg,confidence_clf_min,confidence_clf_max,confidence_clf_median,confidence_clf_std,confidence_clf_stdev,confidence_clf_norm_dist_pval,confidence_clf_skew,confidence_clf_shapiro_pval,1_iters_back_1_place_ada_boost,1_iters_back_1_place_desicition_tree,1_iters_back_1_place_gaussian_nb,1_iters_back_1_place_gaussian_process,1_iters_back_1_place_logistic_regression,1_iters_back_1_place_mlp,1_iters_back_1_place_random_forest,1_iters_back_2_place_ada_boost,1_iters_back_2_place_desicition_tree,1_iters_back_2_place_gaussian_nb,1_iters_back_2_place_gaussian_process,1_iters_back_2_place_logistic_regression,1_iters_back_2_place_mlp,1_iters_back_2_place_random_forest,1_iters_back_3_place_ada_boost,1_iters_back_3_place_desicition_tree,1_iters_back_3_place_gaussian_nb,1_iters_back_3_place_gaussian_process,1_iters_back_3_place_logistic_regression,1_iters_back_3_place_mlp,1_iters_back_3_place_random_forest,2_iters_back_1_place_ada_boost,2_iters_back_1_place_desicition_tree,2_iters_back_1_place_gaussian_nb,2_iters_back_1_place_gaussian_process,2_iters_back_1_place_logistic_regression,2_iters_back_1_place_mlp,2_iters_back_1_place_random_forest,2_iters_back_2_place_ada_boost,2_iters_back_2_place_desicition_tree,2_iters_back_2_place_gaussian_nb,2_iters_back_2_place_gaussian_process,2_iters_back_2_place_logistic_regression,2_iters_back_2_place_mlp,2_iters_back_2_place_random_forest,2_iters_back_3_place_ada_boost,2_iters_back_3_place_desicition_tree,2_iters_back_3_place_gaussian_nb,2_iters_back_3_place_gaussian_process,2_iters_back_3_place_logistic_regression,2_iters_back_3_place_mlp,2_iters_back_3_place_random_forest,3_iters_back_1_place_ada_boost,3_iters_back_1_place_desicition_tree,3_iters_back_1_place_gaussian_nb,3_iters_back_1_place_gaussian_process,3_iters_back_1_place_logistic_regression,3_iters_back_1_place_mlp,3_iters_back_1_place_random_forest,3_iters_back_2_place_ada_boost,3_iters_back_2_place_desicition_tree,3_iters_back_2_place_gaussian_nb,3_iters_back_2_place_gaussian_process,3_iters_back_2_place_logistic_regression,3_iters_back_2_place_mlp,3_iters_back_2_place_random_forest,3_iters_back_3_place_ada_boost,3_iters_back_3_place_desicition_tree,3_iters_back_3_place_gaussian_nb,3_iters_back_3_place_gaussian_process,3_iters_back_3_place_logistic_regression,3_iters_back_3_place_mlp,3_iters_back_3_place_random_forest,rank,AUC_gap_from_top,AUC_gap_from_avg,AUC_gap_from_min,AUC_gap_from_top_1_steps_back,AUC_gap_from_avg_1_steps_back,AUC_gap_from_min_1_steps_back,AUC_gap_from_top_2_steps_back,AUC_gap_from_avg_2_steps_back,AUC_gap_from_min_2_steps_back,AUC_gap_from_top_3_steps_back,AUC_gap_from_avg_3_steps_back,AUC_gap_from_min_3_steps_back,chosen_classifier,evaluation,best_classifier
0,1,2021-08-20 15:45:54.612189,0.8,1,14,6574,658,657,1,0,0,0,0,0,0,0.8097412480974124,3.1057868454077813,0.0019384059240965216,0.0,0.0,0.0,0.0,0.0,0.0,0.44711830398552727,0.1601328453137835,0.7517064852487726,0.49085211763169795,0.15786263735774703,0.1579829136703252,1.2734324938777214e-07,-2.26282360092771,7.513122271551234e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.978667178887201,1.0004683777045411,1.0419672293696238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7956765351707428,2
1,1,2021-08-20 15:45:54.612189,0.8,1,14,6574,658,657,0,1,0,0,0,0,0,0.8097412480974124,-2.131252665354856,0.03325377408559101,0.0,0.0,0.0,0.0,0.0,0.0,0.3850837138508371,0.0,1.0,0.0,0.48661509139943837,0.4869858458085754,0.0,4.760869510807644,1.0058772745171768e-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9392494805036062,0.9601725942089476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7636291360642085,2
2,1,2021-08-20 15:45:54.612189,0.8,1,14,6574,658,657,0,0,1,0,0,0,0,0.8097412480974124,0.2331214970155382,0.8157034261705999,0.0,0.0,0.0,0.0,0.0,0.0,0.44189257520817643,1.9229722377238057e-16,1.0,0.04660767664895108,0.4788442645558719,0.479209098334174,0.0,2.526444050808089,1.3725231833964344e-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.0,1.0222764176501038,1.0646798542425817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.81302055728023,2
3,1,2021-08-20 15:45:54.612189,0.8,1,14,6574,658,657,0,0,0,1,0,0,0,0.8097412480974124,3.86820008287669,0.00011501995847693671,0.0,0.0,0.0,0.0,0.0,0.0,0.4364316872483815,0.0012255870115041034,0.9991416072938364,0.38221145600178374,0.3614936891445697,0.36176911294768305,0.0,2.1279375376855043,5.406338938163335e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.991268968166658,1.013350889705126,1.0553841005428717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8059220489134549,2
4,1,2021-08-20 15:45:54.612189,0.8,1,14,6574,658,657,0,0,0,0,1,0,0,0.8097412480974124,1.835756958858944,0.06661981608122004,0.0,0.0,0.0,0.0,0.0,0.0,0.35634138647165353,7.302059450043403e-06,0.9999999518608579,0.15376124136908143,0.3879975126995988,0.3882931298950168,0.0,5.881678875867412,4.074100167294606e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.9823283915693158,1.0042111490894687,1.045865248754369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7986531763458772,2
5,1,2021-08-20 15:45:54.612189,0.8,1,14,6574,658,657,0,0,0,0,0,1,0,0.8097412480974124,-4.126951214221411,3.9077360855173866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.3180361193511897,1.9599792925296857e-05,0.9999992317732302,0.11333569536721691,0.367531149611535,0.3678111733851953,1.6792340374505427e-46,7.314495321503819,1.684965413835904e-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9631143008480744,0.9845690372585538,1.0254083934458738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.7830317256000605,2
6,1,2021-08-20 15:45:54.612189,0.8,1,14,6574,658,657,0,0,0,0,0,0,1,0.8097412480974124,-3.058734519579926,0.0022677657843490403,0.0,0.0,0.0,0.0,0.0,0.0,0.4005479452054794,0.0,1.0,0.32,0.35657811118397925,0.35684978978429366,0.0,3.2192073369605874,3.510910971208239e-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9928347332087707,1.0149515343832587,1.0570511390396866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,random_forest,0.8071950480805633,2
7,2,2021-08-20 15:45:54.612189,0.8,1,14,6574,1315,658,1,0,0,0,0,0,0,0.8085106382978723,2.0017161787912627,0.045520537938436065,1.5291951216369357,0.12645694581114778,0.0,0.0,0.0,0.0,0.4592856179619433,0.12956803649228776,0.7053320473045235,0.495033143039933,0.12902650126921344,0.12912465761758174,6.350334341104718e-18,-8.361114538262798,2.249895396638875e-25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9981536526809192,1.0161257472435845,1.0558723401682217,0.9921543790796382,1.0142560244013956,1.0563267797046485,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,0.8066419061873481,3
8,2,2021-08-20 15:45:54.612189,0.8,1,14,6574,1315,658,0,1,0,0,0,0,0,0.8085106382978723,0.46332068561119877,0.643211249746099,1.2706467489000317,0.20407943688503163,0.0,0.0,0.0,0.0,0.4194528875379939,0.0,1.0,0.0,0.49346951544551665,0.4938449202281832,0.0,3.3732514519563424,2.1297935821054746e-35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9453355436149536,0.9623566302359007,1.0,0.9396537264358759,0.9605858452924378,1.0004303925002471,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,0.7639577963173406,3
9,2,2021-08-20 15:45:54.612189,0.8,1,14,6574,1315,658,0,0,1,0,0,0,0,0.8085106382978723,-0.8075269931850519,0.41950908179154445,-1.3256829026398098,0.18517534937231495,0.0,0.0,0.0,0.0,0.4071121130876362,6.164825759682299e-14,1.0,0.007294660060854221,0.4718009306756447,0.4721598511769087,0.0,3.9385010636430993,9.32065909320804e-34,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9602206470789986,0.9775097450289753,1.0157458413201352,0.954449364908209,0.9757110775867806,1.0161830107123966,0.0,0.0,0.0,0.0,0.0,0.0,gaussian_nb,0.7759869545534337,3
