Name,AdaBoost,Decision Tree,Gaussian NB,Gaussian Process,Logitic Regression,MLP,Random Forest,ADEN,RandomSelection
TwoPatterns,0.106,0.119,0.038,0.2,0.132,0.128,0.238,0.038,0.154
DiatomSizeReduction,0.124,0.122,0.129,0.127,0.124,0.12,0.127,0.127,0.125
StarLightCurves,0.131,0.107,0.119,0.129,0.129,0.129,0.129,0.129,0.127
ECG200,0.119,0.114,0.119,0.134,0.116,0.134,0.131,0.134,0.129
ItalyPowerDemand,0.135,0.105,0.077,0.133,0.144,0.135,0.135,0.135,0.128
SyntheticControl,0.114,0.119,0.114,0.13,0.13,0.127,0.132,0.135,0.119
PowerCons,0.121,0.129,0.101,0.136,0.136,0.101,0.136,0.139,0.128
ProximalPhalanxTW,0.116,0.076,0.152,0.134,0.119,0.116,0.144,0.144,0.112
ECGFiveDays,0.126,0.076,0.071,0.156,0.147,0.147,0.129,0.147,0.129
SwedishLeaf,0.088,0.061,0.111,0.162,0.132,0.135,0.159,0.152,0.14
DistalPhalanxOutlineCorrect,0.135,0.132,0.096,0.135,0.082,0.142,0.125,0.153,0.135
EthanolLevel,0.139,0.103,0.099,0.07,0.158,0.125,0.154,0.154,0.141
SonyAIBORobotSurface2,0.131,0.078,0.049,0.177,0.12,0.148,0.141,0.155,0.108
TwoLeadECG,0.118,0.08,0.056,0.164,0.146,0.155,0.127,0.155,0.117
Chinatown,0.135,0.118,0.147,0.071,0.129,0.088,0.156,0.156,0.106
fri-c0-1000-50,0.158,0.098,0.15,0.038,0.132,0.102,0.165,0.158,0.161
FreezerRegularTrain,0.115,0.085,0.062,0.156,0.159,0.138,0.126,0.159,0.139
DistalPhalanxTW,0.085,0.078,0.147,0.119,0.13,0.109,0.164,0.167,0.17
OSULeaf,0.105,0.08,0.056,0.182,0.087,0.168,0.154,0.168,0.125
electricity-normalized,0.144,0.112,0.097,0.093,0.07,0.151,0.164,0.17,0.12
FordA,0.059,0.115,0.067,0.159,0.056,0.207,0.167,0.17,0.135
fri-c0-1000-10,0.157,0.033,0.135,0.142,0.091,0.164,0.106,0.172,0.113
Mallat,0.14,0.087,0.043,0.147,0.08,0.163,0.167,0.173,0.111
MiddlePhalanxTW,0.108,0.105,0.174,0.098,0.108,0.115,0.118,0.174,0.132
MedicalImages,0.101,0.087,0.043,0.181,0.083,0.163,0.167,0.174,0.123
HandOutlines,0.108,0.061,0.075,0.176,0.125,0.133,0.147,0.176,0.145
wafer,0.127,0.098,0.042,0.179,0.068,0.166,0.143,0.176,0.096
MelbournePedestrian,0.132,0.136,0.121,0.048,0.092,0.103,0.191,0.176,0.118
wind,0.176,0.033,0.062,0.136,0.15,0.106,0.158,0.179,0.158
Strawberry,0.098,0.071,0.045,0.17,0.134,0.179,0.125,0.179,0.08
EOGHorizontalSignal,0.129,0.147,0.176,0.047,0.065,0.1,0.158,0.179,0.142
Symbols,0.137,0.083,0.032,0.155,0.068,0.176,0.169,0.18,0.174
FacesUCR,0.12,0.077,0.036,0.175,0.062,0.179,0.168,0.182,0.125
CricketZ,0.099,0.082,0.078,0.181,0.05,0.149,0.177,0.184,0.122
PhalangesOutlinesCorrect,0.124,0.098,0.055,0.178,0.058,0.12,0.182,0.185,0.093
InsectWingbeatSound,0.095,0.08,0.051,0.185,0.073,0.16,0.171,0.185,0.142
FordB,0.076,0.112,0.076,0.141,0.051,0.185,0.17,0.188,0.142
MoteStrain,0.152,0.091,0.065,0.141,0.047,0.123,0.192,0.188,0.125
UWaveGestureLibraryZ,0.083,0.109,0.04,0.196,0.058,0.149,0.178,0.188,0.082
ProximalPhalanxOutlineCorrect,0.119,0.101,0.052,0.185,0.112,0.08,0.161,0.189,0.111
UWaveGestureLibraryX,0.105,0.065,0.04,0.195,0.079,0.148,0.177,0.191,0.122
CricketX,0.102,0.088,0.056,0.189,0.077,0.154,0.14,0.193,0.129
phoneme,0.086,0.112,0.065,0.176,0.029,0.144,0.194,0.194,0.155
Yoga,0.104,0.097,0.029,0.201,0.058,0.165,0.151,0.194,0.108
CricketY,0.104,0.101,0.061,0.194,0.04,0.144,0.162,0.194,0.122
UWaveGestureLibraryY,0.097,0.104,0.05,0.197,0.036,0.143,0.176,0.197,0.108
